year,calendar.week,season,model.week,location,target,valid.bin_start_incl,bin_end_notincl,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
2010,43,2010/2011,43,US National,1 wk ahead,1.4,1.5,0.04,0.04,0.04,0.04,0.04,0.04,0.218841,0.0002258362,0.0305496,0.01731041,2.270876e-05,2.270876e-05,0.007633588,0.02404965,0.02404965,0.07838696,0.06995861,0.007994938,0.1599999,0.1023721,0.16,0.27672,0.27714,0.06642977,0.1591,0.1461,0.11958
2010,43,2010/2011,43,US National,2 wk ahead,1.5,1.6,0.37072,0.25479,0.358072,0.230742,0.144062,0.068699,0.1815981,0.1203749,0.01930347,0.01930347,0.1300666,0.1107022,0.007633588,0.006830997,0.006830997,0.05590712,0.0699183,0.05566289,0.1040004,0.2073655,0.104,0.25264,0.24856,0.06080347,0.0906,0.0794,0.081908
2010,43,2010/2011,43,US National,3 wk ahead,1.6,1.7,0.162046,0.122726,0.154044,0.116052,0.080692,0.062716,0.02150167,0.06838269,0.0219815,0.0219815,0.1279049,0.08424723,0.007633588,0.0008008934,0.0008008934,0.04552615,0.0671937,0.05566289,0.07600068,0.155752,0.076,0.18216,0.18472,0.05892804,0.0567,0.0438,0.060716
2010,43,2010/2011,43,US National,4 wk ahead,1.8,1.9,0.069385,0.05137,0.069373,0.048011,0.044025,0.023339,0.1261415,0.06467233,0.02196359,0.02196359,0.09243474,0.1307932,0.007633588,0.0017191,0.0017191,0.03751821,0.06988094,0.0510285,0.06400114,0.2262874,0.064,0.08934,0.08848,0.05675649,0.0348,0.033,0.041238
2010,43,2010/2011,43,HHS Region 1,1 wk ahead,0.6,0.7,0.11,0.11,0.11,0.11,0.11,0.11,0.2552737,0.0002222426,0.0305144,0.01665612,2.288248e-05,2.288248e-05,0.007633588,0,0,0.0503279,0.0705436,5.02804e-05,0.204,0.2288548,0.204,0.0126,0.01048,0.09456125,0.1347,0.0327,0.074399
2010,43,2010/2011,43,HHS Region 1,2 wk ahead,0.6,0.7,0.418051,0.31409,0.374026,0.270703,0.485419,0.560798,0.2036683,0.04676577,0.01794593,0.01756115,0.0121476,0.004365103,0.007633588,0,0,0.04500059,0.0705436,0.06393857,0.1500001,0.1865335,0.15,0.00872,0.0086,0.08982331,0.1166,0.0468,0.047877
2010,43,2010/2011,43,HHS Region 1,3 wk ahead,0.7,0.8,0.260745,0.188735,0.240733,0.194732,0.124701,0.114708,0.1374342,0.03201418,0.02086823,0.02086823,0.06701532,0.149242,0.007633588,0,0,0.04104059,0.06934965,0.0751935,0.1479999,0.1160294,0.148,0.01694,0.01716,0.07560952,0.0894,0.0757,0.035081
2010,43,2010/2011,43,HHS Region 1,4 wk ahead,0.8,0.9,0.111374,0.090031,0.120695,0.088053,0.072032,0.064711,0.09598086,0.05383794,0.02437613,0.02437613,0.08420034,0.1187743,0.007633588,0,0,0.03670613,0.06853936,0.06493165,0.172,0.1553653,0.172,0.02334,0.02286,0.07175994,0.0724,0.0811,0.026362
2010,43,2010/2011,43,HHS Region 2,1 wk ahead,1.2,1.3,0.12,0.12,0.12,0.12,0.12,0.12,0.3346422,0.004086739,0.0310738,0.01609167,2.275431e-05,2.275431e-05,0.007633588,0,0,0.05366327,0.07037815,5.02804e-05,0.104,0.1913046,0.104,0.1233,0.11952,0.04352976,0.0865,0.0662,0.11177
2010,43,2010/2011,43,HHS Region 2,2 wk ahead,1.4,1.5,0.047986,0.092015,0.060018,0.11337,0.080675,0.082716,0.2397183,0.1068911,0.01752923,0.01720806,0.0954583,0.1029238,0.007633588,0,0,0.03874442,0.06745843,0.03017378,0.1319999,0.107213,0.132,0.06524,0.06414,0.04599743,0.0564,0.0624,0.093782
2010,43,2010/2011,43,HHS Region 2,3 wk ahead,1.4,1.5,0.026002,0.056676,0.036655,0.078715,0.046672,0.058703,0.06324153,0.04119725,0.02092967,0.02092967,0.09937821,0.1095037,0.007633588,0,0,0.03427653,0.07003232,0.03547021,0.05600013,0.07451212,0.056,0.04894,0.04738,0.04027243,0.0513,0.0524,0.06202
2010,43,2010/2011,43,HHS Region 2,4 wk ahead,1.7,1.8,0.024646,0.026691,0.026695,0.028694,0.02469,0.028023,0.03514233,0.07778492,0.02343806,0.02343806,0.07968803,0.1025885,0.007633588,0,0,0.03033743,0.0621861,0.04076665,0.07000004,0.06658733,0.07,0.06274,0.06118,0.0312901,0.0364,0.0364,0.051463
2010,43,2010/2011,43,HHS Region 3,1 wk ahead,1.2,1.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3986181,0.0002240325,0.03092201,0.01485898,2.27579e-05,2.27579e-05,0.007633588,0.9999478,0.9999477,0.05129776,0.05525585,0.1665571,0.1039999,0.04288035,0.104,0.09488,0.09646,0.04885993,0.108,0.0779,0.15366
