model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,43,1.5,0.63162
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,44,1.6,0.74098
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,45,1.8,0.77838
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,46,1.7,0.52614
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,47,1.9,0.37664
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,48,2.4,0.88104
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,49,3.1,0.93378
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,50,3.1,0.8247
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,51,2.5,0.33434
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,52,2.9,0.64674
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,1,3.4,0.86372
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,2,4.2,0.86278
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,3,4.5,0.82214
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,4,4.5,0.76026
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,5,4.5,0.58714
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,6,3.9,0.59626
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,7,3.4,0.31822
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,8,3,0.56062
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,9,2.6,0.57656
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,10,2.1,0.3058
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,11,1.9,0.4338
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,12,1.6,0.65522
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,13,1.4,0.65808
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,14,1.3,0.89104
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,15,1.2,0.83852
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,16,1.2,0.80718
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,17,1.1,0.61308
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,18,1.1,0.86042
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,43,0.6,0.011
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,44,0.7,0.0366
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,45,0.8,0.07312
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,46,0.7,0.03
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,47,0.8,0.02432
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,48,0.8,0.0642
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,49,1,0.09214
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,50,1.1,0.10238
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,51,1,0.03538
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,52,1.2,0.08938
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,1,1.2,0.17092
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,2,1.4,0.1109
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,3,1.9,0.1961
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,4,2,0.19632
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,5,2.3,0.25884
