model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,43,1.6,0.164095
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,44,1.8,0.366912
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,45,1.7,0.588896
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,46,1.9,0.400852
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,47,2.4,0.444854
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,48,3.1,0.236723
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,49,3.1,0.466207
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,50,2.5,0.083349
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,51,2.9,0.152704
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,52,3.4,0.137935
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,1,4.2,0.241267
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,2,4.5,0.338649
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,3,4.5,0.282559
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,4,4.5,0.413928
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,5,3.9,0.493319
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,6,3.4,0.611445
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,7,3,0.685359
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,8,2.6,0.551504
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,9,2.1,0.413399
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,10,1.9,0.628758
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,11,1.6,0.466715
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,12,1.4,0.57605
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,13,1.3,0
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,14,1.2,0
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,15,1.2,0
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,16,1.1,0
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,17,1.1,0
CU_RHF_SIRS,US National,3 wk ahead,2010/2011,18,1.1,0
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,43,0.7,0.622243
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,44,0.8,0.516928
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,45,0.7,0.554157
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,46,0.8,0.086037
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,47,0.8,0.292153
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,48,1,0.398131
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,49,1.1,0.302752
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,50,1,0.315404
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,51,1.2,0.292061
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,52,1.2,0.155391
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,1,1.4,0.215398
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,2,1.9,0.036672
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,3,2,0.144686
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,4,2.3,0.203424
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,5,2.3,0.824787
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,6,1.8,0.340063
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,7,1.7,0.342749
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,8,1.4,0.221341
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,9,1,0.147327
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,10,1.1,0.355427
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,11,0.9,0.441369
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,12,0.8,0.550782
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,13,0.8,0.522789
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,14,0.7,0.56743
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,15,0.6,0.38339
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,16,0.5,0
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,17,0.5,0
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2010/2011,18,0.6,0.804017
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,43,1.4,0.315551
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,44,1.7,0.261486
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,45,2.2,0.238089
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,46,2.5,0.014627
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,47,3,0.172718
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,48,4.2,0.30812
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,49,4.5,0.351989
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,50,3.3,0.105994
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,51,3.8,0.216644
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,52,3.7,0.328675
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,1,3.9,0.366064
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,2,4.1,0.457377
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,3,4.1,0.362707
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,4,4.3,0.708819
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,5,4.3,0.83153
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,6,3.4,0.54014
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,7,3.2,0.504152
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,8,3.2,0.72351
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,9,2.5,0.585485
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,10,2.7,0.864883
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,11,2.5,0.864844
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,12,2.2,0.743541
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,13,2.2,0.939492
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,14,1.7,0.744729
CU_RHF_SIRS,HHS Region 2,3 wk ahead,2010/2011,15,1.6,0.72348
