model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Delphi_Uniform,US National,3 wk ahead,2012/2013,43,1.8,0.145038172
Delphi_Uniform,US National,3 wk ahead,2012/2013,44,2.3,0.183206112
Delphi_Uniform,US National,3 wk ahead,2012/2013,45,2.2,0.175572524
Delphi_Uniform,US National,3 wk ahead,2012/2013,46,2.8,0.221374052
Delphi_Uniform,US National,3 wk ahead,2012/2013,47,3.4,0.26717558
Delphi_Uniform,US National,3 wk ahead,2012/2013,48,4.3,0.335877872
Delphi_Uniform,US National,3 wk ahead,2012/2013,49,6.1,0.473282456
Delphi_Uniform,US National,3 wk ahead,2012/2013,50,4.7,0.366412224
Delphi_Uniform,US National,3 wk ahead,2012/2013,51,4.3,0.335877872
Delphi_Uniform,US National,3 wk ahead,2012/2013,52,4.5,0.351145048
Delphi_Uniform,US National,3 wk ahead,2012/2013,1,4.2,0.328244284
Delphi_Uniform,US National,3 wk ahead,2012/2013,2,3.8,0.297709932
Delphi_Uniform,US National,3 wk ahead,2012/2013,3,3.3,0.259541992
Delphi_Uniform,US National,3 wk ahead,2012/2013,4,3,0.236641228
Delphi_Uniform,US National,3 wk ahead,2012/2013,5,2.7,0.213740464
Delphi_Uniform,US National,3 wk ahead,2012/2013,6,2.5,0.198473288
Delphi_Uniform,US National,3 wk ahead,2012/2013,7,2.5,0.198473288
Delphi_Uniform,US National,3 wk ahead,2012/2013,8,2.4,0.1908397
Delphi_Uniform,US National,3 wk ahead,2012/2013,9,2.1,0.167938936
Delphi_Uniform,US National,3 wk ahead,2012/2013,10,1.9,0.15267176
Delphi_Uniform,US National,3 wk ahead,2012/2013,11,1.7,0.137404584
Delphi_Uniform,US National,3 wk ahead,2012/2013,12,1.5,0.122137408
Delphi_Uniform,US National,3 wk ahead,2012/2013,13,1.3,0.106870232
Delphi_Uniform,US National,3 wk ahead,2012/2013,14,1.2,0.099236644
Delphi_Uniform,US National,3 wk ahead,2012/2013,15,1.1,0.091603056
Delphi_Uniform,US National,3 wk ahead,2012/2013,16,1.1,0.091603056
Delphi_Uniform,US National,3 wk ahead,2012/2013,17,1.1,0.091603056
Delphi_Uniform,US National,3 wk ahead,2012/2013,18,1,0.083969468
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,43,0.7,0.061068704
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,44,0.8,0.068702292
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,45,0.9,0.07633588
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,46,1.2,0.099236644
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,47,1.7,0.137404584
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,48,2.6,0.206106876
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,49,3.9,0.30534352
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,50,3.2,0.251908404
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,51,3.3,0.259541992
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,52,3,0.236641228
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,1,2.5,0.198473288
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,2,2.2,0.175572524
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,3,1.9,0.15267176
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,4,1.6,0.129770996
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,5,1.5,0.122137408
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,6,1.3,0.106870232
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,7,1.3,0.106870232
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,8,1.2,0.099236644
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,9,1.2,0.099236644
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,10,1.2,0.099236644
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,11,1.2,0.099236644
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,12,1.2,0.099236644
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,13,1.1,0.091603056
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,14,0.8,0.068702292
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,15,0.8,0.068702292
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,16,0.7,0.061068704
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,17,0.6,0.053435116
Delphi_Uniform,HHS Region 1,3 wk ahead,2012/2013,18,0.6,0.053435116
Delphi_Uniform,HHS Region 2,3 wk ahead,2012/2013,43,1.3,0.106870232
Delphi_Uniform,HHS Region 2,3 wk ahead,2012/2013,44,1.7,0.137404584
