model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,43,2.3,1.00000002
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,44,2.2,0.8030898133
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,45,2.8,0.25577609266
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,46,3.4,0.73054356963
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,47,4.3,0.885221263
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,48,6.1,0.55647266981
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,49,4.7,0.08650276507
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,50,4.3,0.0612267553
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,51,4.5,0.990187012
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,52,4.2,0.98003561078
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,1,3.8,0.851134211
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,2,3.3,0.889734078
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,3,3,0.91863593
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,4,2.7,0.998677991
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,5,2.5,1.000000045
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,6,2.5,0.9999999745
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,7,2.4,0.9999999957
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,8,2.1,0.99814785
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,9,1.9,0.99594585
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,10,1.7,0.9137821
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,11,1.5,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,12,1.3,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,13,1.2,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,14,1.1,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,15,1.1,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,16,1.1,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,17,1,0
FluOutlook_MechAug,US National,4 wk ahead,2012/2013,18,1.1,0
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2012/2013,43,0.8,0.2342969
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2012/2013,44,0.9,0.6565179
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2012/2013,45,1.2,0.87903204
