model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
ReichLab_kde,US National,4 wk ahead,2012/2013,43,2.3,0.74454644756
ReichLab_kde,US National,4 wk ahead,2012/2013,44,2.2,0.66706148926
ReichLab_kde,US National,4 wk ahead,2012/2013,45,2.8,0.80811371006
ReichLab_kde,US National,4 wk ahead,2012/2013,46,3.4,0.881551683
ReichLab_kde,US National,4 wk ahead,2012/2013,47,4.3,0.94580989026
ReichLab_kde,US National,4 wk ahead,2012/2013,48,6.1,0.9857861969
ReichLab_kde,US National,4 wk ahead,2012/2013,49,4.7,0.9329780088
ReichLab_kde,US National,4 wk ahead,2012/2013,50,4.3,0.86793010938
ReichLab_kde,US National,4 wk ahead,2012/2013,51,4.5,0.86408052714
ReichLab_kde,US National,4 wk ahead,2012/2013,52,4.2,0.79528181998
ReichLab_kde,US National,4 wk ahead,2012/2013,1,3.8,0.69706840268
ReichLab_kde,US National,4 wk ahead,2012/2013,2,3.3,0.53173425178
ReichLab_kde,US National,4 wk ahead,2012/2013,3,3,0.44625407802
ReichLab_kde,US National,4 wk ahead,2012/2013,4,2.7,0.36778205838
ReichLab_kde,US National,4 wk ahead,2012/2013,5,2.5,0.35031093742
ReichLab_kde,US National,4 wk ahead,2012/2013,6,2.5,0.43954200718
ReichLab_kde,US National,4 wk ahead,2012/2013,7,2.4,0.5140657562
ReichLab_kde,US National,4 wk ahead,2012/2013,8,2.1,0.52275195266
ReichLab_kde,US National,4 wk ahead,2012/2013,9,1.9,0.5799032743
ReichLab_kde,US National,4 wk ahead,2012/2013,10,1.7,0.59727569856
ReichLab_kde,US National,4 wk ahead,2012/2013,11,1.5,0.60921923772
ReichLab_kde,US National,4 wk ahead,2012/2013,12,1.3,0.59174809742
ReichLab_kde,US National,4 wk ahead,2012/2013,13,1.2,0.59964466682
ReichLab_kde,US National,4 wk ahead,2012/2013,14,1.1,0.59806540468
ReichLab_kde,US National,4 wk ahead,2012/2013,15,1.1,0.65265032568
ReichLab_kde,US National,4 wk ahead,2012/2013,16,1.1,0.68838218348
ReichLab_kde,US National,4 wk ahead,2012/2013,17,1,0.63389608148
ReichLab_kde,US National,4 wk ahead,2012/2013,18,1.1,0.72737152348
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,43,0.8,0.47448425094
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,44,0.9,0.51603987094
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,45,1.2,0.63823907494
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,46,1.7,0.77119732394
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,47,2.6,0.89349520944
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,48,3.9,0.95123879944
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,49,3.2,0.89941762244
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,50,3.3,0.88678314674
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,51,3,0.82943441874
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,52,2.5,0.72174513184
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,1,2.2,0.62787481084
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,2,1.9,0.53627480688
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,3,1.6,0.44043035088
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,4,1.5,0.42207087388
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,5,1.3,0.40440231674
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,6,1.3,0.46441616364
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,7,1.2,0.49264633564
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,8,1.2,0.60714636694
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,9,1.2,0.71434210194
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,10,1.2,0.79498567494
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,11,1.2,0.8606258008
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,12,1.1,0.8836244778
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,13,0.8,0.8389102586
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,14,0.8,0.877998199
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,15,0.7,0.871680942
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,16,0.6,0.849866719
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,17,0.6,0.862599834
ReichLab_kde,HHS Region 1,4 wk ahead,2012/2013,18,0.6,0.859046555
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,43,1.7,0.42601916678
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,44,2,0.51643471748
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,45,2.4,0.60892309048
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,46,2.8,0.67555027368
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,47,3.8,0.81699732288
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,48,5.5,0.92073832318
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,49,4.5,0.85638141118
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,50,4.8,0.86457407328
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,51,5.3,0.89773961638
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,52,4.6,0.82963181538
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,1,3.8,0.74691539032
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,2,3.6,0.71374988062
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,3,3.7,0.74326326678
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,4,3.4,0.69894381078
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,5,2.8,0.62303819282
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,6,3,0.69647615648
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,7,2.9,0.72628566778
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,8,2.5,0.70042445268
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,9,2.2,0.67564900088
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,10,1.9,0.64396407424
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,11,1.6,0.60013818088
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,12,1.4,0.55157435784
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,13,1.5,0.63340241784
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,14,1.4,0.62126148264
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,15,1.3,0.60161880864
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,16,1.3,0.61839899054
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,17,1,0.47093081154
ReichLab_kde,HHS Region 2,4 wk ahead,2012/2013,18,1.4,0.68433520694
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,43,1.7,0.42720363316
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,44,1.6,0.34665877022
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,45,2.5,0.65472312316
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,46,3.4,0.82597965362
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,47,4.5,0.9131378912
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,48,7.1,0.98331851286
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,49,4.8,0.889941775
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,50,5.1,0.8907314277
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,51,5.2,0.866350808
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,52,3.6,0.59599249414
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,1,3.1,0.42621654374
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,2,2.6,0.27312209798
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,3,2.8,0.31566479296
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,4,2.6,0.27164148904
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,5,2.6,0.29118547428
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,6,2.7,0.35623332794
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,7,2.6,0.39305103044
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,8,2.2,0.3360971512
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,9,2.1,0.3778501763
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,10,1.7,0.29760142052
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,11,1.5,0.28496693332
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,12,1.1,0.15615436772
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,13,1.1,0.19948671442
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,14,1.1,0.26344881542
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,15,1.3,0.44714243282
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,16,1.1,0.36709110178
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,17,1.1,0.39976310868
ReichLab_kde,HHS Region 3,4 wk ahead,2012/2013,18,1.3,0.58424638038
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,43,2.8,0.89527192758
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,44,2.7,0.86516631668
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,45,4.2,0.95834565232
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,46,4.7,0.96357713918
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,47,5,0.96683447432
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,48,6.3,0.98183794112
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,49,4.5,0.93189222436
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,50,3.5,0.82311717522
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,51,3.1,0.72223866972
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,52,2.5,0.52748987986
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,1,2.5,0.48850063966
ReichLab_kde,HHS Region 4,4 wk ahead,2012/2013,2,2.3,0.40232948712
