model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
LANL_DBMplus,US National,1 wk ahead,2013/2014,43,1.5,0.7446230438
LANL_DBMplus,US National,1 wk ahead,2013/2014,44,1.6,0.636758335
LANL_DBMplus,US National,1 wk ahead,2013/2014,45,1.6,0.5549945876
LANL_DBMplus,US National,1 wk ahead,2013/2014,46,1.7,0.7652472672
LANL_DBMplus,US National,1 wk ahead,2013/2014,47,2.1,0.51784
LANL_DBMplus,US National,1 wk ahead,2013/2014,48,2.2,0.6198467792
LANL_DBMplus,US National,1 wk ahead,2013/2014,49,2.4,0.7089936174
LANL_DBMplus,US National,1 wk ahead,2013/2014,50,3.2,0.844124028
LANL_DBMplus,US National,1 wk ahead,2013/2014,51,4.6,0.8713101342
LANL_DBMplus,US National,1 wk ahead,2013/2014,52,4.3,0.7026663462
LANL_DBMplus,US National,1 wk ahead,2013/2014,1,3.6,0.4239203168
LANL_DBMplus,US National,1 wk ahead,2013/2014,2,3.4,0.472149775
LANL_DBMplus,US National,1 wk ahead,2013/2014,3,3.4,0.3486765576
LANL_DBMplus,US National,1 wk ahead,2013/2014,4,3.1,0.2551759684
LANL_DBMplus,US National,1 wk ahead,2013/2014,5,2.8,0.5201780982
LANL_DBMplus,US National,1 wk ahead,2013/2014,6,2.5,0.2320334012
LANL_DBMplus,US National,1 wk ahead,2013/2014,7,2.3,0.4378318776
LANL_DBMplus,US National,1 wk ahead,2013/2014,8,2.1,0.455275778
LANL_DBMplus,US National,1 wk ahead,2013/2014,9,2,0.6167669094
LANL_DBMplus,US National,1 wk ahead,2013/2014,10,1.8,0.6739340356
LANL_DBMplus,US National,1 wk ahead,2013/2014,11,1.8,0.7441118456
LANL_DBMplus,US National,1 wk ahead,2013/2014,12,1.8,0.8295170062
LANL_DBMplus,US National,1 wk ahead,2013/2014,13,1.7,0.796694946
LANL_DBMplus,US National,1 wk ahead,2013/2014,14,1.7,0.9191750498
LANL_DBMplus,US National,1 wk ahead,2013/2014,15,1.5,0.8518760602
LANL_DBMplus,US National,1 wk ahead,2013/2014,16,1.4,0.7101458332
LANL_DBMplus,US National,1 wk ahead,2013/2014,17,1.3,0.6558071548
LANL_DBMplus,US National,1 wk ahead,2013/2014,18,1.4,0.8432189976
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,43,0.9,0.4460656994
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,44,1,0.9929732366
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,45,0.9,0.6761297724
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,46,0.7,0.7799717426
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,47,0.9,0.9790199306
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,48,0.8,0.802200952
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,49,1.1,0.9926925466
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,50,1.2,0.9795017484
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,51,1.6,0.36564701
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,52,1.6,0.8701328688
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,1,1.4,0.6052101706
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,2,1.7,0.9645258994
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,3,1.9,0.9563507614
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,4,2,0.978579959
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,5,2.2,0.9905974682
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,6,1.8,0.5385438628
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,7,1.8,0.948355804
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,8,1.5,0.8462485446
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,9,1.5,0.9869352276
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,10,1.4,0.9100864166
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,11,1.7,0.9814082402
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,12,1.6,0.9777164952
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,13,1.8,0.9804653162
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,14,2,0.9805659352
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,15,1.7,0.979753021
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,16,1.6,0.9499103296
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,17,1.3,0.9778967692
LANL_DBMplus,HHS Region 1,1 wk ahead,2013/2014,18,1.3,0.9815381084
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,43,2,0.0444204766
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,44,1.8,0.6143490928
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,45,1.5,0.002459623
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,46,1.8,0.5372197428
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,47,2,0.6247116426
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,48,2,0.618090978
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,49,1.8,0.0986084128
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,50,2.2,0.650963269
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,51,2.9,0.8393388428
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,52,3.3,0.7624105558
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,1,2.7,0.7660812264
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,2,3.1,0.8970380414
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,3,3,0.821182595
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,4,3.3,0.8097474488
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,5,3.4,0.990538694
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,6,3.1,0.7765441222
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,7,2.4,0.2965334562
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,8,2.3,0.7059640416
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,9,2.3,0.799975955
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,10,2.5,0.8546960272
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,11,2.9,0.9753910632
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,12,3.4,0.9905387992
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,13,3.3,0.9798955392
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,14,3.2,0.9248947588
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,15,2.6,0.8203192586
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,16,2.2,0.6122330136
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,17,1.9,0.4051900212
LANL_DBMplus,HHS Region 2,1 wk ahead,2013/2014,18,2.3,0.9608552762
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,43,1.1,0.3902226652
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,44,1.1,0.05389878
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,45,1.3,0.0192414578
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,46,1.2,0.0042949466
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,47,1.5,0.2321926918
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,48,1.5,0.1550632178
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,49,1.6,0.5099749384
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,50,2.2,0.9720598776
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,51,3.3,0.252959368
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,52,3.6,0.8923240822
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,1,3.2,0.9169500938
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,2,3.4,0.9908695976
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,3,3.5,0.9763546858
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,4,3,0.80198302
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,5,2.8,0.713498112
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,6,2.4,0.36770434
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,7,2,0.7097855238
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,8,2,0.6227254722
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,9,1.8,0.5815774168
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,10,1.6,0.193512724
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,11,1.7,0.5159836362
LANL_DBMplus,HHS Region 3,1 wk ahead,2013/2014,12,1.8,0.9708656456
