model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
equal-weights,US National,2 wk ahead,2013/2014,43,1.6,0.720130268
equal-weights,US National,2 wk ahead,2013/2014,44,1.6,0.534953129
equal-weights,US National,2 wk ahead,2013/2014,45,1.7,0.3069483843
equal-weights,US National,2 wk ahead,2013/2014,46,2.1,0.728318011
equal-weights,US National,2 wk ahead,2013/2014,47,2.2,0.6477901233
equal-weights,US National,2 wk ahead,2013/2014,48,2.4,0.4788448679
equal-weights,US National,2 wk ahead,2013/2014,49,3.2,0.7525320089
equal-weights,US National,2 wk ahead,2013/2014,50,4.6,0.8749201705
equal-weights,US National,2 wk ahead,2013/2014,51,4.3,0.6525187261
equal-weights,US National,2 wk ahead,2013/2014,52,3.6,0.4055582754
equal-weights,US National,2 wk ahead,2013/2014,1,3.4,0.2837422996
equal-weights,US National,2 wk ahead,2013/2014,2,3.4,0.4287837587
equal-weights,US National,2 wk ahead,2013/2014,3,3.1,0.3697598365
equal-weights,US National,2 wk ahead,2013/2014,4,2.8,0.3115982431
equal-weights,US National,2 wk ahead,2013/2014,5,2.5,0.2734063748
equal-weights,US National,2 wk ahead,2013/2014,6,2.3,0.307050694
equal-weights,US National,2 wk ahead,2013/2014,7,2.1,0.3826195758
equal-weights,US National,2 wk ahead,2013/2014,8,2,0.4248417484
equal-weights,US National,2 wk ahead,2013/2014,9,1.8,0.4127510041
equal-weights,US National,2 wk ahead,2013/2014,10,1.8,0.5706160633
equal-weights,US National,2 wk ahead,2013/2014,11,1.8,0.7392242854
equal-weights,US National,2 wk ahead,2013/2014,12,1.7,0.7677594411
equal-weights,US National,2 wk ahead,2013/2014,13,1.7,0.8238597619
equal-weights,US National,2 wk ahead,2013/2014,14,1.5,0.5846409367
equal-weights,US National,2 wk ahead,2013/2014,15,1.4,0.5556567333
equal-weights,US National,2 wk ahead,2013/2014,16,1.3,0.505917966
equal-weights,US National,2 wk ahead,2013/2014,17,1.4,0.672447799
equal-weights,US National,2 wk ahead,2013/2014,18,1.3,0.728291669
equal-weights,HHS Region 1,2 wk ahead,2013/2014,43,1,0.741118605
equal-weights,HHS Region 1,2 wk ahead,2013/2014,44,0.9,0.661664544
equal-weights,HHS Region 1,2 wk ahead,2013/2014,45,0.7,0.233648601
equal-weights,HHS Region 1,2 wk ahead,2013/2014,46,0.9,0.57310127
equal-weights,HHS Region 1,2 wk ahead,2013/2014,47,0.8,0.497602358
equal-weights,HHS Region 1,2 wk ahead,2013/2014,48,1.1,0.543862233
equal-weights,HHS Region 1,2 wk ahead,2013/2014,49,1.2,0.596359054
equal-weights,HHS Region 1,2 wk ahead,2013/2014,50,1.6,0.683827741
equal-weights,HHS Region 1,2 wk ahead,2013/2014,51,1.6,0.550837818
equal-weights,HHS Region 1,2 wk ahead,2013/2014,52,1.4,0.333895289
equal-weights,HHS Region 1,2 wk ahead,2013/2014,1,1.7,0.407058675
equal-weights,HHS Region 1,2 wk ahead,2013/2014,2,1.9,0.523080799
equal-weights,HHS Region 1,2 wk ahead,2013/2014,3,2,0.543732305
equal-weights,HHS Region 1,2 wk ahead,2013/2014,4,2.2,0.502524682
equal-weights,HHS Region 1,2 wk ahead,2013/2014,5,1.8,0.340799098
equal-weights,HHS Region 1,2 wk ahead,2013/2014,6,1.8,0.33635366
equal-weights,HHS Region 1,2 wk ahead,2013/2014,7,1.5,0.396064242
equal-weights,HHS Region 1,2 wk ahead,2013/2014,8,1.5,0.54965533
equal-weights,HHS Region 1,2 wk ahead,2013/2014,9,1.4,0.668055869
equal-weights,HHS Region 1,2 wk ahead,2013/2014,10,1.7,0.828217179
equal-weights,HHS Region 1,2 wk ahead,2013/2014,11,1.6,0.795335625
equal-weights,HHS Region 1,2 wk ahead,2013/2014,12,1.8,0.8507299
equal-weights,HHS Region 1,2 wk ahead,2013/2014,13,2,0.874610821
equal-weights,HHS Region 1,2 wk ahead,2013/2014,14,1.7,0.75560968
equal-weights,HHS Region 1,2 wk ahead,2013/2014,15,1.6,0.706900342
equal-weights,HHS Region 1,2 wk ahead,2013/2014,16,1.3,0.645959305
equal-weights,HHS Region 1,2 wk ahead,2013/2014,17,1.3,0.734513487
equal-weights,HHS Region 1,2 wk ahead,2013/2014,18,1.1,0.687443536
equal-weights,HHS Region 2,2 wk ahead,2013/2014,43,1.8,0.461633611
equal-weights,HHS Region 2,2 wk ahead,2013/2014,44,1.5,0.18761267
equal-weights,HHS Region 2,2 wk ahead,2013/2014,45,1.8,0.273568425
equal-weights,HHS Region 2,2 wk ahead,2013/2014,46,2,0.5239756732
equal-weights,HHS Region 2,2 wk ahead,2013/2014,47,2,0.5252362613
equal-weights,HHS Region 2,2 wk ahead,2013/2014,48,1.8,0.191648361
equal-weights,HHS Region 2,2 wk ahead,2013/2014,49,2.2,0.3658689781
equal-weights,HHS Region 2,2 wk ahead,2013/2014,50,2.9,0.748589762
equal-weights,HHS Region 2,2 wk ahead,2013/2014,51,3.3,0.759538152
equal-weights,HHS Region 2,2 wk ahead,2013/2014,52,2.7,0.4472818446
equal-weights,HHS Region 2,2 wk ahead,2013/2014,1,3.1,0.4718077864
equal-weights,HHS Region 2,2 wk ahead,2013/2014,2,3,0.4357002728
equal-weights,HHS Region 2,2 wk ahead,2013/2014,3,3.3,0.4973017316
equal-weights,HHS Region 2,2 wk ahead,2013/2014,4,3.4,0.5417981453
equal-weights,HHS Region 2,2 wk ahead,2013/2014,5,3.1,0.4318515233
equal-weights,HHS Region 2,2 wk ahead,2013/2014,6,2.4,0.1733828711
equal-weights,HHS Region 2,2 wk ahead,2013/2014,7,2.3,0.2202618511
equal-weights,HHS Region 2,2 wk ahead,2013/2014,8,2.3,0.4264600564
equal-weights,HHS Region 2,2 wk ahead,2013/2014,9,2.5,0.682316484
equal-weights,HHS Region 2,2 wk ahead,2013/2014,10,2.9,0.8146985379
equal-weights,HHS Region 2,2 wk ahead,2013/2014,11,3.4,0.9123723901
equal-weights,HHS Region 2,2 wk ahead,2013/2014,12,3.3,0.8492878495
equal-weights,HHS Region 2,2 wk ahead,2013/2014,13,3.2,0.6731403067
equal-weights,HHS Region 2,2 wk ahead,2013/2014,14,2.6,0.478221535
equal-weights,HHS Region 2,2 wk ahead,2013/2014,15,2.2,0.3785893508
equal-weights,HHS Region 2,2 wk ahead,2013/2014,16,1.9,0.374884783
equal-weights,HHS Region 2,2 wk ahead,2013/2014,17,2.3,0.751493965
equal-weights,HHS Region 2,2 wk ahead,2013/2014,18,2.1,0.743785468
equal-weights,HHS Region 3,2 wk ahead,2013/2014,43,1.1,0.429351671
equal-weights,HHS Region 3,2 wk ahead,2013/2014,44,1.3,0.457705714
equal-weights,HHS Region 3,2 wk ahead,2013/2014,45,1.2,0.239548075
equal-weights,HHS Region 3,2 wk ahead,2013/2014,46,1.5,0.545162537
equal-weights,HHS Region 3,2 wk ahead,2013/2014,47,1.5,0.540763569
equal-weights,HHS Region 3,2 wk ahead,2013/2014,48,1.6,0.225004281
equal-weights,HHS Region 3,2 wk ahead,2013/2014,49,2.2,0.5503078328
equal-weights,HHS Region 3,2 wk ahead,2013/2014,50,3.3,0.829347045
equal-weights,HHS Region 3,2 wk ahead,2013/2014,51,3.6,0.607514667
equal-weights,HHS Region 3,2 wk ahead,2013/2014,52,3.2,0.4094993183
equal-weights,HHS Region 3,2 wk ahead,2013/2014,1,3.4,0.3503777563
equal-weights,HHS Region 3,2 wk ahead,2013/2014,2,3.5,0.539871029
equal-weights,HHS Region 3,2 wk ahead,2013/2014,3,3,0.3705537202
equal-weights,HHS Region 3,2 wk ahead,2013/2014,4,2.8,0.2562978432
equal-weights,HHS Region 3,2 wk ahead,2013/2014,5,2.4,0.2372650275
equal-weights,HHS Region 3,2 wk ahead,2013/2014,6,2,0.1190637769
equal-weights,HHS Region 3,2 wk ahead,2013/2014,7,2,0.2654061831
equal-weights,HHS Region 3,2 wk ahead,2013/2014,8,1.8,0.2920086827
equal-weights,HHS Region 3,2 wk ahead,2013/2014,9,1.6,0.3347012947
equal-weights,HHS Region 3,2 wk ahead,2013/2014,10,1.7,0.5755940284
equal-weights,HHS Region 3,2 wk ahead,2013/2014,11,1.8,0.76032835
equal-weights,HHS Region 3,2 wk ahead,2013/2014,12,1.9,0.8291459766
equal-weights,HHS Region 3,2 wk ahead,2013/2014,13,1.7,0.781382291
equal-weights,HHS Region 3,2 wk ahead,2013/2014,14,1.3,0.340002005
equal-weights,HHS Region 3,2 wk ahead,2013/2014,15,1.2,0.2755620133
equal-weights,HHS Region 3,2 wk ahead,2013/2014,16,1.1,0.312586894
equal-weights,HHS Region 3,2 wk ahead,2013/2014,17,1.2,0.577260139
equal-weights,HHS Region 3,2 wk ahead,2013/2014,18,1.3,0.777219169
equal-weights,HHS Region 4,2 wk ahead,2013/2014,43,1.5,0.502299527
equal-weights,HHS Region 4,2 wk ahead,2013/2014,44,1.5,0.43063351
equal-weights,HHS Region 4,2 wk ahead,2013/2014,45,1.7,0.312682977
equal-weights,HHS Region 4,2 wk ahead,2013/2014,46,2.2,0.646716764
equal-weights,HHS Region 4,2 wk ahead,2013/2014,47,2.3,0.505689228
equal-weights,HHS Region 4,2 wk ahead,2013/2014,48,2.4,0.38661508
equal-weights,HHS Region 4,2 wk ahead,2013/2014,49,3.2,0.6792166445
equal-weights,HHS Region 4,2 wk ahead,2013/2014,50,4.6,0.9001539392
equal-weights,HHS Region 4,2 wk ahead,2013/2014,51,3.9,0.6026598361
equal-weights,HHS Region 4,2 wk ahead,2013/2014,52,3.1,0.296858681
equal-weights,HHS Region 4,2 wk ahead,2013/2014,1,2.8,0.2992085218
equal-weights,HHS Region 4,2 wk ahead,2013/2014,2,2.9,0.4726898307
equal-weights,HHS Region 4,2 wk ahead,2013/2014,3,2.7,0.4775696832
equal-weights,HHS Region 4,2 wk ahead,2013/2014,4,2.2,0.283984698
equal-weights,HHS Region 4,2 wk ahead,2013/2014,5,2,0.2282363122
equal-weights,HHS Region 4,2 wk ahead,2013/2014,6,1.5,0.1606603845
equal-weights,HHS Region 4,2 wk ahead,2013/2014,7,1.4,0.199007392
equal-weights,HHS Region 4,2 wk ahead,2013/2014,8,1.4,0.3882295363
equal-weights,HHS Region 4,2 wk ahead,2013/2014,9,1.1,0.1508823585
equal-weights,HHS Region 4,2 wk ahead,2013/2014,10,1,0.154663663
equal-weights,HHS Region 4,2 wk ahead,2013/2014,11,1,0.275073504
equal-weights,HHS Region 4,2 wk ahead,2013/2014,12,0.9,0.342815132
equal-weights,HHS Region 4,2 wk ahead,2013/2014,13,0.8,0.25834044
equal-weights,HHS Region 4,2 wk ahead,2013/2014,14,0.8,0.342641163
equal-weights,HHS Region 4,2 wk ahead,2013/2014,15,0.8,0.386736059
equal-weights,HHS Region 4,2 wk ahead,2013/2014,16,0.7,0.261587552
equal-weights,HHS Region 4,2 wk ahead,2013/2014,17,0.8,0.442427332
equal-weights,HHS Region 4,2 wk ahead,2013/2014,18,0.7,0.298310398
equal-weights,HHS Region 5,2 wk ahead,2013/2014,43,1.2,0.52941665
equal-weights,HHS Region 5,2 wk ahead,2013/2014,44,1.2,0.386247
equal-weights,HHS Region 5,2 wk ahead,2013/2014,45,1.2,0.302250324
equal-weights,HHS Region 5,2 wk ahead,2013/2014,46,1.7,0.805091329
equal-weights,HHS Region 5,2 wk ahead,2013/2014,47,1.6,0.720755206
equal-weights,HHS Region 5,2 wk ahead,2013/2014,48,1.7,0.489609148
equal-weights,HHS Region 5,2 wk ahead,2013/2014,49,2.1,0.65646608
equal-weights,HHS Region 5,2 wk ahead,2013/2014,50,3.6,0.865339168
equal-weights,HHS Region 5,2 wk ahead,2013/2014,51,3.4,0.672198849
equal-weights,HHS Region 5,2 wk ahead,2013/2014,52,2.8,0.354660823
equal-weights,HHS Region 5,2 wk ahead,2013/2014,1,2.5,0.2261906431
equal-weights,HHS Region 5,2 wk ahead,2013/2014,2,2.6,0.3509661685
equal-weights,HHS Region 5,2 wk ahead,2013/2014,3,2.2,0.2773952073
equal-weights,HHS Region 5,2 wk ahead,2013/2014,4,2,0.2734819185
equal-weights,HHS Region 5,2 wk ahead,2013/2014,5,1.9,0.3091977352
equal-weights,HHS Region 5,2 wk ahead,2013/2014,6,2,0.574221279
equal-weights,HHS Region 5,2 wk ahead,2013/2014,7,1.8,0.58311212
equal-weights,HHS Region 5,2 wk ahead,2013/2014,8,1.8,0.614657741
equal-weights,HHS Region 5,2 wk ahead,2013/2014,9,1.6,0.543333395
equal-weights,HHS Region 5,2 wk ahead,2013/2014,10,1.6,0.66491856
equal-weights,HHS Region 5,2 wk ahead,2013/2014,11,1.5,0.680978483
equal-weights,HHS Region 5,2 wk ahead,2013/2014,12,1.5,0.729222344
equal-weights,HHS Region 5,2 wk ahead,2013/2014,13,1.3,0.635575648
equal-weights,HHS Region 5,2 wk ahead,2013/2014,14,1.2,0.502791092
equal-weights,HHS Region 5,2 wk ahead,2013/2014,15,1.2,0.692937429
equal-weights,HHS Region 5,2 wk ahead,2013/2014,16,1.2,0.712430774
equal-weights,HHS Region 5,2 wk ahead,2013/2014,17,1.3,0.845904546
equal-weights,HHS Region 5,2 wk ahead,2013/2014,18,1.2,0.839211311
equal-weights,HHS Region 6,2 wk ahead,2013/2014,43,2.9,0.642273083
equal-weights,HHS Region 6,2 wk ahead,2013/2014,44,3.3,0.7968763586
equal-weights,HHS Region 6,2 wk ahead,2013/2014,45,3.7,0.7314080989
equal-weights,HHS Region 6,2 wk ahead,2013/2014,46,4.4,0.7085640568
equal-weights,HHS Region 6,2 wk ahead,2013/2014,47,4.9,0.7692079145
equal-weights,HHS Region 6,2 wk ahead,2013/2014,48,5.6,0.7058573669
equal-weights,HHS Region 6,2 wk ahead,2013/2014,49,8,0.8978408271
equal-weights,HHS Region 6,2 wk ahead,2013/2014,50,9.9,0.8785262832
equal-weights,HHS Region 6,2 wk ahead,2013/2014,51,8.7,0.7820221709
equal-weights,HHS Region 6,2 wk ahead,2013/2014,52,6.9,0.3977800775
equal-weights,HHS Region 6,2 wk ahead,2013/2014,1,5.8,0.3673607285
equal-weights,HHS Region 6,2 wk ahead,2013/2014,2,5.3,0.4200706585
equal-weights,HHS Region 6,2 wk ahead,2013/2014,3,5.2,0.5272592386
equal-weights,HHS Region 6,2 wk ahead,2013/2014,4,4.6,0.4460509739
equal-weights,HHS Region 6,2 wk ahead,2013/2014,5,3.8,0.3476594617
equal-weights,HHS Region 6,2 wk ahead,2013/2014,6,3.8,0.5873614349
equal-weights,HHS Region 6,2 wk ahead,2013/2014,7,3.6,0.6620433979
equal-weights,HHS Region 6,2 wk ahead,2013/2014,8,3.4,0.6682865842
equal-weights,HHS Region 6,2 wk ahead,2013/2014,9,3.2,0.6997827941
equal-weights,HHS Region 6,2 wk ahead,2013/2014,10,3,0.5901633759
equal-weights,HHS Region 6,2 wk ahead,2013/2014,11,2.9,0.6857435646
equal-weights,HHS Region 6,2 wk ahead,2013/2014,12,2.8,0.704021269
equal-weights,HHS Region 6,2 wk ahead,2013/2014,13,2.9,0.763568897
equal-weights,HHS Region 6,2 wk ahead,2013/2014,14,2.6,0.723929566
equal-weights,HHS Region 6,2 wk ahead,2013/2014,15,2.5,0.661800148
equal-weights,HHS Region 6,2 wk ahead,2013/2014,16,2.1,0.388164065
equal-weights,HHS Region 6,2 wk ahead,2013/2014,17,2.1,0.481771976
equal-weights,HHS Region 6,2 wk ahead,2013/2014,18,2.4,0.767676592
equal-weights,HHS Region 7,2 wk ahead,2013/2014,43,0.9,0.25328157
equal-weights,HHS Region 7,2 wk ahead,2013/2014,44,0.9,0.334674332
equal-weights,HHS Region 7,2 wk ahead,2013/2014,45,1,0.221149907
equal-weights,HHS Region 7,2 wk ahead,2013/2014,46,1.1,0.413625522
equal-weights,HHS Region 7,2 wk ahead,2013/2014,47,1.3,0.460246429
equal-weights,HHS Region 7,2 wk ahead,2013/2014,48,1.5,0.416650027
equal-weights,HHS Region 7,2 wk ahead,2013/2014,49,2.8,0.737893501
equal-weights,HHS Region 7,2 wk ahead,2013/2014,50,4.5,0.873956876
equal-weights,HHS Region 7,2 wk ahead,2013/2014,51,4.1,0.561848647
equal-weights,HHS Region 7,2 wk ahead,2013/2014,52,3,0.310030629
equal-weights,HHS Region 7,2 wk ahead,2013/2014,1,3.1,0.352586797
equal-weights,HHS Region 7,2 wk ahead,2013/2014,2,3,0.349038131
equal-weights,HHS Region 7,2 wk ahead,2013/2014,3,2.8,0.3436921913
equal-weights,HHS Region 7,2 wk ahead,2013/2014,4,2.1,0.183965518
equal-weights,HHS Region 7,2 wk ahead,2013/2014,5,1.6,0.128973506
equal-weights,HHS Region 7,2 wk ahead,2013/2014,6,1.4,0.180814888
equal-weights,HHS Region 7,2 wk ahead,2013/2014,7,1.2,0.23178276
equal-weights,HHS Region 7,2 wk ahead,2013/2014,8,1.1,0.297664208
equal-weights,HHS Region 7,2 wk ahead,2013/2014,9,1.4,0.5521149
equal-weights,HHS Region 7,2 wk ahead,2013/2014,10,1,0.387483544
equal-weights,HHS Region 7,2 wk ahead,2013/2014,11,0.8,0.180204892
equal-weights,HHS Region 7,2 wk ahead,2013/2014,12,1,0.598730709
equal-weights,HHS Region 7,2 wk ahead,2013/2014,13,0.7,0.287222265
equal-weights,HHS Region 7,2 wk ahead,2013/2014,14,0.6,0.215759237
equal-weights,HHS Region 7,2 wk ahead,2013/2014,15,0.7,0.365247932
equal-weights,HHS Region 7,2 wk ahead,2013/2014,16,0.5,0.247483232
equal-weights,HHS Region 7,2 wk ahead,2013/2014,17,0.6,0.3240067
equal-weights,HHS Region 7,2 wk ahead,2013/2014,18,0.5,0.3026454
equal-weights,HHS Region 8,2 wk ahead,2013/2014,43,0.8,0.355599003
equal-weights,HHS Region 8,2 wk ahead,2013/2014,44,0.7,0.278709872
equal-weights,HHS Region 8,2 wk ahead,2013/2014,45,1,0.690027486
equal-weights,HHS Region 8,2 wk ahead,2013/2014,46,1,0.719253534
equal-weights,HHS Region 8,2 wk ahead,2013/2014,47,1.5,0.780427852
equal-weights,HHS Region 8,2 wk ahead,2013/2014,48,1.6,0.734560911
equal-weights,HHS Region 8,2 wk ahead,2013/2014,49,2,0.504791839
