model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,43,1.6,0.40594694996
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,44,1.7,0.4492455585
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,45,2.1,0.40974883108
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,46,2.2,0.45797046476
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,47,2.4,0.36858947985
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,48,3.2,0.36464397386
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,49,4.6,0.8523898903
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,50,4.3,0.9966747085
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,51,3.6,0.8065793147
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,52,3.4,0.53705985565
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,1,3.4,0.32409953444
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,2,3.1,0.57499409738
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,3,2.8,0.48072103927
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,4,2.5,0.31771433745
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,5,2.3,0.3255381999
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,6,2.1,0.34579893189
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,7,2,0.502257001
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,8,1.8,0.38182752102
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,9,1.8,0.5034056846
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,10,1.8,0.60273338622
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,11,1.7,0.58790859814
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,12,1.7,0.71630568097
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,13,1.5,0.58174728123
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,14,1.4,0.43873462184
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,15,1.3,0.36647593441
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,16,1.4,0.7757334643
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,17,1.3,0.60862412154
Delphi_ExtendedDeltaDensity,US National,3 wk ahead,2013/2014,18,1.3,0.88029319477
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,43,0.9,0.7611666143
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,44,0.7,0.3125339792
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,45,0.9,0.307871051
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,46,0.8,0.299051442
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,47,1.1,0.7013089059
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,48,1.2,0.45082947533
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,49,1.6,0.75585220212
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,50,1.6,0.8651555513
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,51,1.4,0.68102322
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,52,1.7,0.631897385
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,1,1.9,0.5901927742
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,2,2,0.4658842901
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,3,2.2,0.8764713723
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,4,1.8,0.561746708
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,5,1.8,0.73475918853
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,6,1.5,0.2954695176
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,7,1.5,0.5723075858
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,8,1.4,0.41284746696
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,9,1.7,0.851164695
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,10,1.6,0.8442260498
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,11,1.8,0.88658138654
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,12,2,0.94579832481
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,13,1.7,0.860975574
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,14,1.6,0.71808332412
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,15,1.3,0.47754343104
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,16,1.3,0.5993859522
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,17,1.1,0.5418334577
Delphi_ExtendedDeltaDensity,HHS Region 1,3 wk ahead,2013/2014,18,0.5,0.165926698
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,43,1.5,0.2263615569
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,44,1.8,0.15139767316
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,45,2,0.09022427011
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,46,2,0.2592961122
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,47,1.8,0.1802562989
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,48,2.2,0.17233519038
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,49,2.9,0.45040118876
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,50,3.3,0.902582735
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,51,2.7,0.925960024
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,52,3.1,0.8955614401
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,1,3,0.58198864903
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,2,3.3,0.75324591956
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,3,3.4,0.7502837699
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,4,3.1,0.75316054319
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,5,2.4,0.38996677333
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,6,2.3,0.34084291939
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,7,2.3,0.56016483534
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,8,2.5,0.65554579074
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,9,2.9,0.90635761753
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,10,3.4,0.95514547136
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,11,3.3,0.96339255426
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,12,3.2,0.90161312022
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,13,2.6,0.27252064905
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,14,2.2,0.09596398689
Delphi_ExtendedDeltaDensity,HHS Region 2,3 wk ahead,2013/2014,15,1.9,0.06363727991
