model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
FluX_ARLR,US National,4 wk ahead,2013/2014,43,1.7,0.678275348
FluX_ARLR,US National,4 wk ahead,2013/2014,44,2.1,0.88810803
FluX_ARLR,US National,4 wk ahead,2013/2014,45,2.2,0.87812206
FluX_ARLR,US National,4 wk ahead,2013/2014,46,2.4,0.946293305
FluX_ARLR,US National,4 wk ahead,2013/2014,47,3.2,0.995763052
FluX_ARLR,US National,4 wk ahead,2013/2014,48,4.6,1.00045993105
FluX_ARLR,US National,4 wk ahead,2013/2014,49,4.3,1.0004278871
FluX_ARLR,US National,4 wk ahead,2013/2014,50,3.6,0.9979616954
FluX_ARLR,US National,4 wk ahead,2013/2014,51,3.4,0.88475456907
FluX_ARLR,US National,4 wk ahead,2013/2014,52,3.4,0.67224657804
FluX_ARLR,US National,4 wk ahead,2013/2014,1,3.1,0.54293538024
FluX_ARLR,US National,4 wk ahead,2013/2014,2,2.8,0.20748603045
FluX_ARLR,US National,4 wk ahead,2013/2014,3,2.5,0.00032427745
FluX_ARLR,US National,4 wk ahead,2013/2014,4,2.3,0.00024266225
FluX_ARLR,US National,4 wk ahead,2013/2014,5,2.1,0.01041819329
FluX_ARLR,US National,4 wk ahead,2013/2014,6,2,0.10417850902
FluX_ARLR,US National,4 wk ahead,2013/2014,7,1.8,0.04146837466
FluX_ARLR,US National,4 wk ahead,2013/2014,8,1.8,0.06969450741
FluX_ARLR,US National,4 wk ahead,2013/2014,9,1.8,0.09424743754
FluX_ARLR,US National,4 wk ahead,2013/2014,10,1.7,0.16662138464
FluX_ARLR,US National,4 wk ahead,2013/2014,11,1.7,0.2248871355
FluX_ARLR,US National,4 wk ahead,2013/2014,12,1.5,0.1999233301
FluX_ARLR,US National,4 wk ahead,2013/2014,13,1.4,0.331462039
FluX_ARLR,US National,4 wk ahead,2013/2014,14,1.3,0.385609727
FluX_ARLR,US National,4 wk ahead,2013/2014,15,1.4,0.583146917
FluX_ARLR,US National,4 wk ahead,2013/2014,16,1.3,0.541544591
FluX_ARLR,US National,4 wk ahead,2013/2014,17,1.3,0.581116382
FluX_ARLR,US National,4 wk ahead,2013/2014,18,1.2,0.58135405
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,43,0.7,0.27502607
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,44,0.9,0.33018537
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,45,0.8,0.27474308
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,46,1.1,0.37790464
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,47,1.2,0.41123944
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,48,1.6,0.49767844
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,49,1.6,0.48732765
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,50,1.4,0.45605146
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,51,1.7,0.51732533
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,52,1.9,0.80256899
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,1,2,0.74444096
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,2,2.2,0.74252238
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,3,1.8,0.55852644
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,4,1.8,0.525539419
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,5,1.5,0.59314733
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,6,1.5,0.48820529
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,7,1.4,0.37577016
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,8,1.7,0.51181267
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,9,1.6,0.433701443
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,10,1.8,0.6063972
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,11,2,0.67952749
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,12,1.7,0.52686601
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,13,1.6,0.430909094
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,14,1.3,0.37673303
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,15,1.3,0.342306688
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,16,1.1,0.39231274
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,17,0.5,0.11188103
FluX_ARLR,HHS Region 1,4 wk ahead,2013/2014,18,0.5,0.10390887
FluX_ARLR,HHS Region 2,4 wk ahead,2013/2014,43,1.8,0.375796459
FluX_ARLR,HHS Region 2,4 wk ahead,2013/2014,44,2,0.444691507
FluX_ARLR,HHS Region 2,4 wk ahead,2013/2014,45,2,0.403855832
