model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Protea_Kudu,US National,4 wk ahead,2013/2014,43,1.7,0.3758025504
Protea_Kudu,US National,4 wk ahead,2013/2014,44,2.1,0.9225346821
Protea_Kudu,US National,4 wk ahead,2013/2014,45,2.2,0.9146470706
Protea_Kudu,US National,4 wk ahead,2013/2014,46,2.4,0.8144480264
Protea_Kudu,US National,4 wk ahead,2013/2014,47,3.2,0.87078548005
Protea_Kudu,US National,4 wk ahead,2013/2014,48,4.6,0.95419605539
Protea_Kudu,US National,4 wk ahead,2013/2014,49,4.3,0.97342767429
Protea_Kudu,US National,4 wk ahead,2013/2014,50,3.6,0.9134930216
Protea_Kudu,US National,4 wk ahead,2013/2014,51,3.4,0.7502280265
Protea_Kudu,US National,4 wk ahead,2013/2014,52,3.4,0.598687291
Protea_Kudu,US National,4 wk ahead,2013/2014,1,3.1,0.44549786765
Protea_Kudu,US National,4 wk ahead,2013/2014,2,2.8,0.187079002721
Protea_Kudu,US National,4 wk ahead,2013/2014,3,2.5,0.140608683742
Protea_Kudu,US National,4 wk ahead,2013/2014,4,2.3,0.13991814324
Protea_Kudu,US National,4 wk ahead,2013/2014,5,2.1,0.197478453483
Protea_Kudu,US National,4 wk ahead,2013/2014,6,2,0.24506545448
Protea_Kudu,US National,4 wk ahead,2013/2014,7,1.8,0.1464782052
Protea_Kudu,US National,4 wk ahead,2013/2014,8,1.8,0.23929919954
Protea_Kudu,US National,4 wk ahead,2013/2014,9,1.8,0.46093672009
Protea_Kudu,US National,4 wk ahead,2013/2014,10,1.7,0.77174171807
Protea_Kudu,US National,4 wk ahead,2013/2014,11,1.7,0.90148079271
Protea_Kudu,US National,4 wk ahead,2013/2014,12,1.5,0.9173894287
Protea_Kudu,US National,4 wk ahead,2013/2014,13,1.4,0.884262383
Protea_Kudu,US National,4 wk ahead,2013/2014,14,1.3,0.7607451992
Protea_Kudu,US National,4 wk ahead,2013/2014,15,1.4,0.8206289005
Protea_Kudu,US National,4 wk ahead,2013/2014,16,1.3,0.8309712664
Protea_Kudu,US National,4 wk ahead,2013/2014,17,1.3,0.8587678755
Protea_Kudu,US National,4 wk ahead,2013/2014,18,1.2,0.7591260802
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,43,0.7,0.3526117125
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,44,0.9,0.822035552
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,45,0.8,0.3754501948
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,46,1.1,0.7908813228
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,47,1.2,0.8132301169
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,48,1.6,0.6724401481
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,49,1.6,0.685526698
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,50,1.4,0.697387886
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,51,1.7,0.7663960193
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,52,1.9,0.7938819049
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,1,2,0.663674642
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,2,2.2,0.49078324067
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,3,1.8,0.2785409483
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,4,1.8,0.2807358246
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,5,1.5,0.3388456343
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,6,1.5,0.559894318
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,7,1.4,0.545815016
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,8,1.7,0.855192046
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,9,1.6,0.906744402
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,10,1.8,0.98940796
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,11,2,0.9899733426
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,12,1.7,0.9615525457
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,13,1.6,0.9708779919
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,14,1.3,0.817302452033
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,15,1.3,0.958216328
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,16,1.1,0.8404335263
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,17,0.5,0.64439044
Protea_Kudu,HHS Region 1,4 wk ahead,2013/2014,18,0.5,0.62870798
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,43,1.8,0.60399345052
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,44,2,0.61361453843
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,45,2,0.58333697778
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,46,1.8,0.52902691738
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,47,2.2,0.519244757
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,48,2.9,0.8343756949
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,49,3.3,0.93446225306
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,50,2.7,0.93160236999
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,51,3.1,0.85218525452
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,52,3,0.7909765844
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,1,3.3,0.634987115
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,2,3.4,0.6872456521
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,3,3.1,0.5164583089
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,4,2.4,0.26485769801
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,5,2.3,0.518852974
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,6,2.3,0.601508438
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,7,2.5,0.559202461
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,8,2.9,0.832136614
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,9,3.4,0.973034609
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,10,3.3,0.988579571
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,11,3.2,0.9801133848
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,12,2.6,0.9742983757
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,13,2.2,0.980974668
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,14,1.9,0.85847328
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,15,2.3,0.959255554
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,16,2.1,0.914150185
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,17,2,0.893166038
Protea_Kudu,HHS Region 2,4 wk ahead,2013/2014,18,2.2,0.861111567
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,43,1.2,0.0888330074
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,44,1.5,0.26288086578
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,45,1.5,0.2774791317
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,46,1.6,0.30147331281
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,47,2.2,0.463614313
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,48,3.3,0.5756564732
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,49,3.6,0.900915922
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,50,3.2,0.8912595786
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,51,3.4,0.749861811
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,52,3.5,0.65958596859
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,1,3,0.5461895013
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,2,2.8,0.3456107087
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,3,2.4,0.1463811813
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,4,2,0.1088506851
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,5,2,0.1920222584
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,6,1.8,0.229013494
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,7,1.6,0.12125315845
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,8,1.7,0.276777932
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,9,1.8,0.33982647667
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,10,1.9,0.60260982831
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,11,1.7,0.4401889824
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,12,1.3,0.372128245
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,13,1.2,0.3259401629
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,14,1.1,0.2370919452
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,15,1.2,0.2886603069
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,16,1.3,0.48784369
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,17,1.3,0.5873846095
Protea_Kudu,HHS Region 3,4 wk ahead,2013/2014,18,1.1,0.4929946342
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,43,1.7,0.7237745372
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,44,2.2,0.967544558446
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,45,2.3,0.943946519869
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,46,2.4,0.6914803452
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,47,3.2,0.7494382997
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,48,4.6,0.986285096956
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,49,3.9,0.986623682018
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,50,3.1,0.9043330516
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,51,2.8,0.64271283595
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,52,2.9,0.6471078358
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,1,2.7,0.49873216612
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,2,2.2,0.1926298926
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,3,2,0.1755751086
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,4,1.5,0.0832596317
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,5,1.4,0.084301397656
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,6,1.4,0.05854231748
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,7,1.1,0.028350461594
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,8,1,0.1105553832
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,9,1,0.10781323469
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,10,0.9,0.25983352604
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,11,0.8,0.2059646691
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,12,0.8,0.415388275
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,13,0.8,0.4200238731
Protea_Kudu,HHS Region 4,4 wk ahead,2013/2014,14,0.7,0.395723975
