model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CUBMA,US National,1 wk ahead,2014/2015,43,1.5,0.7819403574102
CUBMA,US National,1 wk ahead,2014/2015,44,1.7,1.00000004254081
CUBMA,US National,1 wk ahead,2014/2015,45,1.6,0.979999992619879
CUBMA,US National,1 wk ahead,2014/2015,46,2.1,0.937058330856094
CUBMA,US National,1 wk ahead,2014/2015,47,2.6,0.96955293584313
CUBMA,US National,1 wk ahead,2014/2015,48,2.6,0.423364665
CUBMA,US National,1 wk ahead,2014/2015,49,3.7,0.592007846
CUBMA,US National,1 wk ahead,2014/2015,50,5,0.97030647121
CUBMA,US National,1 wk ahead,2014/2015,51,6,0.63987222339439
CUBMA,US National,1 wk ahead,2014/2015,52,5.5,0.931846515136016
CUBMA,US National,1 wk ahead,2014/2015,53,4.2,0.530622168293503
CUBMA,US National,1 wk ahead,2014/2015,1,4.3,0.4252322262
CUBMA,US National,1 wk ahead,2014/2015,2,4.3,0.778776593556
CUBMA,US National,1 wk ahead,2014/2015,3,4,0.492658236
CUBMA,US National,1 wk ahead,2014/2015,4,3.6,0.371796953
CUBMA,US National,1 wk ahead,2014/2015,5,3.3,0.0177941654563975
CUBMA,US National,1 wk ahead,2014/2015,6,3,0.0588752081170907
CUBMA,US National,1 wk ahead,2014/2015,7,2.6,0.284824643862422
CUBMA,US National,1 wk ahead,2014/2015,8,2.5,0.287075911763946
CUBMA,US National,1 wk ahead,2014/2015,9,2.4,0.75496426049
CUBMA,US National,1 wk ahead,2014/2015,10,2.2,0.65736442
CUBMA,US National,1 wk ahead,2014/2015,11,2.1,0.77246667919
CUBMA,US National,1 wk ahead,2014/2015,12,2,0.950470186555067
CUBMA,US National,1 wk ahead,2014/2015,13,1.8,0.88018984326
CUBMA,US National,1 wk ahead,2014/2015,14,1.6,0.74210590217
CUBMA,US National,1 wk ahead,2014/2015,15,1.4,0.556056192
CUBMA,US National,1 wk ahead,2014/2015,16,1.5,0.35170903
CUBMA,US National,1 wk ahead,2014/2015,17,1.4,0.528828627242913
CUBMA,US National,1 wk ahead,2014/2015,18,1.4,0.528828627242913
CUBMA,HHS Region 1,1 wk ahead,2014/2015,43,1,0.290193955148662
CUBMA,HHS Region 1,1 wk ahead,2014/2015,44,1.2,0.57341397876087
CUBMA,HHS Region 1,1 wk ahead,2014/2015,45,1.1,0.6844945245968
CUBMA,HHS Region 1,1 wk ahead,2014/2015,46,1,0.3643698104
CUBMA,HHS Region 1,1 wk ahead,2014/2015,47,1.1,0.40461940396
CUBMA,HHS Region 1,1 wk ahead,2014/2015,48,1.1,0.41979312162486
CUBMA,HHS Region 1,1 wk ahead,2014/2015,49,1.2,0.48643126
CUBMA,HHS Region 1,1 wk ahead,2014/2015,50,1.3,0.0862883710430813
CUBMA,HHS Region 1,1 wk ahead,2014/2015,51,2,0.45799254119779
CUBMA,HHS Region 1,1 wk ahead,2014/2015,52,1.9,0.476729085
CUBMA,HHS Region 1,1 wk ahead,2014/2015,53,1.9,0.934711374098023
CUBMA,HHS Region 1,1 wk ahead,2014/2015,1,2.6,0.74913808167
CUBMA,HHS Region 1,1 wk ahead,2014/2015,2,3.9,0.943794911503492
CUBMA,HHS Region 1,1 wk ahead,2014/2015,3,3.6,0.3578908758
CUBMA,HHS Region 1,1 wk ahead,2014/2015,4,3.6,0.398332791
CUBMA,HHS Region 1,1 wk ahead,2014/2015,5,3.3,0.267488066
CUBMA,HHS Region 1,1 wk ahead,2014/2015,6,2.9,0.114910068102896
CUBMA,HHS Region 1,1 wk ahead,2014/2015,7,1.9,0.051623102761
CUBMA,HHS Region 1,1 wk ahead,2014/2015,8,1.8,0.3077564694
CUBMA,HHS Region 1,1 wk ahead,2014/2015,9,1.7,0.107915520377398
CUBMA,HHS Region 1,1 wk ahead,2014/2015,10,1.5,0.112661775942908
CUBMA,HHS Region 1,1 wk ahead,2014/2015,11,1.5,0.256546472469416
CUBMA,HHS Region 1,1 wk ahead,2014/2015,12,1.6,0.999930101998985
CUBMA,HHS Region 1,1 wk ahead,2014/2015,13,1.4,0.824034133417
CUBMA,HHS Region 1,1 wk ahead,2014/2015,14,1.3,0.588869683306
CUBMA,HHS Region 1,1 wk ahead,2014/2015,15,1.3,0.738358080245
CUBMA,HHS Region 1,1 wk ahead,2014/2015,16,1,0.24679004
CUBMA,HHS Region 1,1 wk ahead,2014/2015,17,1,0.4223077954012
CUBMA,HHS Region 1,1 wk ahead,2014/2015,18,0.8,0.1286686954012
CUBMA,HHS Region 2,1 wk ahead,2014/2015,43,2,0.230183495936
CUBMA,HHS Region 2,1 wk ahead,2014/2015,44,2.5,0.7744499227724
CUBMA,HHS Region 2,1 wk ahead,2014/2015,45,2.3,0.978649161410069
CUBMA,HHS Region 2,1 wk ahead,2014/2015,46,2.8,0.5553791612
CUBMA,HHS Region 2,1 wk ahead,2014/2015,47,2.9,0.789579942932233
CUBMA,HHS Region 2,1 wk ahead,2014/2015,48,2.4,0.2023550207
CUBMA,HHS Region 2,1 wk ahead,2014/2015,49,2.9,0.0774652445538881
CUBMA,HHS Region 2,1 wk ahead,2014/2015,50,3.6,0.59394658821544
CUBMA,HHS Region 2,1 wk ahead,2014/2015,51,5.2,0.53456496427987
CUBMA,HHS Region 2,1 wk ahead,2014/2015,52,4.5,0.9357361193479
CUBMA,HHS Region 2,1 wk ahead,2014/2015,53,4,0.82043420789465
CUBMA,HHS Region 2,1 wk ahead,2014/2015,1,4.6,0.412642854148731
CUBMA,HHS Region 2,1 wk ahead,2014/2015,2,5,0.600717355
CUBMA,HHS Region 2,1 wk ahead,2014/2015,3,5.2,0.7777581828993
CUBMA,HHS Region 2,1 wk ahead,2014/2015,4,5.2,0.502625144417
CUBMA,HHS Region 2,1 wk ahead,2014/2015,5,4.9,0.2829907866
