model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Protea_Springbok,US National,2 wk ahead,2014/2015,43,1.7,0.462
Protea_Springbok,US National,2 wk ahead,2014/2015,44,1.6,0.212
Protea_Springbok,US National,2 wk ahead,2014/2015,45,2.1,0.65
Protea_Springbok,US National,2 wk ahead,2014/2015,46,2.6,0.95
Protea_Springbok,US National,2 wk ahead,2014/2015,47,2.6,0.648
Protea_Springbok,US National,2 wk ahead,2014/2015,48,3.7,0.828
Protea_Springbok,US National,2 wk ahead,2014/2015,49,5,1
Protea_Springbok,US National,2 wk ahead,2014/2015,50,6,0.98
Protea_Springbok,US National,2 wk ahead,2014/2015,51,5.5,0.198
Protea_Springbok,US National,2 wk ahead,2014/2015,52,4.2,0
Protea_Springbok,US National,2 wk ahead,2014/2015,53,4.3,0.024
Protea_Springbok,US National,2 wk ahead,2014/2015,1,4.3,0.506
Protea_Springbok,US National,2 wk ahead,2014/2015,2,4,0.266
Protea_Springbok,US National,2 wk ahead,2014/2015,3,3.6,0.114
Protea_Springbok,US National,2 wk ahead,2014/2015,4,3.3,0.144
Protea_Springbok,US National,2 wk ahead,2014/2015,5,3,0.202
Protea_Springbok,US National,2 wk ahead,2014/2015,6,2.6,0.258
Protea_Springbok,US National,2 wk ahead,2014/2015,7,2.5,0.306
Protea_Springbok,US National,2 wk ahead,2014/2015,8,2.4,0.614
Protea_Springbok,US National,2 wk ahead,2014/2015,9,2.2,0.598
Protea_Springbok,US National,2 wk ahead,2014/2015,10,2.1,0.528
Protea_Springbok,US National,2 wk ahead,2014/2015,11,2,0.638
Protea_Springbok,US National,2 wk ahead,2014/2015,12,1.8,0.59
Protea_Springbok,US National,2 wk ahead,2014/2015,13,1.6,0.546
Protea_Springbok,US National,2 wk ahead,2014/2015,14,1.4,0.276
Protea_Springbok,US National,2 wk ahead,2014/2015,15,1.5,0.892
Protea_Springbok,US National,2 wk ahead,2014/2015,16,1.4,0.868
Protea_Springbok,US National,2 wk ahead,2014/2015,17,1.4,0.776
Protea_Springbok,US National,2 wk ahead,2014/2015,18,1.3,0.766
Protea_Springbok,HHS Region 1,2 wk ahead,2014/2015,43,1.2,0.688
