model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,43,2.1,0.450615553
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,44,2.6,0.574253473
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,45,2.6,0.549579843
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,46,3.7,0.692164849
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,47,5,0.762295869
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,48,6,0.750488234
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,49,5.5,0.819782177
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,50,4.2,0.768182629
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,51,4.3,0.76605848
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,52,4.3,0.715423063
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,53,4,0.628275484
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,1,3.6,0.51967087
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,2,3.3,0.440973628
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,3,3,0.432284206
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,4,2.6,0.393636816
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,5,2.5,0.401004143
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,6,2.4,0.453908474
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,7,2.2,0.502568211
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,8,2.1,0.601393301
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,9,2,0.713993028
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,10,1.8,0.710048152
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,11,1.6,0.700781639
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,12,1.4,0.643396862
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,13,1.5,0.51896966
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,14,1.4,0.54122757
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,15,1.4,0.605907529
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,16,1.3,0.54717882
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,17,1.3,0.52602444
Delphi_EmpiricalFutures,US National,4 wk ahead,2014/2015,18,1.2,0.54340117
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,43,1,0.36463706
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,44,1.1,0.466495
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,45,1.1,0.41655871
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,46,1.2,0.32693985
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,47,1.3,0.32139638
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,48,2,0.43601001
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,49,1.9,0.43290023
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,50,1.9,0.50815168
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,51,2.6,0.72127781
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,52,3.9,0.83445921
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,53,3.6,0.844150441
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,1,3.6,0.7577602
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,2,3.3,0.66173026
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,3,2.9,0.6303088
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,4,1.9,0.48895048
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,5,1.8,0.52450136
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,6,1.7,0.53746255
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,7,1.5,0.53463024
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,8,1.5,0.62318408
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,9,1.6,0.6619781
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,10,1.4,0.5797681
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,11,1.3,0.62805373
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,12,1.3,0.66165593
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,13,1,0.54669675
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,14,1,0.60401597
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,15,0.8,0.53476891
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,16,0.8,0.718905
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,17,0.8,0.67471846
Delphi_EmpiricalFutures,HHS Region 1,4 wk ahead,2014/2015,18,0.7,0.48326689
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,43,2.8,0.665936303
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,44,2.9,0.722809867
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,45,2.4,0.535927213
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,46,2.9,0.577652907
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,47,3.6,0.568389395
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,48,5.2,0.710362066
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,49,4.5,0.768176237
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,50,4,0.70759811
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,51,4.6,0.769782355
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,52,5,0.808311333
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,53,5.2,0.850977628
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,1,5.2,0.827101383
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,2,4.9,0.795049519
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,3,3.7,0.62123726
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,4,3.4,0.600911498
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,5,2.8,0.54122337
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,6,2.5,0.471869154
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,7,2.8,0.600568322
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,8,2.6,0.582994317
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,9,2.5,0.623668675
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,10,2.3,0.605299086
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,11,2,0.612663077
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,12,1.9,0.649060043
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,13,1.8,0.5504186
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,14,1.9,0.63493624
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,15,1.8,0.56299281
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,16,1.6,0.43654753
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,17,1.9,0.50348143
Delphi_EmpiricalFutures,HHS Region 2,4 wk ahead,2014/2015,18,1.6,0.44286978
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,43,1.7,0.304041943
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,44,2.2,0.458188373
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,45,2.1,0.402210821
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,46,2.9,0.554907899
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,47,4.5,0.714437144
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,48,7.2,0.833093755
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,49,6.9,0.88095561
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,50,4.8,0.783288747
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,51,4.1,0.686877779
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,52,4.5,0.720096899
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,53,4.2,0.687945476
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,1,3.5,0.528994076
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,2,2.6,0.324891775
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,3,2.5,0.326562321
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,4,1.8,0.222696936
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,5,2.1,0.278603932
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,6,1.7,0.237957805
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,7,1.6,0.250719931
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,8,1.8,0.345137428
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,9,1.7,0.391217751
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,10,1.7,0.456162845
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,11,1.5,0.44161346
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,12,1.3,0.495336404
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,13,1.5,0.502641827
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,14,1.3,0.365676324
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,15,1.2,0.362012582
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,16,1.2,0.396665311
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,17,1.6,0.636021489
Delphi_EmpiricalFutures,HHS Region 3,4 wk ahead,2014/2015,18,1.2,0.490423687
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,43,2.2,0.547715668
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,44,3.1,0.752549947
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,45,2.9,0.584804486
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,46,3.8,0.62559554
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,47,5.7,0.763331997
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,48,7.5,0.858783539
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,49,5.2,0.795335599
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,50,3.4,0.691886462
Delphi_EmpiricalFutures,HHS Region 4,4 wk ahead,2014/2015,51,3,0.619772369
