model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,43,1.5,0.76782
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,44,1.5,0.61552
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,45,1.6,0.38154
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,46,1.9,0.77934
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,47,1.7,0.17376
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,48,1.8,0.33036
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,49,1.9,0.3805
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,50,2.4,0.52134
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,51,2.5,0.3419
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,52,2,0.04924
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,1,2,0.62064
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,2,2.2,0.57548
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,3,2.3,0.63524
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,4,2.4,0.66714
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,5,2.8,0.82148
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,6,3.2,0.67098
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,7,3.2,0.72026
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,8,3.3,0.80612
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,9,3.6,0.88284
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,10,3.1,0.31648
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,11,2.8,0.43898
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,12,2.5,0.45188
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,13,2.1,0.49146
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,14,2,0.8554
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,15,1.9,0.5612
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,16,1.7,0.4309
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,17,1.6,0.42434
ReichLab_kcde_backfill_none,US National,1 wk ahead,2015/2016,18,1.4,0.16356
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,43,0.9,0.08978
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,44,0.8,0.04018
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,45,0.7,0.00636
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,46,1,0.04928
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,47,0.8,0.0036
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,48,1,0.02326
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,49,1,0.0145
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,50,1.4,0.0544
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,51,1.6,0.0564
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,52,1.3,0.00532
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,1,1.4,0.0928
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,2,1.5,0.11546
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,3,1.7,0.2266
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,4,1.8,0.27778
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,5,2,0.42956
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,6,2,0.18134
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,7,2,0.16704
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,8,2,0.16634
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,9,2.5,0.24228
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,10,2.2,0.12872
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,11,2,0.18792
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,12,2,0.30642
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,13,1.7,0.23338
ReichLab_kcde_backfill_none,HHS Region 1,1 wk ahead,2015/2016,14,1.6,0.34218
