model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,43,1.9,0.41067384826
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,44,1.7,0.26996838005
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,45,1.8,0.22021500648
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,46,1.9,0.24934994779
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,47,2.4,0.07006687818
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,48,2.5,0.11746332058
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,49,2,0.06789832854
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,50,2,0.30510643977
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,51,2.2,0.46943634932
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,52,2.3,0.844412222
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,1,2.4,0.57238710772
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,2,2.8,0.36329766882
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,3,3.2,0.82384898918
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,4,3.2,0.92947293746
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,5,3.3,0.98930779973
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,6,3.6,0.99584219213
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,7,3.1,0.98285643583
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,8,2.8,0.97454127596
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,9,2.5,0.93086463506
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,10,2.1,0.84607967558
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,11,2,0.85106593493
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,12,1.9,0.93421645807
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,13,1.7,0.56009567891
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,14,1.6,0.69840979221
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,15,1.4,0.22343598004
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,16,1.3,0.09193155244
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,17,1.2,0.02743099721
Delphi_MarkovianDeltaDensity,US National,4 wk ahead,2015/2016,18,1.2,0.04537003035
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,43,1,0.77759002508
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,44,0.8,0.51213230711
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,45,1,0.55055720984
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,46,1,0.7117065699
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,47,1.4,0.90818306039
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,48,1.6,0.76004432414
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,49,1.3,0.6257801185
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,50,1.4,0.808818049
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,51,1.5,0.6112834239
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,52,1.7,0.944479116
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,1,1.8,0.6166946832
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,2,2,0.520569478
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,3,2,0.497072181
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,4,2,0.55798064864
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,5,2,0.8489611973
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,6,2.5,0.9948720045
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,7,2.2,0.9158122738
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,8,2,0.932650985
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,9,2,0.9424799454
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,10,1.7,0.59663250309
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,11,1.6,0.48630659849
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,12,1.6,0.30846741775
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,13,1.1,0.26042919716
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,14,1.1,0.76948507635
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,15,0.9,0.30740336142
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,16,0.9,0.6067385325
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,17,0.8,0.887527188
Delphi_MarkovianDeltaDensity,HHS Region 1,4 wk ahead,2015/2016,18,0.7,0.584271867
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,43,1.4,0.16126646111
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,44,1.6,0.12971967676
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,45,1.9,0.39570777112
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,46,1.7,0.34784527891
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,47,2.3,0.2343301907
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,48,2.3,0.13012538458
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,49,1.8,0.04151364675
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,50,2.4,0.3866998372
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,51,2.2,0.2731257458
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,52,2.3,0.990629126
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,1,2.5,0.49167908923
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,2,3.2,0.18801103604
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,3,2.8,0.25465137133
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,4,3.2,0.78255120995
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,5,3.7,0.94113630843
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,6,4,0.96790921754
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,7,4.1,0.98082346682
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,8,3.3,0.87168997837
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,9,2.3,0.10426580457
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,10,2,0.049912616
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,11,2.2,0.02495960722
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,12,2,0.01267522515
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,13,1.7,0.3931968391
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,14,1.5,0.14036918027
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,15,1.3,0.00189357532
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,16,1.3,0.02577795896
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,17,1.2,0.05472347464
Delphi_MarkovianDeltaDensity,HHS Region 2,4 wk ahead,2015/2016,18,0.8,0.0232762624
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,43,2.2,0.71702987138
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,44,1.8,0.54456017439
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,45,2,0.54674707414
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,46,2.3,0.50795382578
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,47,2.8,0.28136569414
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,48,3,0.27332951277
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,49,2.4,0.11877016494
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,50,2.3,0.4609470994
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,51,2.3,0.5394324592
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,52,2.2,0.968844668
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,1,2,0.25628693721
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,2,2.3,0.3686429189
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,3,2.6,0.66772565677
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,4,2.9,0.71903848389
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,5,3.3,0.9244419838
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,6,4,0.9869468061
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,7,3.2,0.9513296272
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,8,3,0.8422801008
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,9,2.5,0.76453429838
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,10,2.1,0.42780385163
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,11,2.2,0.66351016085
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,12,2.3,0.77672689314
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,13,2.2,0.97807088708
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,14,1.9,0.75143291417
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,15,1.7,0.38727219434
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,16,1.7,0.23533291345
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,17,1.6,0.46342966622
Delphi_MarkovianDeltaDensity,HHS Region 3,4 wk ahead,2015/2016,18,1.9,0.8985580936
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,43,1.7,0.54604401761
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,44,1.4,0.48374692308
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,45,1.4,0.33654756028
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,46,1.5,0.4383751132
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,47,1.9,0.38311983003
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,48,1.8,0.20756603984
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,49,1.4,0.1584192019
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,50,1.5,0.465978613
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,51,1.8,0.661989437
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,52,1.9,0.997118161
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,1,2.1,0.38913864741
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,2,2.3,0.4072833862
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,3,2.9,0.6751609929
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,4,3.4,0.9515471963
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,5,3.3,0.97516463355
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,6,3.6,0.99678208117
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,7,2.9,0.98484131736
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,8,2.8,0.95796651935
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,9,2.7,0.99695537926
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,10,2.1,0.64045897096
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,11,2,0.9634392321
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,12,2,0.52348058443
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,13,1.8,0.30480323401
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,14,1.7,0.10435697278
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,15,1.4,0.00377272901
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,16,1.2,0.56967248995
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,17,1.1,0.54753694791
Delphi_MarkovianDeltaDensity,HHS Region 4,4 wk ahead,2015/2016,18,1.1,0.50874536859
Delphi_MarkovianDeltaDensity,HHS Region 5,4 wk ahead,2015/2016,43,1.4,0.65143401294
