model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,43,1.5,0.675
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,44,1.6,0.7903
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,45,1.6,0.3413
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,46,1.9,0.365
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,47,1.8,0.4838
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,48,1.9,0.2151
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,49,2.2,0.1484
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,50,2.7,0.1802
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,51,3.4,0.8782
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,52,3.1,0.961
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,1,3.1,0.7185
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,2,3.5,0.6891
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,3,3.8,0.8841
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,4,4.4,0.9475
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,5,5.1,0.9497
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,6,4.9,0.7227
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,7,4.6,0.6393
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,8,3.6,0.0987
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,9,3.5,0.2449
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,10,3.2,0.4651
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,11,3.1,0.6376
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,12,2.8,0.4856
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,13,2.4,0.37
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,14,2,0.1928
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,15,1.8,0.3098
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,16,1.6,0.3636
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,17,1.4,0.3612
ReichLab_sarima_seasonal_difference_TRUE,US National,1 wk ahead,2016/2017,18,1.3,0.3019
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,43,0.9,0.6978
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,44,0.9,0.7255
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,45,0.9,0.4735
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,46,1,0.4224
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,47,0.9,0.5782
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,48,0.9,0.4619
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,49,1,0.4392
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,50,1.2,0.2546
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,51,1.4,0.5686
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,52,1.6,0.7161
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,1,1.5,0.2691
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,2,1.7,0.3733
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,3,2.1,0.5659
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,4,2.5,0.5885
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,5,3.2,0.7007
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,6,3,0.401
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,7,3,0.8217
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,8,2.2,0.2813
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,9,2.1,0.6198
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,10,2.1,0.4553
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,11,1.9,0.4816
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,12,2,0.5349
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,13,2.2,0.7103
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,14,1.8,0.5863
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,15,1.5,0.4073
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,16,1.1,0.5214
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,17,0.9,0.5307
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,1 wk ahead,2016/2017,18,0.7,0.4505
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,43,2.2,0.4052
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,44,2.5,0.7006
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,45,2.5,0.3799
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,46,3.3,0.6431
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,47,3.2,0.5429
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,48,3.3,0.3441
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,49,3.4,0.4245
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,50,4.5,0.4723
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,51,6,0.8198
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,52,5.3,0.7414
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,1,5.1,0.257
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,2,5.7,0.4916
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,3,6,0.7924
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,4,6.5,0.5052
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,5,6.9,0.41
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,6,5.7,0.4849
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,7,4.7,0.2775
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,8,3.1,0.089
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,9,3.1,0.3198
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,10,3.3,0.5741
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,11,3.1,0.8281
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,12,3.7,0.9696
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,13,3.7,0.6507
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,14,3.1,0.3244
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,15,2.3,0.2359
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,16,2.4,0.6298
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,17,2,0.6628
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,1 wk ahead,2016/2017,18,2,0.5316
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,43,1.4,0.5179
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,44,1.4,0.6164
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,45,1.4,0.4148
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,46,1.7,0.5147
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,47,1.5,0.5797
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,48,1.6,0.3724
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,49,1.9,0.4974
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,1 wk ahead,2016/2017,50,2.2,0.3352
