model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,43,1.6,0.807434
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,44,1.6,0.429372
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,45,1.9,0.616072
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,46,1.8,0.346707
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,47,1.9,0.140659
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,48,2.2,0.538035
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,49,2.7,0.959439
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,50,3.4,0.950127
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,51,3.1,0.134576
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,52,3.1,0.100596
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,1,3.5,0.23937
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,2,3.8,0.404037
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,3,4.4,0.739415
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,4,5.1,0.896869
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,5,4.9,0.660679
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,6,4.6,0.261932
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,7,3.6,0.094658
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,8,3.5,0.256711
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,9,3.2,0.392064
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,10,3.1,0.42867
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,11,2.8,0.482088
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,12,2.4,0.182044
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,13,2,0.174653
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,14,1.8,0.259352
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,15,1.6,0.327358
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,16,1.4,0.191371
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,17,1.3,0.455415
CU_EKF_SEIRS,US National,2 wk ahead,2016/2017,18,1.3,0.51539
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,43,0.9,0.906022
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,44,0.9,0.480078
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,45,1,0.287983
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,46,0.9,0.219367
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,47,0.9,0.14802
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,48,1,0.432694
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,49,1.2,0.611387
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,50,1.4,0.517333
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,51,1.6,0.27734
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,52,1.5,0.093988
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,1,1.7,0.225353
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,2,2.1,0.565397
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,3,2.5,0.649495
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,4,3.2,0.893474
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,5,3,0.27599
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,6,3,0.213329
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,7,2.2,0.121998
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,8,2.1,0.192074
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,9,2.1,0.260058
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,10,1.9,0.419374
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,11,2,0.761528
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,12,2.2,0.871475
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,13,1.8,0.664117
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,14,1.5,0.20202
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,15,1.1,0.161326
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,16,0.9,0.096001
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,17,0.7,0.208701
CU_EKF_SEIRS,HHS Region 1,2 wk ahead,2016/2017,18,0.7,0.194679
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,43,2.5,0.296795
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,44,2.5,0.406671
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,45,3.3,0.980117
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,46,3.2,0.712678
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,47,3.3,0.178608
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,48,3.4,0.326166
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,49,4.5,0.742141
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,50,6,0.982115
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,51,5.3,0.597953
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,52,5.1,0.198658
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,1,5.7,0.552775
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,2,6,0.693488
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,3,6.5,0.784086
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,4,6.9,0.526682
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,5,5.7,0.519363
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,6,4.7,0.135979
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,7,3.1,0.012622
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,8,3.1,0.184672
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,9,3.3,0.668151
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,10,3.1,0.928101
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,11,3.7,0.984117
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,12,3.7,0.903409
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,13,3.1,0.305374
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,14,2.3,0.007301
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,15,2.4,0.105345
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,16,2,0.224006
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,17,2,0.648714
CU_EKF_SEIRS,HHS Region 2,2 wk ahead,2016/2017,18,2.1,0.890085
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,43,1.4,0.978
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,44,1.4,0.955359
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,45,1.7,0.840717
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,46,1.5,0.232698
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,47,1.6,0.105329
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,48,1.9,0.294031
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,49,2.2,0.616052
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,50,3.1,0.802084
CU_EKF_SEIRS,HHS Region 3,2 wk ahead,2016/2017,51,2.7,0.084629
