model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
FluOutlook_Mech,US National,2 wk ahead,2016/2017,43,1.6,0.94232668
FluOutlook_Mech,US National,2 wk ahead,2016/2017,44,1.6,0.77216153
FluOutlook_Mech,US National,2 wk ahead,2016/2017,45,1.9,0.52051619
FluOutlook_Mech,US National,2 wk ahead,2016/2017,46,1.8,0.1012559607
FluOutlook_Mech,US National,2 wk ahead,2016/2017,47,1.9,0.32124924
FluOutlook_Mech,US National,2 wk ahead,2016/2017,48,2.2,0.275337263
FluOutlook_Mech,US National,2 wk ahead,2016/2017,49,2.7,0.1575922022
FluOutlook_Mech,US National,2 wk ahead,2016/2017,50,3.4,0.2041771821
FluOutlook_Mech,US National,2 wk ahead,2016/2017,51,3.1,0.606009485
FluOutlook_Mech,US National,2 wk ahead,2016/2017,52,3.1,0.13976181819
FluOutlook_Mech,US National,2 wk ahead,2016/2017,1,3.5,0.36213784199
FluOutlook_Mech,US National,2 wk ahead,2016/2017,2,3.8,0.71644333453
FluOutlook_Mech,US National,2 wk ahead,2016/2017,3,4.4,0.9700224604
FluOutlook_Mech,US National,2 wk ahead,2016/2017,4,5.1,0.9999999542
FluOutlook_Mech,US National,2 wk ahead,2016/2017,5,4.9,0.43884993342
FluOutlook_Mech,US National,2 wk ahead,2016/2017,6,4.6,0.0389717559
FluOutlook_Mech,US National,2 wk ahead,2016/2017,7,3.6,0.0300537304
FluOutlook_Mech,US National,2 wk ahead,2016/2017,8,3.5,0.462625918
FluOutlook_Mech,US National,2 wk ahead,2016/2017,9,3.2,0.997556886
FluOutlook_Mech,US National,2 wk ahead,2016/2017,10,3.1,0.98471184
FluOutlook_Mech,US National,2 wk ahead,2016/2017,11,2.8,0.9752469883
FluOutlook_Mech,US National,2 wk ahead,2016/2017,12,2.4,0.959616027
FluOutlook_Mech,US National,2 wk ahead,2016/2017,13,2,0.36262405
FluOutlook_Mech,US National,2 wk ahead,2016/2017,14,1.8,0.23955775
FluOutlook_Mech,US National,2 wk ahead,2016/2017,15,1.6,0.01163341
FluOutlook_Mech,US National,2 wk ahead,2016/2017,16,1.4,0
FluOutlook_Mech,US National,2 wk ahead,2016/2017,17,1.3,0
FluOutlook_Mech,US National,2 wk ahead,2016/2017,18,1.3,0
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,43,0.9,0.7469715
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,44,0.9,0.6440248
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,45,1,0.578494
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,46,0.9,0.35585039
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,47,0.9,0.47611158
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,48,1,0.7691418
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,49,1.2,0.62916895
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,50,1.4,0.66339898
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,51,1.6,0.99552163
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,52,1.5,0.9767532696
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,1,1.7,0.83669871314
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,2,2.1,0.948580731208
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,3,2.5,0.996914091
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,4,3.2,0.99999995811
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,5,3,0.999768983
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,6,3,0.706727387
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,7,2.2,0.2086305465
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,8,2.1,0.3349613359
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,9,2.1,0.996804766
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,10,1.9,0.959226139
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,11,2,0.9999999527
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,12,2.2,1.00000006
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,13,1.8,1.00000007
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,14,1.5,0.9999999872
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,15,1.1,0.992599563
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,16,0.9,0.1034778
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,17,0.7,0
FluOutlook_Mech,HHS Region 1,2 wk ahead,2016/2017,18,0.7,0
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,43,2.5,0.958841185
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,44,2.5,0.52058976
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,45,3.3,0.0868515532
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,46,3.2,0.101033408
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,47,3.3,0.03984259522
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,48,3.4,0.0400188065
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,49,4.5,0.119978871
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,50,6,0.49572808322
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,51,5.3,0.4553953213
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,52,5.1,0.02542262777
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,1,5.7,0.16704823472
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,2,6,0.57913694009
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,3,6.5,0.808735453
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,4,6.9,0.999999942
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,5,5.7,0.5584448182
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,6,4.7,0.0117477175
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,7,3.1,0.0242144863
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,8,3.1,0.469748495
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,9,3.3,1.0000000877
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,10,3.1,0.92046723
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,11,3.7,0.99999999
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,12,3.7,1.00000005
FluOutlook_Mech,HHS Region 2,2 wk ahead,2016/2017,13,3.1,0.8939201
