model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,43,1.6,0.8148
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,44,1.6,0.7392
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,45,1.9,0.7208
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,46,1.8,0.6918
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,47,1.9,0.6745
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,48,2.2,0.8508
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,49,2.7,0.9109
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,50,3.4,0.948
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,51,3.1,0.7214
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,52,3.1,0.4278
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,1,3.5,0.6276
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,2,3.8,0.7957
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,3,4.4,0.9435
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,4,5.1,0.9121
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,5,4.9,0.5397
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,6,4.6,0.315
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,7,3.6,0.154
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,8,3.5,0.1677
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,9,3.2,0.7324
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,10,3.1,0.7644
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2016/2017,11,2.8,0.7811
