model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
target-based-weights,US National,2 wk ahead,2016/2017,43,1.6,0.70181860337
target-based-weights,US National,2 wk ahead,2016/2017,44,1.6,0.53997136477
target-based-weights,US National,2 wk ahead,2016/2017,45,1.9,0.59604174655
target-based-weights,US National,2 wk ahead,2016/2017,46,1.8,0.48124292741
target-based-weights,US National,2 wk ahead,2016/2017,47,1.9,0.311583261262
target-based-weights,US National,2 wk ahead,2016/2017,48,2.2,0.54524405253
target-based-weights,US National,2 wk ahead,2016/2017,49,2.7,0.58541923333
target-based-weights,US National,2 wk ahead,2016/2017,50,3.4,0.806759048384
target-based-weights,US National,2 wk ahead,2016/2017,51,3.1,0.527723181764
target-based-weights,US National,2 wk ahead,2016/2017,52,3.1,0.48056427
target-based-weights,US National,2 wk ahead,2016/2017,1,3.5,0.644782513903
target-based-weights,US National,2 wk ahead,2016/2017,2,3.8,0.726821144369
target-based-weights,US National,2 wk ahead,2016/2017,3,4.4,0.886808814018
target-based-weights,US National,2 wk ahead,2016/2017,4,5.1,0.948223191403
target-based-weights,US National,2 wk ahead,2016/2017,5,4.9,0.76119729706
target-based-weights,US National,2 wk ahead,2016/2017,6,4.6,0.419526966169
target-based-weights,US National,2 wk ahead,2016/2017,7,3.6,0.18027828662
target-based-weights,US National,2 wk ahead,2016/2017,8,3.5,0.3077279693
target-based-weights,US National,2 wk ahead,2016/2017,9,3.2,0.71782951319
target-based-weights,US National,2 wk ahead,2016/2017,10,3.1,0.69933281751
target-based-weights,US National,2 wk ahead,2016/2017,11,2.8,0.62400807416
target-based-weights,US National,2 wk ahead,2016/2017,12,2.4,0.41501237175
target-based-weights,US National,2 wk ahead,2016/2017,13,2,0.20130003811
target-based-weights,US National,2 wk ahead,2016/2017,14,1.8,0.26058240401
target-based-weights,US National,2 wk ahead,2016/2017,15,1.6,0.37062073162
target-based-weights,US National,2 wk ahead,2016/2017,16,1.4,0.22325494768
target-based-weights,US National,2 wk ahead,2016/2017,17,1.3,0.51857814848
target-based-weights,US National,2 wk ahead,2016/2017,18,1.3,0.47638597246
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,43,0.9,0.8244403141
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,44,0.9,0.6561501528
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,45,1,0.4165351613
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,46,0.9,0.3568407204
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,47,0.9,0.23667659293
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,48,1,0.46021489612
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,49,1.2,0.48093507561
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,50,1.4,0.42863385189
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,51,1.6,0.6118772718
target-based-weights,HHS Region 1,2 wk ahead,2016/2017,52,1.5,0.431764297
