model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,43,1.9,0.764752
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,44,2.1,0.4328
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,45,2.3,0.567422
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,46,2.3,0.407378
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,47,2.6,0.621357
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,48,3.4,0.819543
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,49,4.7,0.886862
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,50,5.7,0.866808
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,51,5.8,0.587362
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,52,5.9,0.566143
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,1,6.5,0.800068
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,2,7.2,0.897515
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,3,7.5,0.995375
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,4,7.4,0.594635
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,5,6.5,0.506651
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,6,5,0.394629
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,7,3.7,0.189944
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,8,3.2,0.237326
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,9,2.8,0.450121
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,10,2.5,0.329412
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,11,2.4,0.670688
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,12,2.1,0.616208
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,13,1.8,0.447344
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,14,1.6,0.374746
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,15,1.5,0.425319
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,16,1.5,0.624076
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,17,1.3,0.374743
CU_EKF_SIRS,US National,2 wk ahead,2017/2018,18,1.2,0.302665
