model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
FluX_LSTM,US National,2 wk ahead,2017/2018,43,1.9,0.589498367
FluX_LSTM,US National,2 wk ahead,2017/2018,44,2.1,0.456490487
FluX_LSTM,US National,2 wk ahead,2017/2018,45,2.3,0.458492632
FluX_LSTM,US National,2 wk ahead,2017/2018,46,2.3,0.323432104
FluX_LSTM,US National,2 wk ahead,2017/2018,47,2.6,0.265320164
FluX_LSTM,US National,2 wk ahead,2017/2018,48,3.4,0.804001045
FluX_LSTM,US National,2 wk ahead,2017/2018,49,4.7,0.915576663
FluX_LSTM,US National,2 wk ahead,2017/2018,50,5.7,0.901876503
FluX_LSTM,US National,2 wk ahead,2017/2018,51,5.8,0.700676782
FluX_LSTM,US National,2 wk ahead,2017/2018,52,5.9,0.879013984
FluX_LSTM,US National,2 wk ahead,2017/2018,1,6.5,0.929583998
FluX_LSTM,US National,2 wk ahead,2017/2018,2,7.2,0.941660448
FluX_LSTM,US National,2 wk ahead,2017/2018,3,7.5,0.94499744
FluX_LSTM,US National,2 wk ahead,2017/2018,4,7.4,0.943912078
FluX_LSTM,US National,2 wk ahead,2017/2018,5,6.5,0.905382581
FluX_LSTM,US National,2 wk ahead,2017/2018,6,5,0.786715532
FluX_LSTM,US National,2 wk ahead,2017/2018,7,3.7,0.514375435
FluX_LSTM,US National,2 wk ahead,2017/2018,8,3.2,0.663668244
FluX_LSTM,US National,2 wk ahead,2017/2018,9,2.8,0.713892557
FluX_LSTM,US National,2 wk ahead,2017/2018,10,2.5,0.595554752
FluX_LSTM,US National,2 wk ahead,2017/2018,11,2.4,0.709889306
FluX_LSTM,US National,2 wk ahead,2017/2018,12,2.1,0.591543855
FluX_LSTM,US National,2 wk ahead,2017/2018,13,1.8,0.453458708
FluX_LSTM,US National,2 wk ahead,2017/2018,14,1.6,0.316389138
FluX_LSTM,US National,2 wk ahead,2017/2018,15,1.5,0.518805452
FluX_LSTM,US National,2 wk ahead,2017/2018,16,1.5,0.518805452
FluX_LSTM,US National,2 wk ahead,2017/2018,17,1.3,0.515407179
FluX_LSTM,US National,2 wk ahead,2017/2018,18,1.2,0.445246179
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,43,1.1,0.442521967
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,44,1.2,0.577450047
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,45,1.6,0.586069552
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,46,1.5,0.047221837
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,47,1.7,0.112026376
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,48,1.8,0.255368232
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,49,2.3,0.080488602
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,50,2.8,0.281732669
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,51,2.9,0.894918416
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,52,2.9,0.209617334
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,1,3.7,0.650314438
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,2,4.3,0.912972421
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,3,5.2,0.921998161
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,4,5.8,0.927999981
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,5,5.3,0.922998661
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,6,4.4,0.864394302
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,7,3.4,0.899948733
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,8,2.6,0.758123227
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,9,2.4,0.846332476
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,10,2.1,0.753052046
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,11,2.2,0.791940136
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,12,2,0.75197628
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,13,1.9,0.788531578
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,14,1.7,0.648255652
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,15,1.5,0.315337477
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,16,1.3,0.378887952
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,17,1,0.372144097
FluX_LSTM,HHS Region 1,2 wk ahead,2017/2018,18,0.9,0.367980767
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,43,2.4,0.528369502
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,44,2.8,0.532369912
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,45,2.8,0.463492995
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,46,3,0.215097305
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,47,3.2,0.53636987
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,48,3.6,0.683992581
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,49,4.3,0.900618651
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,50,4.5,0.745348767
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,51,4.9,0.59888966
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,52,5.9,0.924608341
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,1,6.8,0.937255506
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,2,8.4,0.953992718
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,3,9.8,0.967999575
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,4,10.4,0.973999441
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,5,10.2,0.971993682
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,6,7.4,0.921025669
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,7,5,0.542152463
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,8,4.6,0.805531176
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,9,3.7,0.80700108
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,10,3.2,0.421435732
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,11,3.2,0.88991678
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,12,2.9,0.761124327
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,13,2.6,0.795998746
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,14,2.3,0.262320124
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,15,2.2,0.592550426
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,16,3,0.892869193
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,17,2,0.455486816
FluX_LSTM,HHS Region 2,2 wk ahead,2017/2018,18,2,0.120992134
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,43,1.3,0.580567337
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,44,1.6,0.746317317
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,45,1.6,0.746317317
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,46,1.6,0.586069552
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,47,1.6,0.255299675
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,48,1.8,0.453458708
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,49,2.3,0.593553157
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,50,3.5,0.89291727
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,51,3.4,0.469493065
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,52,3.7,0.157724003
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,1,4.8,0.773203632
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,2,6,0.92971498
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,3,7.1,0.940640071
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,4,7.5,0.94261597
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,5,7.3,0.916861402
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,6,5.5,0.84811377
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,7,3.8,0.473494737
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,8,2.9,0.268320189
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,9,2.7,0.462493092
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,10,2.5,0.595554752
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,11,2.5,0.710891247
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,12,2,0.455486816
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,13,1.7,0.256311606
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,14,1.5,0.254273298
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,15,1.3,0.197986447
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,16,1.3,0.252101166
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,17,0.9,0.146866492
FluX_LSTM,HHS Region 3,2 wk ahead,2017/2018,18,0.9,0.146866492
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,43,2.1,0.652646408
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,44,2.2,0.526367637
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,45,2.5,0.264320105
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,46,2.2,0.070618675
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,47,2.5,0.264320105
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,48,3.1,0.716892632
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,49,4.6,0.908203534
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,50,5.3,0.916269733
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,51,5.4,0.777680765
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,52,6.7,0.936808713
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,1,8.4,0.953999144
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,2,9.2,0.961982617
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,3,9.3,0.962997175
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,4,9,0.957977562
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,5,7,0.85757313
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,6,4.8,0.328705934
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,7,3.1,0.104521764
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,8,2.7,0.114320097
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,9,2.4,0.503623122
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,10,2,0.205097107
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,11,2.1,0.591543855
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,12,1.8,0.522303877
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,13,1.5,0.315337477
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,14,1.3,0.378887952
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,15,1.2,0.445246179
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,16,1.2,0.512900117
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,17,1,0.438711857
FluX_LSTM,HHS Region 4,2 wk ahead,2017/2018,18,1,0.372144097
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,43,1.3,0.378887952
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,44,1.2,0.044217577
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,45,1.5,0.381435376
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,46,1.6,0.700680329
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,47,1.9,0.523339928
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,48,2.2,0.707874248
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,49,3.2,0.870775082
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,50,4.8,0.917998145
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,51,4.4,0.781864739
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,52,4.7,0.550101956
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,1,5.1,0.914981952
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,2,5.3,0.870083774
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,3,5.7,0.900662739
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,4,5.8,0.905404266
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,5,4.7,0.666632743
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,6,3.8,0.516034471
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,7,3,0.708946253
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,8,2.6,0.530369914
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,9,2.3,0.755108968
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,10,2.2,0.754090397
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,11,2.2,0.844194722
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,12,1.8,0.749568368
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,13,1.7,0.648255652
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,14,1.5,0.518805452
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,15,1.4,0.643126117
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,16,1.2,0.577450047
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,17,1,0.50457587
FluX_LSTM,HHS Region 5,2 wk ahead,2017/2018,18,0.9,0.49768663
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,43,3.3,0.855377484
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,44,3.9,0.825761922
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,45,4.1,0.518397919
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,46,4.6,0.087903444
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,47,5.1,0.353414387
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,48,8,0.930182044
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,49,11.6,0.985994171
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,50,10.4,0.855930992
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,51,11,0.820430317
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,52,11.5,0.977670517
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,1,11.7,0.986023413
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,2,12.7,0.996871121
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,3,12.5,0.994998969
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,4,11.4,0.981951114
FluX_LSTM,HHS Region 6,2 wk ahead,2017/2018,5,9.6,0.922138248
