model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Protea_Cheetah,US National,2 wk ahead,2017/2018,43,1.9,0.510001061137443
Protea_Cheetah,US National,2 wk ahead,2017/2018,44,2.1,0.298001559118492
Protea_Cheetah,US National,2 wk ahead,2017/2018,45,2.3,0.5710925605245
Protea_Cheetah,US National,2 wk ahead,2017/2018,46,2.3,0.33322613554
Protea_Cheetah,US National,2 wk ahead,2017/2018,47,2.6,0.4322720720831
Protea_Cheetah,US National,2 wk ahead,2017/2018,48,3.4,0.9224062964402
Protea_Cheetah,US National,2 wk ahead,2017/2018,49,4.7,0.974347127469
Protea_Cheetah,US National,2 wk ahead,2017/2018,50,5.7,0.955149628478
Protea_Cheetah,US National,2 wk ahead,2017/2018,51,5.8,0.676548430133
Protea_Cheetah,US National,2 wk ahead,2017/2018,52,5.9,0.44242785131
Protea_Cheetah,US National,2 wk ahead,2017/2018,1,6.5,0.72117048951
Protea_Cheetah,US National,2 wk ahead,2017/2018,2,7.2,0.827718548147
Protea_Cheetah,US National,2 wk ahead,2017/2018,3,7.5,0.839577879573
Protea_Cheetah,US National,2 wk ahead,2017/2018,4,7.4,0.696437839587
Protea_Cheetah,US National,2 wk ahead,2017/2018,5,6.5,0.276000831594893
Protea_Cheetah,US National,2 wk ahead,2017/2018,6,5,0.026001049884108
Protea_Cheetah,US National,2 wk ahead,2017/2018,7,3.7,0.00400101226293987
Protea_Cheetah,US National,2 wk ahead,2017/2018,8,3.2,0.0280007934434707
Protea_Cheetah,US National,2 wk ahead,2017/2018,9,2.8,0.1682023390502
Protea_Cheetah,US National,2 wk ahead,2017/2018,10,2.5,0.2792204878065
Protea_Cheetah,US National,2 wk ahead,2017/2018,11,2.4,0.587221076211
Protea_Cheetah,US National,2 wk ahead,2017/2018,12,2.1,0.4924091948611
Protea_Cheetah,US National,2 wk ahead,2017/2018,13,1.8,0.19400048491545
Protea_Cheetah,US National,2 wk ahead,2017/2018,14,1.6,0.208000481039438
Protea_Cheetah,US National,2 wk ahead,2017/2018,15,1.5,0.494000292001855
Protea_Cheetah,US National,2 wk ahead,2017/2018,16,1.5,0.634000201852082
Protea_Cheetah,US National,2 wk ahead,2017/2018,17,1.3,0.540000401057225
Protea_Cheetah,US National,2 wk ahead,2017/2018,18,1.2,0.312000665452424
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,43,1.1,0.478001184706656
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,44,1.2,0.602001059763892
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,45,1.6,0.922319909465
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,46,1.5,0.567215630063
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,47,1.7,0.567478606134
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,48,1.8,0.2945521739904
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,49,2.3,0.449309077079
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,50,2.8,0.51474799314
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,51,2.9,0.92344660111
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,52,2.9,0.6917095854
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,1,3.7,0.8809830835
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,2,4.3,0.9363322233
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,3,5.2,0.88309119711
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,4,5.8,0.84069020774
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,5,5.3,0.562000495642505
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,6,4.4,0.514000561710408
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,7,3.4,0.602000426030933
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,8,2.6,0.204000810145211
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,9,2.4,0.25916075216
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,10,2.1,0.29685758188
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,11,2.2,0.59597295612
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,12,2,0.67073587102
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,13,1.9,0.830000060840668
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,14,1.7,0.746000075605483
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,15,1.5,0.76000004386821
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,16,1.3,0.65400011581528
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,17,1,0.6180004774218
Protea_Cheetah,HHS Region 1,2 wk ahead,2017/2018,18,0.9,0.51600053879694
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,43,2.4,0.726000385457041
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,44,2.8,0.650000914171768
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,45,2.8,0.3680369368571
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,46,3,0.27124186816
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,47,3.2,0.485247021837
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,48,3.6,0.5558031375734
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,49,4.3,0.746521225
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,50,4.5,0.62949205892
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,51,4.9,0.737616235182
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,52,5.9,0.92469908024
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,1,6.8,0.97308122148
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,2,8.4,0.975112378992
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,3,9.8,0.93508163089
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,4,10.4,0.89690998192
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,5,10.2,0.852000169203274
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,6,7.4,0.49800056203028
Protea_Cheetah,HHS Region 2,2 wk ahead,2017/2018,7,5,0.0600010929655461
