model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,43,2.1,0.569269
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,44,2.3,0.129278
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,45,2.3,0.163347
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,46,2.6,0.121982
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,47,3.4,0.725388
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,48,4.7,0.82884
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,49,5.7,0.890691
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,50,5.8,0.6287
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,51,5.9,0.255709
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,52,6.5,0.66398
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,1,7.2,0.935136
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,2,7.5,0.975431
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,3,7.4,0.998016
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,4,6.5,0.556718
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,5,5,0.171868
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,6,3.7,0.187268
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,7,3.2,0.338794
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,8,2.8,0.419246
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,9,2.5,0.745534
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,10,2.4,0.701431
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,11,2.1,0.829412
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,12,1.8,0.676839
CU_EAKFC_SEIRS,US National,3 wk ahead,2017/2018,13,1.6,0.166003
