model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,43,2.1,0.592225
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,44,2.3,0.416729
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,45,2.3,0.410142
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,46,2.6,0.35275
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,47,3.4,0.648042
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,48,4.7,0.932738
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,49,5.7,0.928807
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,50,5.8,0.866099
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,51,5.9,0.517365
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,52,6.5,0.813346
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,1,7.2,0.981438
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,2,7.5,0.99406
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,3,7.4,0.998015
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,4,6.5,0.632686
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,5,5,0.365925
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,6,3.7,0.246615
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,7,3.2,0.454735
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,8,2.8,0.523438
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,9,2.5,0.780095
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,10,2.4,0.720839
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,11,2.1,0.828808
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,12,1.8,0.620834
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,13,1.6,0.285369
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,14,1.5,0.485369
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,15,1.5,0.60878
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,16,1.3,0.194015
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,17,1.2,0.190023
CU_EAKFC_SIRS,US National,3 wk ahead,2017/2018,18,1.2,0.528021
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,43,1.2,0.357375
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,44,1.6,0.48539
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,45,1.5,0.247376
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,46,1.7,0.198702
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,47,1.8,0.16866
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,48,2.3,0.476741
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2017/2018,49,2.8,0.548746
