model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,43,2.1,0.63554
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,44,2.3,0.490066
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,45,2.3,0.484125
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,46,2.6,0.438137
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,47,3.4,0.799374
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,48,4.7,0.884864
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,49,5.7,0.812985
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,50,5.8,0.730264
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,51,5.9,0.521405
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,52,6.5,0.765526
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,1,7.2,0.924234
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,2,7.5,0.968813
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,3,7.4,0.993397
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,4,6.5,0.703414
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,5,5,0.44207
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,6,3.7,0.233374
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,7,3.2,0.248683
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,8,2.8,0.228702
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,9,2.5,0.56474
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,10,2.4,0.639317
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,11,2.1,0.728855
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,12,1.8,0.726938
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,13,1.6,0.492049
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,14,1.5,0.547385
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,15,1.5,0.752874
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,16,1.3,0.50136
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,17,1.2,0.437393
CU_RHF_SIRS,US National,3 wk ahead,2017/2018,18,1.2,0.57673
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,43,1.2,0.388084
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,44,1.6,0.568808
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,45,1.5,0.273368
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,46,1.7,0.214692
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,47,1.8,0.216761
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,48,2.3,0.544664
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,49,2.8,0.332678
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,50,2.9,0.480026
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,51,2.9,0.550735
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,52,3.7,0.36273
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,1,4.3,0.710145
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,2,5.2,0.958887
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,3,5.8,0.981394
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,4,5.3,0.460742
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,5,4.4,0.27803
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,6,3.4,0.095866
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,7,2.6,0.14996
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,8,2.4,0.266708
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,9,2.1,0.418816
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,10,2.2,0.68743
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,11,2,0.644276
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,12,1.9,0.736997
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,13,1.7,0.821594
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,14,1.5,0.760752
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,15,1.3,0.704745
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,16,1,0.649407
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,17,0.9,0.590775
CU_RHF_SIRS,HHS Region 1,3 wk ahead,2017/2018,18,0.8,0.570054
