model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,43,1.9,0.8328282734
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,44,2,0.6582032765
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,45,2.2,0.6202779382
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,46,2.1,0.2645270323
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,47,2.3,0.1952881608
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,48,2.6,0.3444629198
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,49,3.1,0.8052889646
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,50,4,0.9800023588
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,51,3.5,0.8460787263
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,52,3.1,0.193740882
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,1,3.3,0.2599393992
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,2,3.8,0.7615699616
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,3,4.3,0.9538142588
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,4,4.9,0.9820176861
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,5,5.1,0.9824648076
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,6,4.9,0.9820178337
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,7,4.6,0.9719010843
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,8,4.4,0.9801919459
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,9,4.2,0.9802566563
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,10,3.7,0.933020675
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,11,3.1,0.7097718108
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,12,2.7,0.7202973129
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,13,2.3,0.8345210102
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,14,2,0.8922450592
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,15,1.7,0.7864001985
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,16,1.6,0.8813502421
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,17,1.5,0.87201949
Delphi_BasisRegression,US National,2 wk ahead,2018/2019,18,1.5,0.9046072686
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,43,1.4,0.9203836944
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,44,1.3,0.8161711065
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,45,1.6,0.9504429822
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,46,1.4,0.782798339
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,47,1.9,0.9334247209
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,48,1.9,0.8636886517
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,49,2.4,0.9629078071
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,50,3.3,0.9784572612
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,51,3.2,0.9782395273
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,52,3.4,0.9638418839
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,1,3.6,0.9772379127
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,2,3.6,0.9690936976
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,3,3.6,0.9625911017
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,4,3.9,0.9788318502
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,5,3.7,0.9756432896
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,6,3.6,0.9780356375
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,7,3.2,0.9620372975
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,8,3.1,0.9780076104
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,9,2.8,0.9772850304
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,10,2.7,0.9749764793
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,11,2.8,0.977261879
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,12,2.5,0.9708706498
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,13,2.3,0.975150243
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,14,2.1,0.9634795907
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,15,1.5,0.7161072184
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,16,1.3,0.5248231569
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,17,1.2,0.7871530423
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2018/2019,18,1.2,0.9209556543
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,43,2.6,0.8940493515
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,44,2.8,0.9155020108
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,45,3.1,0.9727514934
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,46,2.8,0.7542979536
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,47,3.3,0.9295231243
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,48,3.7,0.9511540749
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,49,4.4,0.9793307897
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,50,4.9,0.9820134651
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,51,4.7,0.9801158959
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,52,4.1,0.7196735448
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,1,4.7,0.8408700879
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,2,4.9,0.9408215261
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,3,4.9,0.9105761298
Delphi_BasisRegression,HHS Region 2,2 wk ahead,2018/2019,4,5.1,0.9785296558
