model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,43,1.9,0.629567553
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,44,2,0.618711232
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,45,2.2,0.553281851
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,46,2.1,0.549432318
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,47,2.3,0.5754411118
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,48,2.6,0.52869816
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,49,3.1,0.49129278
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,50,4,0.538150505
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,51,3.5,0.550520448
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,52,3.1,0.55547811
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,1,3.3,0.574646232
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,2,3.8,0.608863766
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,3,4.3,0.645201595
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,4,4.9,0.699341464
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,5,5.1,0.720183576
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,6,4.9,0.774998688
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,7,4.6,0.858007547
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,8,4.4,0.873889508
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,9,4.2,0.886123154
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,10,3.7,0.8772549114
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,11,3.1,0.863440485
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,12,2.7,0.859490559
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,13,2.3,0.840203184
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,14,2,0.828496861
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,15,1.7,0.781759168
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,16,1.6,0.703174475
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,17,1.5,0.72280941
Delphi_EmpiricalTrajectories,US National,2 wk ahead,2018/2019,18,1.5,0.77274761
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,43,1.4,0.767603202
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,44,1.3,0.750363089
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,45,1.6,0.745448686
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,46,1.4,0.67269487
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,47,1.9,0.790693128
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,48,1.9,0.761824506
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,49,2.4,0.72739653
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,50,3.3,0.73060347
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,51,3.2,0.75529538
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,52,3.4,0.81077489
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,1,3.6,0.830779003
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,2,3.6,0.781003104
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,3,3.6,0.784308722
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,4,3.9,0.764935833
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,5,3.7,0.70764932
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,6,3.6,0.742796024
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,7,3.2,0.782352926
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,8,3.1,0.829949444
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,9,2.8,0.827466297
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,10,2.7,0.854399112
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,11,2.8,0.85863445
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,12,2.5,0.83500416
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,13,2.3,0.82117728
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,14,2.1,0.82644965
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,15,1.5,0.75510042
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,16,1.3,0.71837255
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,17,1.2,0.76206038
Delphi_EmpiricalTrajectories,HHS Region 1,2 wk ahead,2018/2019,18,1.2,0.77253081
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,43,2.6,0.729965958
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,44,2.8,0.754135636
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,45,3.1,0.744799106
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,46,2.8,0.685721986
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,47,3.3,0.794467117
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,48,3.7,0.767011892
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,49,4.4,0.709956504
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,50,4.9,0.668773271
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,51,4.7,0.750595927
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,52,4.1,0.655534035
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,1,4.7,0.699508599
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,2,4.9,0.714124787
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,3,4.9,0.71590897
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,4,5.1,0.725991606
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,5,5.2,0.75371315
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,6,4.9,0.774664145
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,7,4.2,0.759888434
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,8,4,0.766914328
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,9,4,0.790672052
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,10,3.8,0.84730659
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,11,3.6,0.804557676
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,12,3.3,0.777729981
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,13,3.1,0.787769092
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,14,2.9,0.839888107
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,15,2.4,0.787277934
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,16,2.2,0.67095517
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,17,2.2,0.747542826
Delphi_EmpiricalTrajectories,HHS Region 2,2 wk ahead,2018/2019,18,2.4,0.769661104
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,43,1.6,0.423024162
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,44,1.5,0.348106809
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,45,1.8,0.390357574
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,46,1.7,0.372924024
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,47,1.7,0.333488339
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,48,2.1,0.420048456
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,49,2.4,0.382201379
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,50,3,0.369965895
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,51,3.1,0.456502677
Delphi_EmpiricalTrajectories,HHS Region 3,2 wk ahead,2018/2019,52,2.7,0.420561967
