model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
UA_EpiCos,US National,2 wk ahead,2018/2019,43,1.9,0.56763213
UA_EpiCos,US National,2 wk ahead,2018/2019,44,2,0.50509182
UA_EpiCos,US National,2 wk ahead,2018/2019,45,2.2,0.49675254
UA_EpiCos,US National,2 wk ahead,2018/2019,46,2.1,0.48880761
UA_EpiCos,US National,2 wk ahead,2018/2019,47,2.3,0.20355654
UA_EpiCos,US National,2 wk ahead,2018/2019,48,2.6,0.57470742
UA_EpiCos,US National,2 wk ahead,2018/2019,49,3.1,0.8263565
UA_EpiCos,US National,2 wk ahead,2018/2019,50,4,0.86205621
UA_EpiCos,US National,2 wk ahead,2018/2019,51,3.5,0.12923916
UA_EpiCos,US National,2 wk ahead,2018/2019,52,3.1,0.02316025
UA_EpiCos,US National,2 wk ahead,2018/2019,1,3.3,0.87884102
UA_EpiCos,US National,2 wk ahead,2018/2019,2,3.8,0.91514242
UA_EpiCos,US National,2 wk ahead,2018/2019,3,4.3,0.89413931
UA_EpiCos,US National,2 wk ahead,2018/2019,4,4.9,0.89417793
UA_EpiCos,US National,2 wk ahead,2018/2019,5,5.1,0.94161706
UA_EpiCos,US National,2 wk ahead,2018/2019,6,4.9,0.76482453
UA_EpiCos,US National,2 wk ahead,2018/2019,7,4.6,0.54882226
UA_EpiCos,US National,2 wk ahead,2018/2019,8,4.4,0.65982277
UA_EpiCos,US National,2 wk ahead,2018/2019,9,4.2,0.78811243
UA_EpiCos,US National,2 wk ahead,2018/2019,10,3.7,0.5429473
UA_EpiCos,US National,2 wk ahead,2018/2019,11,3.1,0.0980803
UA_EpiCos,US National,2 wk ahead,2018/2019,12,2.7,0.37803152
UA_EpiCos,US National,2 wk ahead,2018/2019,13,2.3,0.49313431
UA_EpiCos,US National,2 wk ahead,2018/2019,14,2,0.39026628
UA_EpiCos,US National,2 wk ahead,2018/2019,15,1.7,0.43545395
UA_EpiCos,US National,2 wk ahead,2018/2019,16,1.6,0.40610227
UA_EpiCos,US National,2 wk ahead,2018/2019,17,1.5,0.61172008
UA_EpiCos,US National,2 wk ahead,2018/2019,18,1.5,0.61255338
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,43,1.4,0.56317935
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,44,1.3,0.36392067
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,45,1.6,0.68599218
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,46,1.4,0.33139104
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,47,1.9,0.39665592
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,48,1.9,0.20480133
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,49,2.4,0.26827352
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,50,3.3,0.90144451
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,51,3.2,0.71869956
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,52,3.4,0.48115541
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,1,3.6,0.91804852
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,2,3.6,0.83193222
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,3,3.6,0.95213471
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,4,3.9,0.95403723
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,5,3.7,0.92335248
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,6,3.6,0.93871654
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,7,3.2,0.85904304
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,8,3.1,0.77908844
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,9,2.8,0.83123581
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,10,2.7,0.92971746
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,11,2.8,0.91366015
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,12,2.5,0.76798357
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,13,2.3,0.59632708
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,14,2.1,0.38212318
UA_EpiCos,HHS Region 1,2 wk ahead,2018/2019,15,1.5,0.19933063
