model_name,location,target,season,calendar_week,valid.bin_start_incl,cdf
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,43,2,0.225378
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,44,2.2,0.303382
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,45,2.1,0.054009
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,46,2.3,0.256703
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,47,2.6,0.467439
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,48,3.1,0.488106
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,49,4,0.804035
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,50,3.5,0.272651
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,51,3.1,0.095393
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,52,3.3,0.109211
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,1,3.8,0.402727
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,2,4.3,0.701373
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,3,4.9,0.894767
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,4,5.1,0.948112
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,5,4.9,0.934179
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,6,4.6,0.687522
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,7,4.4,0.50333
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,8,4.2,0.602038
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,9,3.7,0.501438
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,10,3.1,0.358663
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,11,2.7,0.208006
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,12,2.3,0.212031
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,13,2,0.294662
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,14,1.7,0.214685
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,15,1.6,0.315306
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,16,1.5,0.411988
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,17,1.5,0.685376
CU_RHF_SEIRS,US National,3 wk ahead,2018/2019,18,1.4,0.824744
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,43,1.3,0.315344
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,44,1.6,0.503391
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,45,1.4,0.296704
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,46,1.9,0.600741
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,47,1.9,0.29804
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,48,2.4,0.613458
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,49,3.3,0.755351
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,50,3.2,0.550747
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,51,3.4,0.376073
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,52,3.6,0.303923
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,1,3.6,0.141943
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,2,3.6,0.355325
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,3,3.9,0.506755
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,4,3.7,0.636743
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,5,3.6,0.548088
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,6,3.2,0.455454
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,7,3.1,0.61541
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,8,2.8,0.577366
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,9,2.7,0.529503
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,10,2.8,0.85209
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,11,2.5,0.77941
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,12,2.3,0.711473
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,13,2.1,0.662119
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,14,1.5,0.221998
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,15,1.3,0.270684
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,16,1.2,0.389371
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,17,1.2,0.61812
CU_RHF_SEIRS,HHS Region 1,3 wk ahead,2018/2019,18,0.9,0.593411
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,43,2.8,0.496239
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,44,3.1,0.699357
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,45,2.8,0.630097
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,46,3.3,0.319305
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,47,3.7,0.214013
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,48,4.4,0.728033
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,49,4.9,0.659415
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,50,4.7,0.550771
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,51,4.1,0.163219
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,52,4.7,0.2867
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,1,4.9,0.434728
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,2,4.9,0.590093
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,3,5.1,0.732879
CU_RHF_SEIRS,HHS Region 2,3 wk ahead,2018/2019,4,5.2,0.859437
