model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,43,1.4,0.38306
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,44,1.5,0.59878
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,45,1.7,0.70798
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,46,1.6,0.43962
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,47,1.8,0.30632
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,48,2.3,0.7981
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,49,3,0.91802
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,50,3,0.78976
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,51,2.4,0.2919
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,52,2.8,0.62294
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,1,3.3,0.84894
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,2,4.1,0.8599
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,3,4.4,0.79962
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,4,4.4,0.72584
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,5,4.4,0.54726
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,6,3.8,0.57296
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,7,3.3,0.27068
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,8,2.9,0.49936
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,9,2.5,0.48572
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,10,2,0.23014
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,11,1.8,0.32506
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,12,1.5,0.54942
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,13,1.3,0.57544
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,14,1.2,0.7905
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,15,1.1,0.62494
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,16,1.1,0.56992
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,17,1,0.36026
ReichLab_kcde_backfill_post_hoc,US National,2 wk ahead,2010/2011,18,1,0.6355
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,43,0.5,0.0024
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,44,0.6,0.01176
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,45,0.7,0.03248
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,46,0.6,0.00908
ReichLab_kcde_backfill_post_hoc,HHS Region 1,2 wk ahead,2010/2011,47,0.7,0.01386
