model_name,location,target,season,calendar_week,valid.bin_lag,cdf
target-based-weights,US National,2 wk ahead,2010/2011,43,1.4,0.54087677131
target-based-weights,US National,2 wk ahead,2010/2011,44,1.5,0.54362198559
target-based-weights,US National,2 wk ahead,2010/2011,45,1.7,0.19158594463
target-based-weights,US National,2 wk ahead,2010/2011,46,1.6,0.08444925168
target-based-weights,US National,2 wk ahead,2010/2011,47,1.8,0.05824782623
target-based-weights,US National,2 wk ahead,2010/2011,48,2.3,0.6911050764
target-based-weights,US National,2 wk ahead,2010/2011,49,3,0.72409560047
target-based-weights,US National,2 wk ahead,2010/2011,50,3,0.4846851609
target-based-weights,US National,2 wk ahead,2010/2011,51,2.4,0.35893442944
target-based-weights,US National,2 wk ahead,2010/2011,52,2.8,0.4479326751
target-based-weights,US National,2 wk ahead,2010/2011,1,3.3,0.70099616992
target-based-weights,US National,2 wk ahead,2010/2011,2,4.1,0.675443405
target-based-weights,US National,2 wk ahead,2010/2011,3,4.4,0.59046883889
target-based-weights,US National,2 wk ahead,2010/2011,4,4.4,0.68958342633
target-based-weights,US National,2 wk ahead,2010/2011,5,4.4,0.37674376792
target-based-weights,US National,2 wk ahead,2010/2011,6,3.8,0.54294444222
target-based-weights,US National,2 wk ahead,2010/2011,7,3.3,0.22247076454
target-based-weights,US National,2 wk ahead,2010/2011,8,2.9,0.22455533373
target-based-weights,US National,2 wk ahead,2010/2011,9,2.5,0.56694556143
target-based-weights,US National,2 wk ahead,2010/2011,10,2,0.41776452058
target-based-weights,US National,2 wk ahead,2010/2011,11,1.8,0.24478787894
target-based-weights,US National,2 wk ahead,2010/2011,12,1.5,0.42908742655
target-based-weights,US National,2 wk ahead,2010/2011,13,1.3,0.13421886445
target-based-weights,US National,2 wk ahead,2010/2011,14,1.2,0.41051187259
target-based-weights,US National,2 wk ahead,2010/2011,15,1.1,0.33195228414
target-based-weights,US National,2 wk ahead,2010/2011,16,1.1,0.1040307533
target-based-weights,US National,2 wk ahead,2010/2011,17,1,0.14603611764
target-based-weights,US National,2 wk ahead,2010/2011,18,1,0.4899975213
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,43,0.5,0.21300535437
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,44,0.6,0.464914881
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,45,0.7,0.6224768433
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,46,0.6,0.43783055
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,47,0.7,0.12451495795
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,48,0.7,0.3390664521
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,49,0.9,0.57530682903
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,50,1,0.52846537036
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,51,0.9,0.0817798929
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,52,1.1,0.628285035
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,1,1.1,0.62801735
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,2,1.3,0.4380010415
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,3,1.8,0.6799558076
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,4,1.9,0.60784450446
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,5,2.2,0.82541761822
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,6,2.2,0.52684613122
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,7,1.7,0.20498632058
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,8,1.6,0.52783525198
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,9,1.3,0.5148163106
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,10,0.9,0.1523487566
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,11,1,0.32668014338
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,12,0.8,0.559733
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,13,0.7,0.3606908677
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,14,0.7,0.303687507
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,15,0.6,0.22286173681
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,16,0.5,0.141977995
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,17,0.4,0.1358521215
target-based-weights,HHS Region 1,2 wk ahead,2010/2011,18,0.4,0.47060911
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,43,1.3,0.49755811482
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,44,1.3,0.15862113419
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,45,1.6,0.44240583814
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,46,2.1,0.6931270882
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,47,2.4,0.33961906056
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,48,2.9,0.33577760451
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,49,4.1,0.81576972279
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,50,4.4,0.74263278242
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,51,3.2,0.4861217632
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,52,3.7,0.703450328
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,1,3.6,0.76162733899
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,2,3.8,0.37056937308
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,3,4,0.77124564346
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,4,4,0.62551915621
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,5,4.2,0.8552862061
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,6,4.2,0.54466968666
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,7,3.3,0.47491224945
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,8,3.1,0.43273402085
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,9,3.1,0.51760869532
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,10,2.4,0.37151032724
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,11,2.6,0.66833653398
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,12,2.4,0.56213750129
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,13,2.1,0.80578401033
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,14,2.1,0.96190214
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,15,1.6,0.28701301179
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,16,1.5,0.46525991843
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,17,1.6,0.42464685567
target-based-weights,HHS Region 2,2 wk ahead,2010/2011,18,1.3,0.20897081903
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,43,1.2,0.4304988069
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,44,1.2,0.2022393564
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,45,1.4,0.4372075746
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,46,1.4,0.2850159556
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,47,1.4,0.19369349704
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,48,1.5,0.34548412554
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,49,2.1,0.6589589978
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,50,2.5,0.47622543285
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,51,2.1,0.14381158627
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,52,2.4,0.34857854618
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,1,3.2,0.6864017097
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,2,3.9,0.68431653686
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,3,4.3,0.39237714112
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,4,4,0.4888931061
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,5,3.9,0.24822995835
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,6,3.5,0.43707967422
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,7,2.9,0.18498310582
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,8,2.5,0.42191177293
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,9,1.9,0.1758428095
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,10,1.6,0.06916425033
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,11,1.4,0.307713506
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,12,1.4,0.24870781932
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,13,1.3,0.25357348598
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,14,1.1,0.09730423194
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,15,0.8,0.0091390455
target-based-weights,HHS Region 3,2 wk ahead,2010/2011,16,0.9,0.332232029
