model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,43,1.3,0.408776
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,44,1.3,0.438121
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,45,1.5,0.364731
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,46,1.2,0.048012
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,47,1.4,0.086061
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,48,1.5,0.06533
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,49,1.7,0.353975
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,50,2,0.952036
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,51,1.7,0.58336
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,52,1.5,0.172691
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,1,1.5,0.032661
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,2,1.7,0.240684
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,3,1.9,0.263285
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,4,1.8,0.288737
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,5,2,0.282725
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,6,2.1,0.287997
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,7,2.1,0.383367
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,8,2.1,0.701353
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,9,2.3,0.886913
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,10,1.9,0.449481
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,11,1.8,0.454732
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,12,1.6,0.325405
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,13,1.4,0.434733
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,14,1.3,0.325461
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,15,1.2,0.232061
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,16,1.4,0.630725
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,17,1.3,0.643384
CU_RHF_SIRS,US National,2 wk ahead,2011/2012,18,1.2,0.648131
CU_RHF_SIRS,HHS Region 1,2 wk ahead,2011/2012,43,0.6,0.337361
CU_RHF_SIRS,HHS Region 1,2 wk ahead,2011/2012,44,0.5,0
CU_RHF_SIRS,HHS Region 1,2 wk ahead,2011/2012,45,0.6,0.44008
