model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,43,1.3,0.6091
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,44,1.3,0.547
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,45,1.5,0.763
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,46,1.2,0.3665
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,47,1.4,0.5685
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,48,1.5,0.7984
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,49,1.7,0.8709
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,50,2,0.9216
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,51,1.7,0.8272
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,52,1.5,0.3471
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,1,1.5,0.4916
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,2,1.7,0.9112
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,3,1.9,0.9427
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,4,1.8,0.8054
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,5,2,0.7422
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,6,2.1,0.7492
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,7,2.1,0.8341
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,8,2.1,0.7822
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,9,2.3,0.8415
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,10,1.9,0.4267
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,11,1.8,0.2443
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,12,1.6,0.3167
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,13,1.4,0.4723
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,14,1.3,0.5115
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,15,1.2,0.3736
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,16,1.4,0.8477
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,17,1.3,0.922
ReichLab_sarima_seasonal_difference_FALSE,US National,2 wk ahead,2011/2012,18,1.2,0.4632
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,43,0.6,0.4408
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,44,0.5,0.4129
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,45,0.6,0.373
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,46,0.5,0.3976
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,47,0.5,0.4044
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,48,0.7,0.6159
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,49,0.8,0.6807
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,50,0.9,0.6403
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,51,0.8,0.5236
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,52,0.7,0.2971
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,1,0.7,0.4376
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,2,0.7,0.3985
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,3,0.7,0.3162
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,4,0.7,0.3911
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,5,0.8,0.5669
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,6,0.8,0.6027
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,7,0.7,0.4629
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,8,0.7,0.3022
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,9,0.8,0.5363
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,10,0.7,0.5706
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,11,0.5,0.2405
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,12,0.7,0.462
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,13,0.8,0.7568
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,14,0.7,0.563
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,15,0.5,0.2845
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,16,0.4,0.1532
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,17,0.5,0.539
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 1,2 wk ahead,2011/2012,18,0.4,0.4495
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,43,1,0.4884
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,44,1.1,0.4461
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,45,1.2,0.589
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,46,1.2,0.4391
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,47,1.3,0.458
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,48,1.2,0.3475
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,49,1.1,0.2115
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,50,1.1,0.3017
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,51,1.2,0.608
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,52,0.9,0.142
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,1,1,0.3393
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,2,0.9,0.3621
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,3,1,0.3161
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,4,0.9,0.2336
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,5,1,0.3333
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,6,1.2,0.5935
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,7,1.1,0.5757
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,8,1.2,0.4031
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,9,1.2,0.4546
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,10,1.1,0.3743
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,11,1,0.3204
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,12,1.2,0.4397
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,13,1,0.4194
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,14,1,0.2807
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,15,0.8,0.2527
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,16,0.9,0.2713
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,17,0.8,0.2654
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 2,2 wk ahead,2011/2012,18,0.8,0.2354
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,43,1.3,0.3445
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,44,1.3,0.3331
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,45,1.5,0.7457
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,46,1.4,0.6421
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,47,1.2,0.2762
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,48,1.4,0.5118
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,49,1.7,0.7069
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,50,2,0.9607
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,51,1.6,0.4534
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,52,1.4,0.3412
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,1,1.5,0.5113
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,2,1.4,0.4482
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,3,1.4,0.4809
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,4,1.5,0.7136
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,5,1.6,0.6297
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,6,1.4,0.4566
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,7,1.6,0.5223
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,8,1.5,0.5575
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,9,1.8,0.5831
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,10,1.3,0.4334
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,11,1.3,0.2622
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,12,1.2,0.3106
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,13,1.1,0.3764
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,14,1,0.19
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,15,1,0.0723
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,16,1.2,0.7048
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,17,1.4,0.877
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 3,2 wk ahead,2011/2012,18,0.9,0.2538
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,43,1.4,0.6755
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,44,1.3,0.6652
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,45,1.6,0.6456
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,46,1.2,0.4571
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,47,1.6,0.6947
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,48,1.6,0.7748
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,49,1.9,0.8092
ReichLab_sarima_seasonal_difference_FALSE,HHS Region 4,2 wk ahead,2011/2012,50,2.2,0.8806
