model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,43,1.5,0.2568452612
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,44,1.7,0.4865529651
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,45,2.2,0.7915389282
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,46,2.1,0.6021420324
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,47,2.7,0.8263126743
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,48,3.3,0.9280040373
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,49,4.2,0.9793773534
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,50,6,0.9844645601
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,51,4.6,0.943350789
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,52,4.2,0.8220372388
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,1,4.4,0.4604831817
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,2,4.1,0.5135382654
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,3,3.7,0.4596900176
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,4,3.2,0.1620965496
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,5,2.9,0.1605483231
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,6,2.6,0.2075080884
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,7,2.4,0.2989206785
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,8,2.4,0.6134566199
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,9,2.3,0.7147108366
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,10,2,0.7268291731
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,11,1.8,0.6703620868
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,12,1.6,0.6947702557
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,13,1.4,0.526081627
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,14,1.2,0.474992219
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,15,1.1,0.3829288441
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,16,1,0.375728552
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,17,1,0.423508448
Delphi_BasisRegression,US National,2 wk ahead,2012/2013,18,1,0.4347882569
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,43,0.5,0.0691569645
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,44,0.6,0.0478995648
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,45,0.7,0.1109581107
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,46,0.8,0.3013742724
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,47,1.1,0.5860775452
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,48,1.6,0.7713631036
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,49,2.5,0.9766868027
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,50,3.8,0.9795701303
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,51,3.1,0.853064758
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,52,3.2,0.9767086785
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,1,2.9,0.7587966121
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,2,2.4,0.567859789
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,3,2.1,0.4394851622
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,4,1.8,0.216242494
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,5,1.5,0.1381783931
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,6,1.4,0.2781064898
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,7,1.2,0.273009187
Delphi_BasisRegression,HHS Region 1,2 wk ahead,2012/2013,8,1.2,0.549343455
