model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Protea_Springbok,US National,2 wk ahead,2012/2013,43,1.5,0.722
Protea_Springbok,US National,2 wk ahead,2012/2013,44,1.7,0.602
Protea_Springbok,US National,2 wk ahead,2012/2013,45,2.2,0.908
Protea_Springbok,US National,2 wk ahead,2012/2013,46,2.1,0.664
Protea_Springbok,US National,2 wk ahead,2012/2013,47,2.7,0.608
Protea_Springbok,US National,2 wk ahead,2012/2013,48,3.3,0.986
Protea_Springbok,US National,2 wk ahead,2012/2013,49,4.2,0.892
Protea_Springbok,US National,2 wk ahead,2012/2013,50,6,1
Protea_Springbok,US National,2 wk ahead,2012/2013,51,4.6,0.404
Protea_Springbok,US National,2 wk ahead,2012/2013,52,4.2,0
Protea_Springbok,US National,2 wk ahead,2012/2013,1,4.4,0.522
Protea_Springbok,US National,2 wk ahead,2012/2013,2,4.1,0.34
Protea_Springbok,US National,2 wk ahead,2012/2013,3,3.7,0.224
Protea_Springbok,US National,2 wk ahead,2012/2013,4,3.2,0.068
Protea_Springbok,US National,2 wk ahead,2012/2013,5,2.9,0.234
Protea_Springbok,US National,2 wk ahead,2012/2013,6,2.6,0.37
Protea_Springbok,US National,2 wk ahead,2012/2013,7,2.4,0.41
Protea_Springbok,US National,2 wk ahead,2012/2013,8,2.4,0.446
Protea_Springbok,US National,2 wk ahead,2012/2013,9,2.3,0.728
Protea_Springbok,US National,2 wk ahead,2012/2013,10,2,0.234
Protea_Springbok,US National,2 wk ahead,2012/2013,11,1.8,0.334
Protea_Springbok,US National,2 wk ahead,2012/2013,12,1.6,0.51
Protea_Springbok,US National,2 wk ahead,2012/2013,13,1.4,0.186
Protea_Springbok,US National,2 wk ahead,2012/2013,14,1.2,0.302
Protea_Springbok,US National,2 wk ahead,2012/2013,15,1.1,0.52
Protea_Springbok,US National,2 wk ahead,2012/2013,16,1,0.562
Protea_Springbok,US National,2 wk ahead,2012/2013,17,1,0.78
Protea_Springbok,US National,2 wk ahead,2012/2013,18,1,0.882
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,43,0.5,0.436
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,44,0.6,0.306
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,45,0.7,0.44
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,46,0.8,0.482
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,47,1.1,0.748
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,48,1.6,0.944
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,49,2.5,0.982
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,50,3.8,0.99
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,51,3.1,0.834
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,52,3.2,0.796
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,1,2.9,0.728
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,2,2.4,0.078
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,3,2.1,0.032
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,4,1.8,0.03
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,5,1.5,0.012
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,6,1.4,0.062
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,7,1.2,0.176
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,8,1.2,0.392
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,9,1.1,0.514
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,10,1.1,0.604
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,11,1.1,0.88
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,12,1.1,0.922
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,13,1.1,0.912
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,14,1,0.942
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,15,0.7,0.452
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,16,0.7,0.806
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,17,0.6,0.868
Protea_Springbok,HHS Region 1,2 wk ahead,2012/2013,18,0.5,0.464
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,43,1.3,0.692
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,44,1.2,0.22
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,45,1.6,0.478
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,46,1.9,0.62
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,47,2.3,0.574
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,48,2.7,0.708
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,49,3.7,0.886
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,50,5.4,0.988
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,51,4.4,0.908
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,52,4.7,0.91
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,1,5.2,0.904
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,2,4.5,0.602
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,3,3.7,0.16
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,4,3.5,0.07
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,5,3.6,0.178
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,6,3.3,0.314
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,7,2.7,0.318
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,8,2.9,0.592
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,9,2.8,0.556
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,10,2.4,0.574
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,11,2.1,0.378
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,12,1.8,0.436
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,13,1.5,0.21
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,14,1.3,0.188
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,15,1.4,0.764
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,16,1.3,0.848
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,17,1.2,0.872
Protea_Springbok,HHS Region 2,2 wk ahead,2012/2013,18,1.2,0.818
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,43,1.2,0.568
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,44,1.2,0.681362616
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,45,1.6,0.848
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,46,1.5,0.576
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,47,2.4,0.944
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,48,3.3,0.978
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,49,4.4,0.984
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,50,7,0.992
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,51,4.7,0.884
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,52,5,0.596
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,1,5.1,0.692
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,2,3.5,0.048
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,3,3,0.01
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,4,2.5,0.006
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,5,2.7,0.04
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,6,2.5,0.3
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,7,2.5,0.588
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,8,2.6,0.672
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,9,2.5,0.8
Protea_Springbok,HHS Region 3,2 wk ahead,2012/2013,10,2.1,0.252
