model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,43,1.7,0.934812
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,44,2.2,0.923581
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,45,2.1,0.721011
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,46,2.7,0.669513
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,47,3.3,0.293435
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,48,4.2,0.144611
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,49,6,0.443959
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,50,4.6,0.090484
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,51,4.2,0.151224
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,52,4.4,0.131873
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,1,4.1,0.064561
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,2,3.7,0.135276
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,3,3.2,0.139263
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,4,2.9,0.172647
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,5,2.6,0.202085
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,6,2.4,0.330034
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,7,2.4,0.544107
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,8,2.3,0.624221
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,9,2,0.434786
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,10,1.8,0.152025
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,11,1.6,0.136028
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,12,1.4,0.087345
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,13,1.2,0.035987
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,14,1.1,0
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,15,1,0
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,16,1,0
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,17,1,0
CU_EKF_SIRS,US National,3 wk ahead,2012/2013,18,0.9,0
CU_EKF_SIRS,HHS Region 1,3 wk ahead,2012/2013,43,0.6,0.693419
CU_EKF_SIRS,HHS Region 1,3 wk ahead,2012/2013,44,0.7,0.643437
