model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,43,2.2,0.91896
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,44,2.1,0.85566
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,45,2.7,0.92776
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,46,3.3,0.91176
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,47,4.2,0.83486
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,48,6,0.9781
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,49,4.6,0.75786
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,50,4.2,0.59878
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,51,4.4,0.49674
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,52,4.1,0.4925
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,1,3.7,0.55884
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,2,3.2,0.42502
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,3,2.9,0.4266
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,4,2.6,0.3868
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,5,2.4,0.47504
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,6,2.4,0.57766
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,7,2.3,0.62366
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,8,2,0.60586
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,9,1.8,0.75914
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,10,1.6,0.6545
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,11,1.4,0.6833
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,12,1.2,0.5367
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,13,1.1,0.36668
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,14,1,0.35398
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,15,1,0.37978
ReichLab_kcde_backfill_post_hoc,US National,4 wk ahead,2012/2013,16,1,0.52134
