model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,43,2.2,0.9274
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,44,2.1,0.9388
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,45,2.7,0.9539
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,46,3.3,0.9435
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,47,4.2,0.8691
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,48,6,0.9832
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,49,4.6,0.8699
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,50,4.2,0.8673
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,51,4.4,0.7754
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,52,4.1,0.3234
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,1,3.7,0.1672
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,2,3.2,0.0894
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,3,2.9,0.1378
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,4,2.6,0.1834
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,5,2.4,0.4502
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,6,2.4,0.6038
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,7,2.3,0.7185
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,8,2,0.7035
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,9,1.8,0.7509
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,10,1.6,0.4613
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,11,1.4,0.622
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,12,1.2,0.4815
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,13,1.1,0.4127
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,14,1,0.3508
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,15,1,0.4962
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,16,1,0.8311
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,17,0.9,0.5063
ReichLab_sarima_seasonal_difference_TRUE,US National,4 wk ahead,2012/2013,18,1,0.7249
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,43,0.7,0.5636
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,44,0.8,0.6708
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,45,1.1,0.8127
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,46,1.6,0.8714
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,47,2.5,0.9323
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,48,3.8,0.9721
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,49,3.1,0.9494
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,50,3.2,0.9164
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,51,2.9,0.7978
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,52,2.4,0.6762
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,1,2.1,0.5519
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,2,1.8,0.331
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,3,1.5,0.209
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,4,1.4,0.218
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,5,1.2,0.3213
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,6,1.2,0.4474
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,7,1.1,0.442
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,8,1.1,0.5997
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,9,1.1,0.6757
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,10,1.1,0.617
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,11,1.1,0.6313
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,12,1,0.6322
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,13,0.7,0.4732
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,14,0.7,0.6315
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,15,0.6,0.5045
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,16,0.5,0.5548
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,17,0.5,0.3465
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 1,4 wk ahead,2012/2013,18,0.5,0.3134
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,43,1.6,0.6975
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,44,1.9,0.6313
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,45,2.3,0.682
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,46,2.7,0.7601
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,47,3.7,0.7243
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,48,5.4,0.9177
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,49,4.4,0.8616
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,50,4.7,0.8985
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,51,5.2,0.8763
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,52,4.5,0.7472
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,1,3.7,0.6719
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,2,3.5,0.5789
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,3,3.6,0.607
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,4,3.3,0.4813
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,5,2.7,0.4895
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,6,2.9,0.5446
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,7,2.8,0.6157
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,8,2.4,0.6741
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,9,2.1,0.5281
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,10,1.8,0.3717
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,11,1.5,0.3814
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,12,1.3,0.3658
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,13,1.4,0.5177
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,14,1.3,0.4619
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,15,1.2,0.5965
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,16,1.2,0.6108
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,17,0.9,0.4516
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 2,4 wk ahead,2012/2013,18,1.3,0.7252
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,43,1.6,0.6825
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,44,1.5,0.6283
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,45,2.4,0.9069
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,46,3.3,0.9458
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,47,4.4,0.9655
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,48,7,0.9895
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,49,4.7,0.9335
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,50,5,0.9526
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,51,5.1,0.9225
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,52,3.5,0.752
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,1,3,0.5731
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,2,2.5,0.3861
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,3,2.7,0.3914
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,4,2.5,0.5173
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,5,2.5,0.4925
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,6,2.6,0.6872
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,7,2.5,0.6
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,8,2.1,0.5677
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,9,2,0.6534
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,10,1.6,0.4374
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,11,1.4,0.5556
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,12,1,0.347
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,13,1,0.3998
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,14,1,0.3006
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,15,1.2,0.366
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,16,1,0.4516
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,17,1,0.5454
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 3,4 wk ahead,2012/2013,18,1.2,0.8783
ReichLab_sarima_seasonal_difference_TRUE,HHS Region 4,4 wk ahead,2012/2013,43,2.7,0.8161
