model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,43,1.5,0.598106
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,44,1.6,0.317411
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,45,2,0.18731
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,46,2.1,0.229322
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,47,2.3,0.299389
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,48,3.1,0.116613
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,49,4.5,0.958756
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,50,4.2,0.080496
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,51,3.5,0.029922
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,52,3.3,0.019229
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,1,3.3,0.063238
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,2,3,0.06256
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,3,2.7,0.03797
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,4,2.4,0.029103
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,5,2.2,0.070639
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,6,2,0.146656
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,7,1.9,0.059331
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,8,1.7,0.033948
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,9,1.7,0.071959
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,10,1.7,0.260743
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,11,1.6,0.227342
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,12,1.6,0.302684
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,13,1.4,0.103971
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,14,1.3,0.017477
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,15,1.2,0.016001
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,16,1.3,0.737409
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,17,1.2,0.643385
CU_EAKFC_SEIRS,US National,3 wk ahead,2013/2014,18,1.2,0.862053
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,43,0.8,0.880729
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,44,0.6,0.519341
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,45,0.8,0.47666
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,46,0.7,0.477349
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,47,1,0.908037
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,48,1.1,0.467998
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,49,1.5,0.815439
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,50,1.5,0.85823
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,51,1.3,0.223346
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,52,1.6,0.040568
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,1,1.8,0.037264
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,2,1.9,0.231392
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,3,2.1,0.19533
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,4,1.7,0.049272
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,5,1.7,0.228688
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,6,1.4,0.056651
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,7,1.4,0.427578
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,8,1.3,0.611403
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,9,1.6,0.927636
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,10,1.5,0.890108
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,11,1.7,0.938465
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,12,1.9,0.776885
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,13,1.6,0.861478
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,14,1.5,0.413426
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,15,1.2,0.043246
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,16,1.2,0.826796
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,17,1,0.703994
CU_EAKFC_SEIRS,HHS Region 1,3 wk ahead,2013/2014,18,0.4,0
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,43,1.4,0.020623
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,44,1.7,0.169322
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,45,1.9,0.477998
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,46,1.9,0.884013
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,47,1.7,0.310003
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,48,2.1,0.102626
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,49,2.8,0.914753
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,50,3.2,0.978859
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,51,2.6,0.029869
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,52,3,0.038545
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,1,2.9,0.022545
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,2,3.2,0.057223
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,3,3.3,0.201904
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,4,3,0.023983
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,5,2.3,0.017303
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,6,2.2,0.077987
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,7,2.2,0.012643
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,8,2.4,0.80149
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,9,2.8,0.952853
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,10,3.3,0.972838
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,11,3.2,0.922151
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,12,3.1,0.723419
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,13,2.5,0.126708
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,14,2.1,0.03211
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,15,1.8,0.113305
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,16,2.2,0.87139
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,17,2,0.880772
CU_EAKFC_SEIRS,HHS Region 2,3 wk ahead,2013/2014,18,1.9,0.962573
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,43,1.2,0.763491
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,44,1.1,0.126033
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,45,1.4,0.280003
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,46,1.4,0.580011
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,47,1.5,0.539388
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,48,2.1,0.280691
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,49,3.2,0.996041
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,50,3.5,0.98672
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,51,3.1,0.026545
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,52,3.3,0.038529
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,1,3.4,0.03927
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,2,2.9,0.089236
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,3,2.7,0.13862
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,4,2.3,0.091972
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,5,1.9,0.073343
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,6,1.9,0.166656
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,7,1.7,0.012664
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,8,1.5,0.013942
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,9,1.6,0.495888
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,10,1.7,0.927591
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,11,1.8,0.951772
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,12,1.6,0.97806
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,13,1.2,0.069983
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,14,1.1,0.00668
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,15,1,0
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,16,1.1,0.510702
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,17,1.2,0.97736
CU_EAKFC_SEIRS,HHS Region 3,3 wk ahead,2013/2014,18,1.2,0.98468
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,43,1.4,0.211429
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,44,1.6,0.203332
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,45,2.1,0.156728
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,46,2.2,0.162673
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,47,2.3,0.149325
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,48,3.1,0.675389
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,49,4.5,0.968752
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,50,3.8,0.793359
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,51,3,0.026472
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,52,2.7,0.019933
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,1,2.8,0.116607
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,2,2.6,0.371405
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,3,2.1,0.077275
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,4,1.9,0.165363
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,5,1.4,0.013282
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,6,1.3,0.014127
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,7,1.3,0.021303
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,8,1,0.01335
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,9,0.9,0.00796
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,10,0.9,0.01064
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,11,0.8,0.002
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,12,0.7,0
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,13,0.7,0
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,14,0.7,0
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,15,0.6,0
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,16,0.7,0
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,17,0.6,0
CU_EAKFC_SEIRS,HHS Region 4,3 wk ahead,2013/2014,18,0.7,0
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,43,1.1,0.451358
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,44,1.1,0.16534
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,45,1.6,0.842696
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,46,1.5,0.9907
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,47,1.6,0.890027
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,48,2,0.436697
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,49,3.5,0.996038
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,50,3.3,0.77801
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,51,2.7,0.020512
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,52,2.4,0.009284
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,1,2.5,0.023884
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,2,2.1,0.013981
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,3,1.9,0.023946
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,4,1.8,0.029923
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,5,1.9,0.642726
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,6,1.7,0.697402
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,7,1.7,0.642704
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,8,1.5,0.741749
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,9,1.5,0.84276
CU_EAKFC_SEIRS,HHS Region 5,3 wk ahead,2013/2014,10,1.4,0.484049
