model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,43,1.5,0.650393
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,44,1.6,0.472786
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,45,2,0.450045
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,46,2.1,0.476744
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,47,2.3,0.3974
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,48,3.1,0.312071
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,49,4.5,0.794192
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,50,4.2,0.28004
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,51,3.5,0.084488
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,52,3.3,0.081267
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,1,3.3,0.173994
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,2,3,0.117256
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,3,2.7,0.086602
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,4,2.4,0.133309
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,5,2.2,0.146027
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,6,2,0.270151
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,7,1.9,0.075349
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,8,1.7,0.123333
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,9,1.7,0.134036
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,10,1.7,0.380692
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,11,1.6,0.123324
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,12,1.6,0.282
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,13,1.4,0.132026
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,14,1.3,0.063377
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,15,1.2,0.073351
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,16,1.3,0.752091
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,17,1.2,0.771403
CU_EAKFC_SIRS,US National,3 wk ahead,2013/2014,18,1.2,0.876716
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,43,0.8,0.788144
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,44,0.6,0.468767
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,45,0.8,0.3215
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,46,0.7,0.446697
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,47,1,0.739419
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,48,1.1,0.404719
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,49,1.5,0.700794
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,50,1.5,0.685473
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,51,1.3,0.183347
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,52,1.6,0.118003
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,1,1.8,0.075956
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,2,1.9,0.256751
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,3,2.1,0.14733
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,4,1.7,0.089971
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,5,1.7,0.222682
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,6,1.4,0.1734
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,7,1.4,0.397349
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,8,1.3,0.707458
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,9,1.6,0.921257
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,10,1.5,0.830215
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,11,1.7,0.962176
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,12,1.9,0.675119
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,13,1.6,0.768791
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,14,1.5,0.564325
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,15,1.2,0.094166
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,16,1.2,0.921189
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,17,1,0.803376
CU_EAKFC_SIRS,HHS Region 1,3 wk ahead,2013/2014,18,0.4,0
CU_EAKFC_SIRS,HHS Region 2,3 wk ahead,2013/2014,43,1.4,0.030666
CU_EAKFC_SIRS,HHS Region 2,3 wk ahead,2013/2014,44,1.7,0.268027
CU_EAKFC_SIRS,HHS Region 2,3 wk ahead,2013/2014,45,1.9,0.321399
CU_EAKFC_SIRS,HHS Region 2,3 wk ahead,2013/2014,46,1.9,0.545384
CU_EAKFC_SIRS,HHS Region 2,3 wk ahead,2013/2014,47,1.7,0.173384
