model_name,location,target,season,calendar_week,valid.bin_lag,cdf
LANL_DBMplus,US National,3 wk ahead,2013/2014,43,1.5,0.5536202662
LANL_DBMplus,US National,3 wk ahead,2013/2014,44,1.6,0.4404591662
LANL_DBMplus,US National,3 wk ahead,2013/2014,45,2,0.6922411212
LANL_DBMplus,US National,3 wk ahead,2013/2014,46,2.1,0.817419768
LANL_DBMplus,US National,3 wk ahead,2013/2014,47,2.3,0.4669623038
LANL_DBMplus,US National,3 wk ahead,2013/2014,48,3.1,0.6835254456
LANL_DBMplus,US National,3 wk ahead,2013/2014,49,4.5,0.861329042
LANL_DBMplus,US National,3 wk ahead,2013/2014,50,4.2,0.8625023004
LANL_DBMplus,US National,3 wk ahead,2013/2014,51,3.5,0.6218244358
LANL_DBMplus,US National,3 wk ahead,2013/2014,52,3.3,0.4025837406
LANL_DBMplus,US National,3 wk ahead,2013/2014,1,3.3,0.2056224374
LANL_DBMplus,US National,3 wk ahead,2013/2014,2,3,0.1412522598
LANL_DBMplus,US National,3 wk ahead,2013/2014,3,2.7,0.114288203
LANL_DBMplus,US National,3 wk ahead,2013/2014,4,2.4,0.1157924922
LANL_DBMplus,US National,3 wk ahead,2013/2014,5,2.2,0.252406249
LANL_DBMplus,US National,3 wk ahead,2013/2014,6,2,0.2920289622
LANL_DBMplus,US National,3 wk ahead,2013/2014,7,1.9,0.5478629092
LANL_DBMplus,US National,3 wk ahead,2013/2014,8,1.7,0.4941359036
LANL_DBMplus,US National,3 wk ahead,2013/2014,9,1.7,0.6331674076
LANL_DBMplus,US National,3 wk ahead,2013/2014,10,1.7,0.7877572228
LANL_DBMplus,US National,3 wk ahead,2013/2014,11,1.6,0.8400092624
LANL_DBMplus,US National,3 wk ahead,2013/2014,12,1.6,0.8668224954
LANL_DBMplus,US National,3 wk ahead,2013/2014,13,1.4,0.8074680154
LANL_DBMplus,US National,3 wk ahead,2013/2014,14,1.3,0.8183416428
LANL_DBMplus,US National,3 wk ahead,2013/2014,15,1.2,0.7140177174
LANL_DBMplus,US National,3 wk ahead,2013/2014,16,1.3,0.7703426704
LANL_DBMplus,US National,3 wk ahead,2013/2014,17,1.2,0.7312311424
LANL_DBMplus,US National,3 wk ahead,2013/2014,18,1.2,0.7083902714
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,43,0.8,0.4254916448
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,44,0.6,0.5700500656
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,45,0.8,0.304004623
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,46,0.7,0.5608316786
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,47,1,0.7586058932
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,48,1.1,0.5812253792
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,49,1.5,0.8399589694
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,50,1.5,0.8727306732
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,51,1.3,0.5856292952
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,52,1.6,0.8194856492
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,1,1.8,0.791779809
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,2,1.9,0.685570293
LANL_DBMplus,HHS Region 1,3 wk ahead,2013/2014,3,2.1,0.5807351512
