model_name,location,target,season,calendar_week,valid.bin_lag,cdf
equal-weights,US National,3 wk ahead,2013/2014,43,1.5,0.496857093
equal-weights,US National,3 wk ahead,2013/2014,44,1.6,0.3564745478
equal-weights,US National,3 wk ahead,2013/2014,45,2,0.45401338
equal-weights,US National,3 wk ahead,2013/2014,46,2.1,0.5610637986
equal-weights,US National,3 wk ahead,2013/2014,47,2.3,0.485209784
equal-weights,US National,3 wk ahead,2013/2014,48,3.1,0.6061562381
equal-weights,US National,3 wk ahead,2013/2014,49,4.5,0.8557266521
equal-weights,US National,3 wk ahead,2013/2014,50,4.2,0.6990661673
equal-weights,US National,3 wk ahead,2013/2014,51,3.5,0.4856708687
equal-weights,US National,3 wk ahead,2013/2014,52,3.3,0.3433888578
equal-weights,US National,3 wk ahead,2013/2014,1,3.3,0.2981792179
equal-weights,US National,3 wk ahead,2013/2014,2,3,0.3428300147
equal-weights,US National,3 wk ahead,2013/2014,3,2.7,0.2984619003
equal-weights,US National,3 wk ahead,2013/2014,4,2.4,0.2449688967
equal-weights,US National,3 wk ahead,2013/2014,5,2.2,0.2578611281
equal-weights,US National,3 wk ahead,2013/2014,6,2,0.2555656941
equal-weights,US National,3 wk ahead,2013/2014,7,1.9,0.3501087011
equal-weights,US National,3 wk ahead,2013/2014,8,1.7,0.3043942073
equal-weights,US National,3 wk ahead,2013/2014,9,1.7,0.4540841292
equal-weights,US National,3 wk ahead,2013/2014,10,1.7,0.5785139903
equal-weights,US National,3 wk ahead,2013/2014,11,1.6,0.5893032932
equal-weights,US National,3 wk ahead,2013/2014,12,1.6,0.667693471
equal-weights,US National,3 wk ahead,2013/2014,13,1.4,0.5429340628
equal-weights,US National,3 wk ahead,2013/2014,14,1.3,0.4333918127
equal-weights,US National,3 wk ahead,2013/2014,15,1.2,0.343204518
equal-weights,US National,3 wk ahead,2013/2014,16,1.3,0.598569368
equal-weights,US National,3 wk ahead,2013/2014,17,1.2,0.493086
equal-weights,US National,3 wk ahead,2013/2014,18,1.2,0.654474762
equal-weights,HHS Region 1,3 wk ahead,2013/2014,43,0.8,0.563810839
equal-weights,HHS Region 1,3 wk ahead,2013/2014,44,0.6,0.246684289
equal-weights,HHS Region 1,3 wk ahead,2013/2014,45,0.8,0.292252641
equal-weights,HHS Region 1,3 wk ahead,2013/2014,46,0.7,0.279244467
equal-weights,HHS Region 1,3 wk ahead,2013/2014,47,1,0.565686319
equal-weights,HHS Region 1,3 wk ahead,2013/2014,48,1.1,0.4090957
equal-weights,HHS Region 1,3 wk ahead,2013/2014,49,1.5,0.615900805
equal-weights,HHS Region 1,3 wk ahead,2013/2014,50,1.5,0.59118533
equal-weights,HHS Region 1,3 wk ahead,2013/2014,51,1.3,0.331923161
equal-weights,HHS Region 1,3 wk ahead,2013/2014,52,1.6,0.411426475
equal-weights,HHS Region 1,3 wk ahead,2013/2014,1,1.8,0.445661357
equal-weights,HHS Region 1,3 wk ahead,2013/2014,2,1.9,0.452596666
equal-weights,HHS Region 1,3 wk ahead,2013/2014,3,2.1,0.494663262
equal-weights,HHS Region 1,3 wk ahead,2013/2014,4,1.7,0.249708335
equal-weights,HHS Region 1,3 wk ahead,2013/2014,5,1.7,0.342548781
equal-weights,HHS Region 1,3 wk ahead,2013/2014,6,1.4,0.217930749
