model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,43,1.5,0.34050619
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,44,2,0.431114005
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,45,2.5,0.572251285
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,46,2.5,0.546392356
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,47,3.6,0.698811764
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,48,4.9,0.769647977
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,49,5.9,0.759065248
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,50,5.4,0.824707013
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,51,4.1,0.771997083
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,52,4.2,0.771305454
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,53,4.2,0.718597665
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,1,3.9,0.610694444
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,2,3.5,0.515504873
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,3,3.2,0.433988565
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,4,2.9,0.417525017
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,5,2.5,0.371855586
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,6,2.4,0.373382572
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,7,2.3,0.414740108
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,8,2.1,0.46127748
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,9,2,0.560472656
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,10,1.9,0.688306935
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,11,1.7,0.685831557
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,12,1.5,0.676059165
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,13,1.3,0.598529461
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,14,1.4,0.52125762
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,15,1.3,0.51928251
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,16,1.3,0.575805341
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,17,1.2,0.516278911
Delphi_EmpiricalTrajectories,US National,3 wk ahead,2014/2015,18,1.2,0.496558732
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,43,1,0.3461889
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,44,0.9,0.35959093
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,45,1,0.44070157
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,46,1,0.40253588
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,47,1.1,0.326222
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,48,1.2,0.30711811
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,49,1.9,0.41819618
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,50,1.8,0.42098325
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,51,1.8,0.49897572
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,52,2.5,0.70474867
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,53,3.8,0.845305133
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,1,3.5,0.842119792
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,2,3.5,0.762129544
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,3,3.2,0.66048298
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,4,2.8,0.63815339
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,5,1.8,0.4736927
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,6,1.7,0.50064064
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,7,1.6,0.51326961
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,8,1.4,0.49922288
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,9,1.4,0.5767683
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,10,1.5,0.64435524
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,11,1.3,0.5639874
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,12,1.2,0.5942071
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,13,1.2,0.66436058
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,14,0.9,0.52299317
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,15,0.9,0.57458035
Delphi_EmpiricalTrajectories,HHS Region 1,3 wk ahead,2014/2015,16,0.7,0.50789593
