model_name,location,target,season,calendar_week,valid.bin_lag,cdf
UA_EpiCos,US National,3 wk ahead,2014/2015,43,1.5,0.61760604
UA_EpiCos,US National,3 wk ahead,2014/2015,44,2,0.68187425
UA_EpiCos,US National,3 wk ahead,2014/2015,45,2.5,0.81338975
UA_EpiCos,US National,3 wk ahead,2014/2015,46,2.5,0.79049945
UA_EpiCos,US National,3 wk ahead,2014/2015,47,3.6,0.81418636
UA_EpiCos,US National,3 wk ahead,2014/2015,48,4.9,0.96198994
UA_EpiCos,US National,3 wk ahead,2014/2015,49,5.9,0.96668443
UA_EpiCos,US National,3 wk ahead,2014/2015,50,5.4,0.96433701
UA_EpiCos,US National,3 wk ahead,2014/2015,51,4.1,0.95823674
UA_EpiCos,US National,3 wk ahead,2014/2015,52,4.2,0.70285366
UA_EpiCos,US National,3 wk ahead,2014/2015,53,4.2,0.70285366
UA_EpiCos,US National,3 wk ahead,2014/2015,1,3.9,0.8883732
UA_EpiCos,US National,3 wk ahead,2014/2015,2,3.5,0.95420694
UA_EpiCos,US National,3 wk ahead,2014/2015,3,3.2,0.27867173
UA_EpiCos,US National,3 wk ahead,2014/2015,4,2.9,0.141658
UA_EpiCos,US National,3 wk ahead,2014/2015,5,2.5,0.26225919
UA_EpiCos,US National,3 wk ahead,2014/2015,6,2.4,0.30646322
UA_EpiCos,US National,3 wk ahead,2014/2015,7,2.3,0.65326066
UA_EpiCos,US National,3 wk ahead,2014/2015,8,2.1,0.54800215
UA_EpiCos,US National,3 wk ahead,2014/2015,9,2,0.85725697
UA_EpiCos,US National,3 wk ahead,2014/2015,10,1.9,0.65966908
UA_EpiCos,US National,3 wk ahead,2014/2015,11,1.7,0.51713345
UA_EpiCos,US National,3 wk ahead,2014/2015,12,1.5,0.38083109
UA_EpiCos,US National,3 wk ahead,2014/2015,13,1.3,0.29721298
UA_EpiCos,US National,3 wk ahead,2014/2015,14,1.4,0.57356716
UA_EpiCos,US National,3 wk ahead,2014/2015,15,1.3,0.36983619
UA_EpiCos,US National,3 wk ahead,2014/2015,16,1.3,0.69459804
UA_EpiCos,US National,3 wk ahead,2014/2015,17,1.2,0.42376778
UA_EpiCos,US National,3 wk ahead,2014/2015,18,1.2,0.31566281
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,43,1,0.33276561
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,44,0.9,0.1836277
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,45,1,0.21748039
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,46,1,0.0980882
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,47,1.1,0.17224539
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,48,1.2,0.14290625
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,49,1.9,0.71041732
UA_EpiCos,HHS Region 1,3 wk ahead,2014/2015,50,1.8,0.19008058
