model_name,location,target,season,calendar_week,valid.bin_lag,cdf
FluX_LSTM,US National,2 wk ahead,2015/2016,43,1.4,0.38024645
FluX_LSTM,US National,2 wk ahead,2015/2016,44,1.5,0.381435376
FluX_LSTM,US National,2 wk ahead,2015/2016,45,1.8,0.522303877
FluX_LSTM,US National,2 wk ahead,2015/2016,46,1.6,0.255299675
FluX_LSTM,US National,2 wk ahead,2015/2016,47,1.7,0.117991532
FluX_LSTM,US National,2 wk ahead,2015/2016,48,1.8,0.203095863
FluX_LSTM,US National,2 wk ahead,2015/2016,49,2.3,0.389616367
FluX_LSTM,US National,2 wk ahead,2015/2016,50,2.4,0.324432064
FluX_LSTM,US National,2 wk ahead,2015/2016,51,1.9,0.051222055
FluX_LSTM,US National,2 wk ahead,2015/2016,52,1.9,0.024050336
FluX_LSTM,US National,2 wk ahead,2015/2016,1,2.1,0.321431582
FluX_LSTM,US National,2 wk ahead,2015/2016,2,2.2,0.388616032
FluX_LSTM,US National,2 wk ahead,2015/2016,3,2.3,0.458492632
FluX_LSTM,US National,2 wk ahead,2015/2016,4,2.7,0.658668167
FluX_LSTM,US National,2 wk ahead,2015/2016,5,3.1,0.830819827
FluX_LSTM,US National,2 wk ahead,2015/2016,6,3.1,0.46649304
FluX_LSTM,US National,2 wk ahead,2015/2016,7,3.2,0.663668244
FluX_LSTM,US National,2 wk ahead,2015/2016,8,3.5,0.767124405
FluX_LSTM,US National,2 wk ahead,2015/2016,9,3,0.39661649
FluX_LSTM,US National,2 wk ahead,2015/2016,10,2.7,0.177387465
FluX_LSTM,US National,2 wk ahead,2015/2016,11,2.4,0.390616524
FluX_LSTM,US National,2 wk ahead,2015/2016,12,2,0.259319602
FluX_LSTM,US National,2 wk ahead,2015/2016,13,1.9,0.454478055
FluX_LSTM,US National,2 wk ahead,2015/2016,14,1.8,0.64945893
FluX_LSTM,US National,2 wk ahead,2015/2016,15,1.6,0.451332386
FluX_LSTM,US National,2 wk ahead,2015/2016,16,1.5,0.45016475
FluX_LSTM,US National,2 wk ahead,2015/2016,17,1.3,0.378887952
FluX_LSTM,US National,2 wk ahead,2015/2016,18,1.2,0.377233828
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,43,0.7,0.41461796
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,44,0.6,0.45597126
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,45,0.9,0.49768663
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,46,0.7,0.41461796
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,47,0.9,0.66099473
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,48,0.9,0.61354909
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,49,1.3,0.77215123
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,50,1.5,0.80885181
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,51,1.2,0.25087286
FluX_LSTM,HHS Region 1,2 wk ahead,2015/2016,52,1.3,0.084164346
