model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,43,1.5,0.32814
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,44,1.8,0.68782
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,45,1.6,0.17176
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,46,1.7,0.23694
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,47,1.8,0.17468
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,48,2.3,0.36672
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,49,2.4,0.4163
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,50,1.9,0.12268
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,51,1.9,0.09042
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,52,2.1,0.1703
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,1,2.2,0.43136
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,2,2.3,0.42476
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,3,2.7,0.5759
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,4,3.1,0.67698
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,5,3.1,0.67094
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,6,3.2,0.71132
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,7,3.5,0.90558
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,8,3,0.84656
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,9,2.7,0.7608
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,10,2.4,0.45036
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,11,2,0.38994
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,12,1.9,0.50302
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,13,1.8,0.70344
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,14,1.6,0.8037
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,15,1.5,0.7073
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,16,1.3,0.4585
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,17,1.2,0.27992
ReichLab_kcde_backfill_none,US National,3 wk ahead,2015/2016,18,1.1,0.09844
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,43,0.6,0.00564
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,44,0.9,0.0668
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,45,0.7,0.0114
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,46,0.9,0.04094
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,47,0.9,0.0274
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,48,1.3,0.21494
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,49,1.5,0.21052
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,50,1.2,0.11354
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,51,1.3,0.1049
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,52,1.4,0.1379
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,1,1.6,0.40486
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,2,1.7,0.38746
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,3,1.9,0.55994
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,4,1.9,0.61022
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,5,1.9,0.64282
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,6,1.9,0.51918
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,7,2.4,0.68948
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,8,2.1,0.66764
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,9,1.9,0.54904
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,10,1.9,0.52302
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,11,1.6,0.46558
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,12,1.5,0.4668
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,13,1.5,0.5679
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,14,1,0.2384
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,15,1,0.22414
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,16,0.8,0.13762
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,17,0.8,0.19028
ReichLab_kcde_backfill_none,HHS Region 1,3 wk ahead,2015/2016,18,0.7,0.18232
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,43,1.3,0.23934
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,44,1.3,0.20362
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,45,1.5,0.1996
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,46,1.8,0.34296
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,47,1.6,0.13418
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,48,2.2,0.4891
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,49,2.2,0.45984
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,50,1.7,0.14044
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,51,2.3,0.39648
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,52,2.1,0.27998
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,1,2.2,0.47626
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,2,2.4,0.54734
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,3,3.1,0.7479
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,4,2.7,0.64636
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,5,3.1,0.7328
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,6,3.6,0.7762
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,7,3.9,0.8437
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,8,4,0.87338
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,9,3.2,0.66492
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,10,2.2,0.26438
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,11,1.9,0.20672
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,12,2.1,0.39986
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,13,1.9,0.4302
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,14,1.6,0.42308
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,15,1.4,0.30048
ReichLab_kcde_backfill_none,HHS Region 2,3 wk ahead,2015/2016,16,1.2,0.20176
