model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CUBMA,US National,4 wk ahead,2015/2016,43,1.8,0.5437323187939
CUBMA,US National,4 wk ahead,2015/2016,44,1.6,0.396387126
CUBMA,US National,4 wk ahead,2015/2016,45,1.7,9.449887e-160
CUBMA,US National,4 wk ahead,2015/2016,46,1.8,0.000491396633878055
CUBMA,US National,4 wk ahead,2015/2016,47,2.3,0.195414444
CUBMA,US National,4 wk ahead,2015/2016,48,2.4,0.000402838093562688
CUBMA,US National,4 wk ahead,2015/2016,49,1.9,0.186273994
CUBMA,US National,4 wk ahead,2015/2016,50,1.9,0.1730076928
CUBMA,US National,4 wk ahead,2015/2016,51,2.1,0.22376689274
CUBMA,US National,4 wk ahead,2015/2016,52,2.2,0.30680357258
CUBMA,US National,4 wk ahead,2015/2016,1,2.3,0.273223159
CUBMA,US National,4 wk ahead,2015/2016,2,2.7,0.367679758
CUBMA,US National,4 wk ahead,2015/2016,3,3.1,0.8677170854
CUBMA,US National,4 wk ahead,2015/2016,4,3.1,0.77985664775
CUBMA,US National,4 wk ahead,2015/2016,5,3.2,0.76867857361
CUBMA,US National,4 wk ahead,2015/2016,6,3.5,0.848672915
CUBMA,US National,4 wk ahead,2015/2016,7,3,0.890762548192066
CUBMA,US National,4 wk ahead,2015/2016,8,2.7,0.7808164313
CUBMA,US National,4 wk ahead,2015/2016,9,2.4,0.683970024
CUBMA,US National,4 wk ahead,2015/2016,10,2,0.77104225459
CUBMA,US National,4 wk ahead,2015/2016,11,1.9,0.740000976
CUBMA,US National,4 wk ahead,2015/2016,12,1.8,0.732665185
CUBMA,US National,4 wk ahead,2015/2016,13,1.6,0.661306144
CUBMA,US National,4 wk ahead,2015/2016,14,1.5,0.365247589
CUBMA,US National,4 wk ahead,2015/2016,15,1.3,0.0756723200745155
CUBMA,US National,4 wk ahead,2015/2016,16,1.2,0.082844330898927
CUBMA,US National,4 wk ahead,2015/2016,17,1.1,0.06694904242
CUBMA,US National,4 wk ahead,2015/2016,18,1.1,1.438129e-62
CUBMA,HHS Region 1,4 wk ahead,2015/2016,43,0.9,0.31204276
CUBMA,HHS Region 1,4 wk ahead,2015/2016,44,0.7,0.00320748871028881
CUBMA,HHS Region 1,4 wk ahead,2015/2016,45,0.9,0.2799820656
CUBMA,HHS Region 1,4 wk ahead,2015/2016,46,0.9,0.28437835
CUBMA,HHS Region 1,4 wk ahead,2015/2016,47,1.3,0.34982225
CUBMA,HHS Region 1,4 wk ahead,2015/2016,48,1.5,0.350253472624465
CUBMA,HHS Region 1,4 wk ahead,2015/2016,49,1.2,0.93501593959
CUBMA,HHS Region 1,4 wk ahead,2015/2016,50,1.3,0.495736184259898
CUBMA,HHS Region 1,4 wk ahead,2015/2016,51,1.4,0.531769642
CUBMA,HHS Region 1,4 wk ahead,2015/2016,52,1.6,0.443792445
CUBMA,HHS Region 1,4 wk ahead,2015/2016,1,1.7,0.239870696
CUBMA,HHS Region 1,4 wk ahead,2015/2016,2,1.9,0.223051466
CUBMA,HHS Region 1,4 wk ahead,2015/2016,3,1.9,0.0889866632
CUBMA,HHS Region 1,4 wk ahead,2015/2016,4,1.9,0.2517515662
CUBMA,HHS Region 1,4 wk ahead,2015/2016,5,1.9,0.434247815633
CUBMA,HHS Region 1,4 wk ahead,2015/2016,6,2.4,1.00000002212705
CUBMA,HHS Region 1,4 wk ahead,2015/2016,7,2.1,0.994176414576304
CUBMA,HHS Region 1,4 wk ahead,2015/2016,8,1.9,0.98638237226
CUBMA,HHS Region 1,4 wk ahead,2015/2016,9,1.9,0.910550441
CUBMA,HHS Region 1,4 wk ahead,2015/2016,10,1.6,0.8708096399
CUBMA,HHS Region 1,4 wk ahead,2015/2016,11,1.5,0.913948882
CUBMA,HHS Region 1,4 wk ahead,2015/2016,12,1.5,0.97156209001
CUBMA,HHS Region 1,4 wk ahead,2015/2016,13,1,0.4194102267
CUBMA,HHS Region 1,4 wk ahead,2015/2016,14,1,0.4336653804
CUBMA,HHS Region 1,4 wk ahead,2015/2016,15,0.8,0.14054667431
CUBMA,HHS Region 1,4 wk ahead,2015/2016,16,0.8,0.0178537614965667
CUBMA,HHS Region 1,4 wk ahead,2015/2016,17,0.7,0.0981468044
CUBMA,HHS Region 1,4 wk ahead,2015/2016,18,0.6,0.15744973
CUBMA,HHS Region 2,4 wk ahead,2015/2016,43,1.3,0.355896324
