model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,43,1.5,0.39117857956
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,44,1.8,0.41739382304
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,45,1.7,0.19424534803
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,46,1.8,0.44584230844
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,47,2.1,0.19558135167
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,48,2.6,0.29430574902
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,49,3.3,0.59293901013
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,50,3,0.76394118884
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,51,3,0.71962838799
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,52,3.4,0.994153563
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,1,3.7,0.55896615575
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,2,4.3,0.60071089978
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,3,5,0.82253588782
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,4,4.8,0.86620458422
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,5,4.5,0.7366162767
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,6,3.5,0.25491553421
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,7,3.4,0.41519978043
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,8,3.1,0.34047045824
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,9,3,0.99602972323
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,10,2.7,0.94984858097
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,11,2.3,0.9526371541
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,12,1.9,0.11911978406
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,13,1.7,0.00040983939
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,14,1.5,0.00036574119
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,15,1.3,0.06928513625
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,16,1.2,0.04516279886
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,17,1.2,0.50830910294
Delphi_MarkovianDeltaDensity,US National,3 wk ahead,2016/2017,18,1.1,0.15736600419
