model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Protea_Cheetah,US National,3 wk ahead,2016/2017,43,1.5,0.242000666342083
Protea_Cheetah,US National,3 wk ahead,2016/2017,44,1.8,0.438000374947472
Protea_Cheetah,US National,3 wk ahead,2016/2017,45,1.7,0.26065970803
Protea_Cheetah,US National,3 wk ahead,2016/2017,46,1.8,0.217465262416
Protea_Cheetah,US National,3 wk ahead,2016/2017,47,2.1,0.374327565488
Protea_Cheetah,US National,3 wk ahead,2016/2017,48,2.6,0.79138950565
Protea_Cheetah,US National,3 wk ahead,2016/2017,49,3.3,0.852109843831
Protea_Cheetah,US National,3 wk ahead,2016/2017,50,3,0.64387010922
Protea_Cheetah,US National,3 wk ahead,2016/2017,51,3,0.4229647558
Protea_Cheetah,US National,3 wk ahead,2016/2017,52,3.4,0.34450146725
Protea_Cheetah,US National,3 wk ahead,2016/2017,1,3.7,0.662750186662
Protea_Cheetah,US National,3 wk ahead,2016/2017,2,4.3,0.88034634408
Protea_Cheetah,US National,3 wk ahead,2016/2017,3,5,0.963825542304
Protea_Cheetah,US National,3 wk ahead,2016/2017,4,4.8,0.873921905063
Protea_Cheetah,US National,3 wk ahead,2016/2017,5,4.5,0.55165121043
Protea_Cheetah,US National,3 wk ahead,2016/2017,6,3.5,0.17873659546
Protea_Cheetah,US National,3 wk ahead,2016/2017,7,3.4,0.24240034837
Protea_Cheetah,US National,3 wk ahead,2016/2017,8,3.1,0.19699982321
Protea_Cheetah,US National,3 wk ahead,2016/2017,9,3,0.47200755959245
Protea_Cheetah,US National,3 wk ahead,2016/2017,10,2.7,0.302010086999272
Protea_Cheetah,US National,3 wk ahead,2016/2017,11,2.3,0.284010299249668
Protea_Cheetah,US National,3 wk ahead,2016/2017,12,1.9,0.06201307561501
Protea_Cheetah,US National,3 wk ahead,2016/2017,13,1.7,0.0480006846173586
Protea_Cheetah,US National,3 wk ahead,2016/2017,14,1.5,0.0460006913136513
Protea_Cheetah,US National,3 wk ahead,2016/2017,15,1.3,0.240000404810191
Protea_Cheetah,US National,3 wk ahead,2016/2017,16,1.2,0.184000381512348
Protea_Cheetah,US National,3 wk ahead,2016/2017,17,1.2,0.74799939477907
Protea_Cheetah,US National,3 wk ahead,2016/2017,18,1.1,0.28001183735028
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,43,0.8,0.576000839348494
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,44,0.9,0.584000451034318
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,45,0.8,0.114586486882
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,46,0.8,0.107753090137
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,47,0.9,0.11689875563999
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,48,1.1,0.24179732533291
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,49,1.3,0.24374860059
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,50,1.5,0.4629696608
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,51,1.4,0.5900716196
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,52,1.6,0.6180668359
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,1,2,0.80232820598
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,2,2.4,0.8773650963
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,3,3.1,0.88639423757
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,4,2.9,0.7921771669
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,5,2.9,0.62554486511
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,6,2.1,0.2611460403
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,7,2,0.5382891808
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,8,2,0.3622877283
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,9,1.8,0.54400411631296
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,10,1.9,0.60000498019761
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,11,2.1,0.89400120088374
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,12,1.7,0.7240024977836
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,13,1.4,0.51400023478865
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,14,1,0.266000387486067
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,15,0.8,0.14600044050687
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,16,0.6,0.05800043797289
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,17,0.6,0.4060093906938
Protea_Cheetah,HHS Region 1,3 wk ahead,2016/2017,18,0.5,0.1220159873884
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,43,2.4,0.400002857592216
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,44,3.2,0.744001253621377
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,45,3.1,0.511455045512
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,46,3.2,0.349071730502
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,47,3.3,0.270006661218
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,48,4.4,0.5515945357
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,49,5.9,0.9114802758
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,50,5.2,0.87985697938
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,51,5,0.85542010724
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,52,5.6,0.87022617635
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,1,5.9,0.8004510083
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,2,6.4,0.7666329854
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,3,6.8,0.9070761371
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,4,5.6,0.4008499858
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,5,4.6,0.257841595818
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,6,3,0.11247348687
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,7,3,0.1450519081
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,8,3.2,0.2507135463
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,9,3,0.46800518238317
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,10,3.6,0.96000014432538
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,11,3.6,0.98799987982039
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,12,3,0.96799950311805
Protea_Cheetah,HHS Region 2,3 wk ahead,2016/2017,13,2.2,0.242000524531824
