model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,43,1.6,0.459145505
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,44,1.8,0.419395272
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,45,2,0.468114816
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,46,2.2,0.4303770589
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,47,2.2,0.2782969709
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,48,2.5,0.486228495
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,49,3.3,0.6021245497
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,50,4.6,0.6207003145
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,51,5.6,0.4282126422
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,52,5.7,0.6271389767
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,1,5.8,0.479610996
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,2,6.4,0.5066614285
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,3,7.1,0.690667927
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,4,7.4,0.59226477
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,5,7.3,0.917061924
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,6,6.4,0.881977691
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,7,4.9,0.791922925
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,8,3.6,0.684448238
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,9,3.1,0.578131088
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,10,2.7,0.563608934
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,11,2.4,0.565911426
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,12,2.3,0.5421740012
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,13,2,0.344264768
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,14,1.7,0.268540918
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,15,1.5,0.287472534
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,16,1.4,0.338523064
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,17,1.4,0.438528186
Delphi_EmpiricalFutures,US National,1 wk ahead,2017/2018,18,1.2,0.318334057
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,43,0.9,0.388609274
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,44,1,0.460079136
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,45,1.1,0.405281545
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,46,1.5,0.423340276
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,47,1.4,0.224243222
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,48,1.6,0.295070156
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,49,1.7,0.304161254
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,50,2.2,0.492717621
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,51,2.7,0.817094644
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,52,2.8,0.3859497203
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,1,2.8,0.356622241
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,2,3.6,0.709034375
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,3,4.2,0.582640907
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,4,5.1,0.7514152584
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,5,5.7,0.897364352
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,6,5.2,0.878971739
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,7,4.3,0.85761218
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,8,3.3,0.825632905
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,9,2.5,0.735253417
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,10,2.3,0.737785771
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,11,2,0.72436078
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,12,2.1,0.551435782
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,13,1.9,0.576297536
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,14,1.8,0.484994395
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,15,1.6,0.326241592
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,16,1.4,0.317161674
Delphi_EmpiricalFutures,HHS Region 1,1 wk ahead,2017/2018,17,1.2,0.364283633
