model_name,location,target,season,calendar_week,valid.bin_lag,cdf
FluOutlook_Mech,US National,1 wk ahead,2017/2018,43,1.6,1
FluOutlook_Mech,US National,1 wk ahead,2017/2018,44,1.8,0.56833408
FluOutlook_Mech,US National,1 wk ahead,2017/2018,45,2,0.822712623
FluOutlook_Mech,US National,1 wk ahead,2017/2018,46,2.2,0
FluOutlook_Mech,US National,1 wk ahead,2017/2018,47,2.2,0.1821301878
FluOutlook_Mech,US National,1 wk ahead,2017/2018,48,2.5,0.48382764686
FluOutlook_Mech,US National,1 wk ahead,2017/2018,49,3.3,0.93778717555
FluOutlook_Mech,US National,1 wk ahead,2017/2018,50,4.6,0.9861628464
FluOutlook_Mech,US National,1 wk ahead,2017/2018,51,5.6,0.09014425566
FluOutlook_Mech,US National,1 wk ahead,2017/2018,52,5.7,0.44723626467
FluOutlook_Mech,US National,1 wk ahead,2017/2018,1,5.8,0.79507279147
FluOutlook_Mech,US National,1 wk ahead,2017/2018,2,6.4,0.4443744573
FluOutlook_Mech,US National,1 wk ahead,2017/2018,3,7.1,0.994441254
FluOutlook_Mech,US National,1 wk ahead,2017/2018,4,7.4,0.9602337458
FluOutlook_Mech,US National,1 wk ahead,2017/2018,5,7.3,0.3696954822
FluOutlook_Mech,US National,1 wk ahead,2017/2018,6,6.4,0.1010898246
FluOutlook_Mech,US National,1 wk ahead,2017/2018,7,4.9,0.040137015
FluOutlook_Mech,US National,1 wk ahead,2017/2018,8,3.6,0.083491599
FluOutlook_Mech,US National,1 wk ahead,2017/2018,9,3.1,0.1437160322
FluOutlook_Mech,US National,1 wk ahead,2017/2018,10,2.7,0.84459391
FluOutlook_Mech,US National,1 wk ahead,2017/2018,11,2.4,0.86307941
FluOutlook_Mech,US National,1 wk ahead,2017/2018,12,2.3,1
FluOutlook_Mech,US National,1 wk ahead,2017/2018,13,2,0.7918265
FluOutlook_Mech,US National,1 wk ahead,2017/2018,14,1.7,0.07522792
FluOutlook_Mech,US National,1 wk ahead,2017/2018,15,1.5,0
FluOutlook_Mech,US National,1 wk ahead,2017/2018,16,1.4,0
FluOutlook_Mech,US National,1 wk ahead,2017/2018,17,1.4,0
FluOutlook_Mech,US National,1 wk ahead,2017/2018,18,1.2,0
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,43,0.9,0.09753803
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,44,1,0.95901034
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,45,1.1,0.92247749
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,46,1.5,0.7743989524
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,47,1.4,0.026502258194
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,48,1.6,0.1401724789
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,49,1.7,0.6425738729
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,50,2.2,0.939586298
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,51,2.7,0.1545021758
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,52,2.8,0.903081722
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,1,2.8,0.66330687287
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,2,3.6,0.99446636048
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,3,4.2,0.95591480395
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,4,5.1,0.999753367
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,5,5.7,0.9977241595
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,6,5.2,0.66423423
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,7,4.3,0.601655507
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,8,3.3,0.4438660022
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,9,2.5,0.553416185
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,10,2.3,0.99999993
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,11,2,0.99999999
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,12,2.1,1.00000006
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,13,1.9,0.99999998
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,14,1.8,0.99999996
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,15,1.6,1.000000004
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,16,1.4,1.000000047
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,17,1.2,0.999999967
FluOutlook_Mech,HHS Region 1,1 wk ahead,2017/2018,18,0.9,0
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,43,2.3,0.65948085
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,44,2.3,0.20455366
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,45,2.7,0.86342353
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,46,2.7,0.0160210665
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,47,2.9,0.55192573
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,48,3.1,0.36792322
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,49,3.5,0.445105756
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,50,4.2,0.73085810167
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,51,4.4,0.00039356865
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,52,4.8,0.647331687
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,1,5.8,0.9066217729
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,2,6.7,0.76535180819
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,3,8.3,0.9692176083
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,4,9.7,0.9859061873
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,5,10.3,0.9916730166
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,6,10.1,0.828029932
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,7,7.3,0.0643923123
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,8,4.9,0.019067966
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,9,4.5,0.711448685
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,10,3.6,0.02834181
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,11,3.1,0
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,12,3.1,0.7911009
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,13,2.8,0.088852834
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,14,2.5,0
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,15,2.2,0
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,16,2.1,0
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,17,2.9,1
FluOutlook_Mech,HHS Region 2,1 wk ahead,2017/2018,18,1.9,0
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,43,1.1,0.365543
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,44,1.2,0.83255
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,45,1.5,0.9864018
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,46,1.5,0.123204583
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,47,1.5,0.269258631
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,48,1.5,0.122161829
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,49,1.7,0.3264453839
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,50,2.2,0.969373951
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,51,3.4,0.949696904
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,52,3.3,0.1329492227
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,1,3.6,0.6072551858
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,2,4.7,0.9973808903
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,3,5.9,0.9971678048
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,4,7,0.9949744241
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,5,7.4,0.866506689
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,6,7.2,0.5708601273
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,7,5.4,0.2581821104
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,8,3.7,0.1662486883
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,9,2.8,0.525964526
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,10,2.6,0.524027904
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,11,2.4,0.97381986
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,12,2.4,1.0000000195
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,13,1.9,0.999999971
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,14,1.6,0.862717344
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,15,1.4,0.0009207452
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,16,1.2,0
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,17,1.2,0
FluOutlook_Mech,HHS Region 3,1 wk ahead,2017/2018,18,0.8,0
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,43,1.7,0.50132925
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,44,2,0.870012484
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,45,2.1,0.074963326
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,46,2.4,0.000978753
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,47,2.1,0.0216537324
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,48,2.4,0.5533563012
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,49,3,0.7050737483
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,50,4.5,0.990857872499
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,51,5.2,0.1366865955
FluOutlook_Mech,HHS Region 4,1 wk ahead,2017/2018,52,5.3,0.55190929852
