model_name,location,target,season,calendar_week,valid.bin_lag,cdf
FluX_ARLR,US National,1 wk ahead,2017/2018,43,1.6,0.58798658029
FluX_ARLR,US National,1 wk ahead,2017/2018,44,1.8,0.40619032571
FluX_ARLR,US National,1 wk ahead,2017/2018,45,2,0.61515194712
FluX_ARLR,US National,1 wk ahead,2017/2018,46,2.2,0.40013806059
FluX_ARLR,US National,1 wk ahead,2017/2018,47,2.2,0.55397887018
FluX_ARLR,US National,1 wk ahead,2017/2018,48,2.5,0.84863025666
FluX_ARLR,US National,1 wk ahead,2017/2018,49,3.3,0.90668347139
FluX_ARLR,US National,1 wk ahead,2017/2018,50,4.6,0.96484412219
FluX_ARLR,US National,1 wk ahead,2017/2018,51,5.6,0.61100342405
FluX_ARLR,US National,1 wk ahead,2017/2018,52,5.7,0.92484672924
FluX_ARLR,US National,1 wk ahead,2017/2018,1,5.8,0.82082994991
FluX_ARLR,US National,1 wk ahead,2017/2018,2,6.4,0.14444977893
FluX_ARLR,US National,1 wk ahead,2017/2018,3,7.1,0.99602625903
FluX_ARLR,US National,1 wk ahead,2017/2018,4,7.4,0.8812364115
FluX_ARLR,US National,1 wk ahead,2017/2018,5,7.3,0.28230221677
FluX_ARLR,US National,1 wk ahead,2017/2018,6,6.4,0.01307140355
FluX_ARLR,US National,1 wk ahead,2017/2018,7,4.9,0.00157264495
FluX_ARLR,US National,1 wk ahead,2017/2018,8,3.6,0.01685062039
FluX_ARLR,US National,1 wk ahead,2017/2018,9,3.1,0.27400687895
FluX_ARLR,US National,1 wk ahead,2017/2018,10,2.7,0.23003352575
FluX_ARLR,US National,1 wk ahead,2017/2018,11,2.4,0.63823088122
FluX_ARLR,US National,1 wk ahead,2017/2018,12,2.3,0.76975655267
FluX_ARLR,US National,1 wk ahead,2017/2018,13,2,0.56959595454
FluX_ARLR,US National,1 wk ahead,2017/2018,14,1.7,0.37390931542
FluX_ARLR,US National,1 wk ahead,2017/2018,15,1.5,0.28947545129
FluX_ARLR,US National,1 wk ahead,2017/2018,16,1.4,0.35569188378
FluX_ARLR,US National,1 wk ahead,2017/2018,17,1.4,0.50801279744
FluX_ARLR,US National,1 wk ahead,2017/2018,18,1.2,0.19038588817
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,43,0.9,0.231716652
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,44,1,0.353777305
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,45,1.1,0.426868642
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,46,1.5,0.616593141
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,47,1.4,0.393706874
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,48,1.6,0.597672008
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,49,1.7,0.4029016258
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,50,2.2,0.5961499639
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,51,2.7,0.974483282
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,52,2.8,0.46902372076
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,1,2.8,0.41361580468
FluX_ARLR,HHS Region 1,1 wk ahead,2017/2018,2,3.6,0.90286558567
