model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,43,1.8,0.540023
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,44,2,0.18995
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,45,2.2,0.284732
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,46,2.2,0.157335
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,47,2.5,0.35799
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,48,3.3,0.772764
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,49,4.6,0.848004
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,50,5.6,0.792665
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,51,5.7,0.234578
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,52,5.8,0.331885
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,1,6.4,0.674793
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,2,7.1,0.837372
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,3,7.4,0.995358
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,4,7.3,0.414548
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,5,6.4,0.402632
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,6,4.9,0.251224
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,7,3.6,0.101238
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,8,3.1,0.155311
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,9,2.7,0.424836
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,10,2.4,0.314682
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,11,2.3,0.668727
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,12,2,0.651367
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,13,1.7,0.249346
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,14,1.5,0.178691
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,15,1.4,0.178684
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,16,1.4,0.308677
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,17,1.2,0.116002
CU_RHF_SEIRS,US National,2 wk ahead,2017/2018,18,1.1,0.014681
CU_RHF_SEIRS,HHS Region 1,2 wk ahead,2017/2018,43,1,0.19272
CU_RHF_SEIRS,HHS Region 1,2 wk ahead,2017/2018,44,1.1,0.29738
CU_RHF_SEIRS,HHS Region 1,2 wk ahead,2017/2018,45,1.5,0.154605
