model_name,location,target,season,calendar_week,valid.bin_lag,cdf
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,43,2,0.531407
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,44,2.2,0.184017
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,45,2.2,0.2161
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,46,2.5,0.169317
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,47,3.3,0.604038
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,48,4.6,0.80146
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,49,5.6,0.799587
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,50,5.7,0.61546
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,51,5.8,0.331392
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,52,6.4,0.598632
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,1,7.1,0.838147
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,2,7.4,0.885535
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,3,7.3,0.992695
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,4,6.4,0.553259
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,5,4.9,0.170532
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,6,3.6,0.11391
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,7,3.1,0.141972
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,8,2.7,0.192055
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,9,2.4,0.295424
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,10,2.3,0.521463
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,11,2,0.573426
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,12,1.7,0.445371
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,13,1.5,0.184685
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,14,1.4,0.214055
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,15,1.4,0.405381
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,16,1.2,0.08335
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,17,1.1,0.015322
CU_EKF_SEIRS,US National,3 wk ahead,2017/2018,18,1.1,0.054668
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,43,1.1,0.082662
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,44,1.5,0.355402
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,45,1.4,0.080683
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,46,1.6,0.057298
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,47,1.7,0.072564
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,48,2.2,0.225278
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,49,2.7,0.36396
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,50,2.8,0.272652
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,51,2.8,0.516062
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,52,3.6,0.39334
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,1,4.2,0.561312
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,2,5.1,0.976053
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,3,5.7,0.874762
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,4,5.2,0.476014
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,5,4.3,0.231844
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,6,3.3,0.091114
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,7,2.5,0.073212
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,8,2.3,0.106647
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,9,2,0.191396
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,10,2.1,0.597454
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,11,1.9,0.662835
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,12,1.8,0.576148
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,13,1.6,0.717514
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,14,1.4,0.491428
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,15,1.2,0.462731
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,16,0.9,0.230041
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,17,0.8,0.331387
CU_EKF_SEIRS,HHS Region 1,3 wk ahead,2017/2018,18,0.7,0.217389
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,43,2.7,0.430706
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,44,2.7,0.602169
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,45,2.9,0.460128
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,46,3.1,0.179442
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,47,3.5,0.292053
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,48,4.2,0.552737
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,49,4.4,0.517991
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,50,4.8,0.310685
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,51,5.8,0.486758
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,52,6.7,0.838156
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,1,8.3,0.978755
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,2,9.7,0.978052
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,3,10.3,0.992716
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,4,10.1,0.813452
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,5,7.3,0.428583
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,6,4.9,0.138509
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,7,4.5,0.097959
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,8,3.6,0.204625
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,9,3.1,0.320727
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,10,3.1,0.448117
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,11,2.8,0.868872
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,12,2.5,0.693422
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,13,2.2,0.638119
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,14,2.1,0.408758
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,15,2.9,0.975419
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,16,1.9,0.700806
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,17,1.9,0.560713
CU_EKF_SEIRS,HHS Region 2,3 wk ahead,2017/2018,18,2,0.291339
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,43,1.5,0.926735
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,44,1.5,0.862153
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,45,1.5,0.670149
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,46,1.5,0.211424
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,47,1.7,0.09067
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,48,2.2,0.194007
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,49,3.4,0.672142
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,50,3.3,0.45675
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,51,3.6,0.268779
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,52,4.7,0.267898
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,1,5.9,0.806749
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,2,7,0.977434
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,3,7.4,0.932764
CU_EKF_SEIRS,HHS Region 3,3 wk ahead,2017/2018,4,7.2,0.30253
