model_name,location,target,season,calendar_week,valid.bin_lag,cdf
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,43,2.2,0.2800417
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,44,2.2,0.0029774875
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,45,2.5,0.00037621
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,46,3.3,0.650401582
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,47,4.6,0.97866657295
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,48,5.6,0.885717289
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,49,5.7,0.53485176982
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,50,5.8,0.1972815673
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,51,6.4,0.75641562889
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,52,7.1,0.95655145895
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,1,7.4,0.94026062612
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,2,7.3,0.9804897927
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,3,6.4,0.9917052624
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,4,4.9,0.2356391728
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,5,3.6,0.0300353284
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,6,3.1,0.230586135
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,7,2.7,0.946891533
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,8,2.4,0.85021585
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,9,2.3,0.9987948
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,10,2,0.8468224
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,11,1.7,0.1728869
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,12,1.5,0
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,13,1.4,0
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,14,1.4,0
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,15,1.2,0
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,16,1.1,0
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,17,1.1,0
FluOutlook_MechAug,US National,4 wk ahead,2017/2018,18,1.1,0
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,43,1.5,0.93912159
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,44,1.4,0.87888185
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,45,1.6,0.243003049
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,46,1.7,0.3310358655
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,47,2.2,0.1870226974
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,48,2.7,0.851278649
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,49,2.8,0.986052424
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,50,2.8,0.9853401304
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,51,3.6,0.9946109242
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,52,4.2,1.0000000312
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,1,5.1,0.99999996459
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,2,5.7,0.9999999261
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,3,5.2,0.99973670007
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,4,4.3,0.9987279957
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,5,3.3,0.7423715469
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,6,2.5,0.692804779
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,7,2.3,0.909524099
FluOutlook_MechAug,HHS Region 1,4 wk ahead,2017/2018,8,2,0.999999967
