model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Protea_Kudu,US National,1 wk ahead,2018/2019,43,1.7,0.8828657346
Protea_Kudu,US National,1 wk ahead,2018/2019,44,1.8,0.9311694299
Protea_Kudu,US National,1 wk ahead,2018/2019,45,1.9,0.9162917883
Protea_Kudu,US National,1 wk ahead,2018/2019,46,2.1,0.904222714
Protea_Kudu,US National,1 wk ahead,2018/2019,47,2,0.7952957673
Protea_Kudu,US National,1 wk ahead,2018/2019,48,2.2,0.839027817
Protea_Kudu,US National,1 wk ahead,2018/2019,49,2.5,0.8519214284
Protea_Kudu,US National,1 wk ahead,2018/2019,50,3,0.71498674555
Protea_Kudu,US National,1 wk ahead,2018/2019,51,3.9,0.70338784227
Protea_Kudu,US National,1 wk ahead,2018/2019,52,3.4,0.68416043529
Protea_Kudu,US National,1 wk ahead,2018/2019,1,3,0.6565070594
Protea_Kudu,US National,1 wk ahead,2018/2019,2,3.2,0.6585992624
Protea_Kudu,US National,1 wk ahead,2018/2019,3,3.7,0.69668958711
Protea_Kudu,US National,1 wk ahead,2018/2019,4,4.2,0.75754263356
Protea_Kudu,US National,1 wk ahead,2018/2019,5,4.8,0.86331989253
Protea_Kudu,US National,1 wk ahead,2018/2019,6,5,0.86935257229
Protea_Kudu,US National,1 wk ahead,2018/2019,7,4.8,0.90587834515
Protea_Kudu,US National,1 wk ahead,2018/2019,8,4.5,0.97113196445
Protea_Kudu,US National,1 wk ahead,2018/2019,9,4.3,0.9813314242
Protea_Kudu,US National,1 wk ahead,2018/2019,10,4.1,0.97783424376
Protea_Kudu,US National,1 wk ahead,2018/2019,11,3.6,0.99108322983
Protea_Kudu,US National,1 wk ahead,2018/2019,12,3,0.9783364506
Protea_Kudu,US National,1 wk ahead,2018/2019,13,2.6,0.98316779437
Protea_Kudu,US National,1 wk ahead,2018/2019,14,2.2,0.95687682972
Protea_Kudu,US National,1 wk ahead,2018/2019,15,1.9,0.94210279443
Protea_Kudu,US National,1 wk ahead,2018/2019,16,1.6,0.89080384131
Protea_Kudu,US National,1 wk ahead,2018/2019,17,1.5,0.8028384909
Protea_Kudu,US National,1 wk ahead,2018/2019,18,1.4,0.8344228502
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,43,1.1,0.9554011538
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,44,1.3,0.9802262874
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,45,1.2,0.9685857711
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,46,1.5,0.9654672463
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,47,1.3,0.9570687686
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,48,1.8,0.9491638069
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,49,1.8,0.933435949
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,50,2.3,0.9218611625
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,51,3.2,0.9414081175
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,52,3.1,0.927498246
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,1,3.3,0.983738507
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,2,3.5,0.974110324
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,3,3.5,0.901525148
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,4,3.5,0.8679592694
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,5,3.8,0.9269054142
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,6,3.6,0.8296645984
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,7,3.5,0.9184265701
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,8,3.1,0.9328460467
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,9,3,0.954037974
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,10,2.7,0.954846825
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,11,2.6,0.977484647
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,12,2.7,0.984463719
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,13,2.4,0.97670951
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,14,2.2,0.957087079
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,15,2,0.970545416
Protea_Kudu,HHS Region 1,1 wk ahead,2018/2019,16,1.4,0.88584689
