model_name,location,target,season,calendar_week,valid.bin_lag,cdf
Delphi_Uniform,US National,4 wk ahead,2018/2019,43,2.1,0.167938936
Delphi_Uniform,US National,4 wk ahead,2018/2019,44,2,0.160305348
Delphi_Uniform,US National,4 wk ahead,2018/2019,45,2.2,0.175572524
Delphi_Uniform,US National,4 wk ahead,2018/2019,46,2.5,0.198473288
Delphi_Uniform,US National,4 wk ahead,2018/2019,47,3,0.236641228
Delphi_Uniform,US National,4 wk ahead,2018/2019,48,3.9,0.30534352
Delphi_Uniform,US National,4 wk ahead,2018/2019,49,3.4,0.26717558
Delphi_Uniform,US National,4 wk ahead,2018/2019,50,3,0.236641228
Delphi_Uniform,US National,4 wk ahead,2018/2019,51,3.2,0.251908404
Delphi_Uniform,US National,4 wk ahead,2018/2019,52,3.7,0.290076344
Delphi_Uniform,US National,4 wk ahead,2018/2019,1,4.2,0.328244284
Delphi_Uniform,US National,4 wk ahead,2018/2019,2,4.8,0.374045812
Delphi_Uniform,US National,4 wk ahead,2018/2019,3,5,0.389312988
Delphi_Uniform,US National,4 wk ahead,2018/2019,4,4.8,0.374045812
Delphi_Uniform,US National,4 wk ahead,2018/2019,5,4.5,0.351145048
Delphi_Uniform,US National,4 wk ahead,2018/2019,6,4.3,0.335877872
Delphi_Uniform,US National,4 wk ahead,2018/2019,7,4.1,0.320610696
Delphi_Uniform,US National,4 wk ahead,2018/2019,8,3.6,0.282442756
Delphi_Uniform,US National,4 wk ahead,2018/2019,9,3,0.236641228
Delphi_Uniform,US National,4 wk ahead,2018/2019,10,2.6,0.206106876
Delphi_Uniform,US National,4 wk ahead,2018/2019,11,2.2,0.175572524
Delphi_Uniform,US National,4 wk ahead,2018/2019,12,1.9,0.15267176
Delphi_Uniform,US National,4 wk ahead,2018/2019,13,1.6,0.129770996
Delphi_Uniform,US National,4 wk ahead,2018/2019,14,1.5,0.122137408
Delphi_Uniform,US National,4 wk ahead,2018/2019,15,1.4,0.11450382
Delphi_Uniform,US National,4 wk ahead,2018/2019,16,1.4,0.11450382
Delphi_Uniform,US National,4 wk ahead,2018/2019,17,1.3,0.106870232
Delphi_Uniform,US National,4 wk ahead,2018/2019,18,1.3,0.106870232
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,43,1.5,0.122137408
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,44,1.3,0.106870232
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,45,1.8,0.145038172
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,46,1.8,0.145038172
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,47,2.3,0.183206112
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,48,3.2,0.251908404
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,49,3.1,0.244274816
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,50,3.3,0.259541992
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,51,3.5,0.274809168
Delphi_Uniform,HHS Region 1,4 wk ahead,2018/2019,52,3.5,0.274809168
