model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,43,2.1,0.55986
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,44,2,0.38134
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,45,2.2,0.3226
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,46,2.5,0.41298
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,47,3,0.38764
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,48,3.9,0.58216
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,49,3.4,0.50794
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,50,3,0.36574
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,51,3.2,0.29264
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,52,3.7,0.41004
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,1,4.2,0.63906
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,2,4.8,0.84162
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,3,5,0.89114
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,4,4.8,0.88606
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,5,4.5,0.85938
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,6,4.3,0.8655
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,7,4.1,0.88002
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,8,3.6,0.86474
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,9,3,0.67836
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,10,2.6,0.63908
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,11,2.2,0.50142
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,12,1.9,0.40496
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,13,1.6,0.37114
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,14,1.5,0.46224
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,15,1.4,0.5621
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,16,1.4,0.69394
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,17,1.3,0.65448
ReichLab_kcde_backfill_none,US National,4 wk ahead,2018/2019,18,1.3,0.78114
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,43,1.5,0.09936
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,44,1.3,0.05322
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,45,1.8,0.09216
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,46,1.8,0.11356
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,47,2.3,0.2219
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,48,3.2,0.5267
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,49,3.1,0.50652
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,50,3.3,0.5202
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,51,3.5,0.55566
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,52,3.5,0.6397
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,1,3.5,0.6871
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,2,3.8,0.67834
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,3,3.6,0.69892
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,4,3.5,0.72908
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,5,3.1,0.75892
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,6,3,0.78936
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,7,2.7,0.76662
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,8,2.6,0.73692
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,9,2.7,0.83148
ReichLab_kcde_backfill_none,HHS Region 1,4 wk ahead,2018/2019,10,2.4,0.73838
