model_name,location,target,season,calendar_week,valid.bin_lag,cdf
ReichLab_kde,US National,4 wk ahead,2018/2019,43,2.1,0.695878399668
ReichLab_kde,US National,4 wk ahead,2018/2019,44,2,0.575735795998
ReichLab_kde,US National,4 wk ahead,2018/2019,45,2.2,0.594211605068
ReichLab_kde,US National,4 wk ahead,2018/2019,46,2.5,0.643906472168
ReichLab_kde,US National,4 wk ahead,2018/2019,47,3,0.741578524515
ReichLab_kde,US National,4 wk ahead,2018/2019,48,3.9,0.875353300985
ReichLab_kde,US National,4 wk ahead,2018/2019,49,3.4,0.716071964189
ReichLab_kde,US National,4 wk ahead,2018/2019,50,3,0.512079185189
ReichLab_kde,US National,4 wk ahead,2018/2019,51,3.2,0.521516804962
ReichLab_kde,US National,4 wk ahead,2018/2019,52,3.7,0.633659911106
ReichLab_kde,US National,4 wk ahead,2018/2019,1,4.2,0.734387967139
ReichLab_kde,US National,4 wk ahead,2018/2019,2,4.8,0.835475499259
ReichLab_kde,US National,4 wk ahead,2018/2019,3,5,0.869730595036
ReichLab_kde,US National,4 wk ahead,2018/2019,4,4.8,0.868112773682
ReichLab_kde,US National,4 wk ahead,2018/2019,5,4.5,0.866554787159
ReichLab_kde,US National,4 wk ahead,2018/2019,6,4.3,0.892670609035
ReichLab_kde,US National,4 wk ahead,2018/2019,7,4.1,0.923640044685
ReichLab_kde,US National,4 wk ahead,2018/2019,8,3.6,0.919095976905
ReichLab_kde,US National,4 wk ahead,2018/2019,9,3,0.897384427218
ReichLab_kde,US National,4 wk ahead,2018/2019,10,2.6,0.890793055801
ReichLab_kde,US National,4 wk ahead,2018/2019,11,2.2,0.863918266268
ReichLab_kde,US National,4 wk ahead,2018/2019,12,1.9,0.841457695051
ReichLab_kde,US National,4 wk ahead,2018/2019,13,1.6,0.783084148751
ReichLab_kde,US National,4 wk ahead,2018/2019,14,1.5,0.796456638664
ReichLab_kde,US National,4 wk ahead,2018/2019,15,1.4,0.795248228051
ReichLab_kde,US National,4 wk ahead,2018/2019,16,1.4,0.833428340504
ReichLab_kde,US National,4 wk ahead,2018/2019,17,1.3,0.804056658254
ReichLab_kde,US National,4 wk ahead,2018/2019,18,1.3,0.822272791334
ReichLab_kde,HHS Region 1,4 wk ahead,2018/2019,43,1.5,0.817139536917
ReichLab_kde,HHS Region 1,4 wk ahead,2018/2019,44,1.3,0.723042809917
ReichLab_kde,HHS Region 1,4 wk ahead,2018/2019,45,1.8,0.841048231917
ReichLab_kde,HHS Region 1,4 wk ahead,2018/2019,46,1.8,0.803986776717
ReichLab_kde,HHS Region 1,4 wk ahead,2018/2019,47,2.3,0.863029445217
