target,location,season,calendar_week,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
1 wk ahead,HHS Region 1,2010/2011,1,0.84,0.84,0.84,0.84,0.84,0.84,0.999995256924335,0.9735444284,0.36853718,0.25282436,0.997284723817,0.997284723817,0.091603056,0.99980565,1.000000029,0.3595715,0.442521967,0.9923614774,0.648119866,0.349553046,0.65,0.01396,0.01372,0.32375876074,0.6821,0.7107,0.26572824
1 wk ahead,HHS Region 1,2010/2011,2,0.86,0.86,0.86,0.86,0.86,0.86,0.2590264430031,0.0026646342,0.227503359,0.26540212,0.000257552934,0.000257552934,0.091603056,0.7209531826,0.8868802819,0.29783195,0.249439762,0.7507114618,0.68548653305,0.308190846,0.688,0.00262,0.00292,0.28220314454,0.3887,0.2221,0.06934095
1 wk ahead,HHS Region 1,2010/2011,3,0.85,0.85,0.85,0.85,0.85,0.85,0.342321237,0.9739962587,0.38094711,0.33436408,0.997331059215,0.997331059215,0.106870232,0.933813974,0.98399960797,0.46585647,0.447265868,0.4979071014,0.8225748020947,0.37608627255,0.825651292,0.00702,0.0068,0.33412300084,0.6836,0.5021,0.32394188
1 wk ahead,HHS Region 1,2010/2011,4,0.9,0.9,0.9,0.9,0.9,0.9,0.504885531635968,0.9752000487,0.46100113,0.42959039,0.997445704647,0.997445704647,0.145038172,0.999918836,1.0000000575,0.57048971,0.703544882,0.9943686282,0.865458070442,0.519569602,0.868,0.03896,0.0401,0.47714934974,0.8182,0.3657,0.77144811
1 wk ahead,HHS Region 1,2010/2011,5,0.67,0.67,0.67,0.67,0.67,0.67,0.31673587589,0.0044476251,0.346252612,0.34653377,0.000441172551,0.000441172551,0.15267176,0.959317446,0.984378861,0.56133342,0.454478055,0.9944187364,0.499999979994288,0.398286409,0.5,0.01756,0.01784,0.50310928374,0.6984,0.5563,0.27247937
1 wk ahead,HHS Region 1,2010/2011,6,0.73,0.73,0.73,0.73,0.73,0.73,0.370499891,0.005107289,0.231297305,0.38039817,0.000511415053,0.000511415053,0.175572524,0.9957252704,0.9983584411,0.504308569,0.388616032,0.7410027402,0.444000016115555,0.547318141,0.444,0.04174,0.0438,0.59125455174,0.5552,0.5443,0.04666583
1 wk ahead,HHS Region 1,2010/2011,7,0.63,0.63,0.63,0.63,0.63,0.63,0.398327524,0.0051060006,0.261608497,0.40830152,0.000511245692,0.000511245692,0.175572524,0.94598614,0.96227649,0.508392542,0.207097264,0.9939076592,0.510000040480544,0.7060692427,0.51,0.0343,0.03332,0.61454940274,0.5192,0.5923,0.07653151
1 wk ahead,HHS Region 1,2010/2011,8,0.32,0.32,0.32,0.32,0.32,0.32,0.3106665899,0.9749783282,0.43125813,0.33089567,0.997422720267,0.997422720267,0.137404584,0.06685291,0.016076705,0.5405198,0.317413325,0.6556771846,0.450000001985848,0.515675314,0.45,0.03894,0.04212,0.53262262984,0.4936,0.7158,0.46255878
1 wk ahead,HHS Region 1,2010/2011,9,0.66,0.66,0.66,0.66,0.66,0.66,0.00107024146570107,0.9746618916,0.45464475,0.34587794,0.997399460049,0.997399460049,0.129770996,0.55612091,0.61159293,0.57151861,0.451332386,0.880725576,0.4640030255483,0.613733136,0.464,0.09632,0.09922,0.56855196844,0.495,0.5252,0.61217374
1 wk ahead,HHS Region 1,2010/2011,10,0.36,0.36,0.36,0.36,0.36,0.36,0.234867095622,0.9739906434,0.36504526,0.2893698,0.997331227999,0.997331227999,0.106870232,0.626216179,0.624199456,0.4300082,0.447265868,0.3770820734,0.3260032937484,0.474157064,0.326,0.02716,0.02746,0.54960023294,0.5809,0.6293,0.71298266
1 wk ahead,HHS Region 1,2010/2011,11,0.38,0.38,0.38,0.38,0.38,0.38,0.04694514742711,0.0022156924,0.20832933,0.21931046,0.000211342854,0.000211342854,0.07633588,0.004398729,0,0.2830006,0.245263269,0.0074543796,0.0980049758175,0.329167363,0.098,0.01166,0.01236,0.4446747539,0.2354,0.3799,0.30084612
1 wk ahead,HHS Region 1,2010/2011,12,0.64,0.64,0.64,0.64,0.64,0.64,0.44945868713,0.9377508523,0.36687674,0.27049901,0.825507738,0.825507738,0.083969468,0.2378179,0.3249853,0.39664105,0.5670371,0.8790998754,0.52400135654316,0.587331492,0.524,0.0296,0.02992,0.62353171794,0.5488,0.5359,0.59200411
