"component_model_id","season","target","weight"
"CU_EAKFC_SEIRS","2016/2017","1 wk ahead","0.101082718931026"
"CU_EAKFC_SIRS","2016/2017","1 wk ahead","9.70332517391593e-05"
"CU_EKF_SEIRS","2016/2017","1 wk ahead","0.00114325193148025"
"CU_EKF_SIRS","2016/2017","1 wk ahead","0.0002357316217756"
"CU_RHF_SEIRS","2016/2017","1 wk ahead","0.00262920680604704"
"CU_RHF_SIRS","2016/2017","1 wk ahead","0.00142691926555882"
"CUBMA","2016/2017","1 wk ahead","1.27080926626557e-15"
"Delphi_BasisRegression","2016/2017","1 wk ahead","2.62221449904438e-07"
"Delphi_EmpiricalFutures","2016/2017","1 wk ahead","3.44516387494875e-17"
"Delphi_EmpiricalTrajectories","2016/2017","1 wk ahead","6.25235592772294e-17"
"Delphi_ExtendedDeltaDensity","2016/2017","1 wk ahead","1.1015356251095e-05"
"Delphi_MarkovianDeltaDensity","2016/2017","1 wk ahead","0.132969312295642"
"Delphi_Uniform","2016/2017","1 wk ahead","1.18573537113893e-18"
"FluOutlook_Mech","2016/2017","1 wk ahead","0.033175227804366"
"FluOutlook_MechAug","2016/2017","1 wk ahead","0.154747212780377"
"FluX_ARLR","2016/2017","1 wk ahead","4.09519240360936e-12"
"FluX_LSTM","2016/2017","1 wk ahead","2.36511787837663e-17"
"LANL_DBMplus","2016/2017","1 wk ahead","0.325161190066567"
"Protea_Cheetah","2016/2017","1 wk ahead","0.247320917663624"
"Protea_Kudu","2016/2017","1 wk ahead","3.06637781743834e-28"
"Protea_Springbok","2016/2017","1 wk ahead","5.55111512309511e-17"
"ReichLab_kcde_backfill_none","2016/2017","1 wk ahead","5.62902136578991e-33"
"ReichLab_kcde_backfill_post_hoc","2016/2017","1 wk ahead","5.9213118627619e-33"
"ReichLab_kde","2016/2017","1 wk ahead","9.59967581763814e-37"
"ReichLab_sarima_seasonal_difference_FALSE","2016/2017","1 wk ahead","7.76015653055167e-33"
"ReichLab_sarima_seasonal_difference_TRUE","2016/2017","1 wk ahead","3.48582309786793e-33"
"UA_EpiCos","2016/2017","1 wk ahead","1.12788195260308e-31"
"CU_EAKFC_SEIRS","2016/2017","2 wk ahead","0.0797541927314579"
"CU_EAKFC_SIRS","2016/2017","2 wk ahead","1.84414288706215e-05"
"CU_EKF_SEIRS","2016/2017","2 wk ahead","0.158871831890859"
"CU_EKF_SIRS","2016/2017","2 wk ahead","3.09220083977907e-05"
"CU_RHF_SEIRS","2016/2017","2 wk ahead","9.28947057616729e-05"
"CU_RHF_SIRS","2016/2017","2 wk ahead","6.60613585770827e-08"
"CUBMA","2016/2017","2 wk ahead","5.52656794010081e-10"
"Delphi_BasisRegression","2016/2017","2 wk ahead","2.63034887977291e-10"
"Delphi_EmpiricalFutures","2016/2017","2 wk ahead","2.9689842020883e-11"
"Delphi_EmpiricalTrajectories","2016/2017","2 wk ahead","3.02357812110053e-11"
"Delphi_ExtendedDeltaDensity","2016/2017","2 wk ahead","0.200666726728717"
"Delphi_MarkovianDeltaDensity","2016/2017","2 wk ahead","0.0427933732186794"
"Delphi_Uniform","2016/2017","2 wk ahead","6.33462940632669e-10"
"FluOutlook_Mech","2016/2017","2 wk ahead","9.08701257868853e-07"
"FluOutlook_MechAug","2016/2017","2 wk ahead","0.175301030344545"
"FluX_ARLR","2016/2017","2 wk ahead","5.48201920167441e-08"
"FluX_LSTM","2016/2017","2 wk ahead","2.34790922753904e-07"
"LANL_DBMplus","2016/2017","2 wk ahead","0.0805801060415348"
"Protea_Cheetah","2016/2017","2 wk ahead","6.46911613802155e-05"
"Protea_Kudu","2016/2017","2 wk ahead","2.29420789094579e-09"
"Protea_Springbok","2016/2017","2 wk ahead","0.261824521315195"
"ReichLab_kcde_backfill_none","2016/2017","2 wk ahead","2.50535328334514e-11"
"ReichLab_kcde_backfill_post_hoc","2016/2017","2 wk ahead","2.1555292615088e-11"
"ReichLab_kde","2016/2017","2 wk ahead","4.32475097664275e-13"
"ReichLab_sarima_seasonal_difference_FALSE","2016/2017","2 wk ahead","2.58072453421287e-11"
"ReichLab_sarima_seasonal_difference_TRUE","2016/2017","2 wk ahead","5.4157826036694e-11"
"UA_EpiCos","2016/2017","2 wk ahead","1.20576249146248e-10"
"CU_EAKFC_SEIRS","2016/2017","3 wk ahead","0.100947949822074"
"CU_EAKFC_SIRS","2016/2017","3 wk ahead","8.30350535120092e-07"
"CU_EKF_SEIRS","2016/2017","3 wk ahead","0.104822763736356"
"CU_EKF_SIRS","2016/2017","3 wk ahead","5.86298931484686e-08"
"CU_RHF_SEIRS","2016/2017","3 wk ahead","0.000460382506910082"
"CU_RHF_SIRS","2016/2017","3 wk ahead","4.08080594802126e-06"
"CUBMA","2016/2017","3 wk ahead","0.0300319783267443"
